bioguide_id,bills_sponsored
A000374,34
A000370,176
A000055,103
A000371,91
A000372,70
A000367,74
A000369,106
A000373,11
B001291,102
B001269,75
B001282,217
B000213,224
B001270,167
B001281,179
B000287,130
B001271,52
B001287,113
B001292,251
B001257,291
B000490,142
B001293,30
B001250,216
B001273,114
B001243,776
B001294,26
B000574,500
B000589,158
B001278,279
B001245,135
B001295,137
B001255,136
B001296,128
B001227,120
B000755,213
B001290,50
B001283,24
B001284,49
B001274,67
B000911,115
B001285,306
B001260,212
B001297,123
B001275,97
B001248,440
B001286,91
B001251,134
B001289,89
C000059,280
C001036,241
C001037,171
C001083,72
C001072,170
C001051,141
C001103,208
C001090,368
C001066,208
C001091,186
C000266,289
C001076,153
C001080,247
C001084,265
C001101,88
C001067,198
C001102,21
C001049,180
C001061,225
C000537,121
C001077,100
C001068,487
C001053,227
C001092,58
C001093,125
C001108,48
C001105,34
C001062,137
C001078,355
C000714,800
C001094,61
C000754,144
C001059,185
C001106,20
C001069,183
C001096,239
C001087,139
C001045,39
C001038,249
C001063,121
C001048,94
C000984,225
C001107,49
C001097,190
D000626,151
D000096,404
D000598,235
D000619,139
D000191,599
D000197,246
D000216,633
D000621,52
D000623,216
D000617,148
D000620,59
D000612,83
D000604,111
D000616,52
D000610,173
D000600,108
D000624,252
D000399,261
D000613,64
D000625,36
D000482,104
D000622,538
D000614,123
D000533,271
D000615,127
E000290,58
E000288,255
E000291,59
E000294,128
E000179,528
E000215,260
E000293,85
E000296,61
F000460,58
F000030,147
F000043,134
F000458,49
F000451,122
F000459,49
F000456,70
F000461,99
F000445,119
F000449,173
F000454,271
F000450,257
F000462,97
F000448,116
F000372,169
F000455,116
G000571,120
G000574,210
G000559,237
G000548,237
G000563,62
G000564,64
G000552,194
G000289,234
G000565,369
G000566,18
G000575,12
G000377,101
G000546,269
G000560,23
G000577,105
G000556,290
G000553,357
G000410,315
G000568,213
G000551,404
G000576,174
G000570,36
G000558,136
G000535,188
H001063,61
H001050,43
H001051,46
H001070,16
H001045,70
H001052,48
H001053,98
H000324,530
H001055,61
H001064,62
H001036,124
H001056,63
H001071,63
H001038,132
H001072,143
H001047,110
H000636,108
H001065,45
H001034,213
H000874,375
H001067,143
H001057,52
H001068,237
H001058,168
H001059,67
H001048,129
H001073,43
H001060,25
I000057,336
I000056,389
J000032,1109
J000294,133
J000297,25
J000290,108
J000288,255
J000174,278
J000126,347
J000292,101
J000296,40
J000255,288
J000289,55
J000295,137
K000009,505
K000386,134
K000375,166
K000376,178
K000385,157
K000388,67
K000379,77
K000380,144
K000381,196
K000188,317
K000210,400
K000362,315
K000378,115
K000368,82
K000363,73
K000387,45
K000382,161
L000585,134
