bioguide_id,committee_name,policy_area
A000055,Committee on Homeland Security,Defense
A000055,Committee on Homeland Security and Governmental Affairs,Government Operations
A000055,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000055,Committee on Transportation and Infrastructure,Transportation
A000055,Committee on Appropriations,Macroeconomics
A000055,Committee on the Judiciary,Law and Crime
A000055,Committee on Foreign Affairs,International Affairs
A000055,Committee on Oversight and Government Reform,Government Operations
A000055,Committee on the Budget,Macroeconomics
A000055,Committee on Energy and Commerce,Energy
A000055,Committee on House Administration,Government Operations
A000055,Joint Committee on Taxation,Macroeconomics
A000055,Joint Committee on the Library,
A000055,Committee on Rules and Administration,Government Operations
A000055,Committee on Rules,Government Operations
A000055,Joint Committee on Printing,
A000055,Committee on Agriculture,Agriculture
A000360,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000360,Committee on Finance,Macroeconomics
A000360,"Committee on Health, Education, Labor, and Pensions",Health
A000360,Committee on Indian Affairs,Civil Rights
A000360,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
A000360,Committee on the Budget,Macroeconomics
A000360,Committee on Environment and Public Works,Environment
A000360,Committee on the Judiciary,Law and Crime
A000360,Special Committee on Aging,Social Welfare
A000360,Committee on Energy and Commerce,Energy
A000360,Committee on Energy and Natural Resources,Energy
A000360,Committee on Rules and Administration,Government Operations
A000360,Joint Committee on Taxation,Macroeconomics
A000360,Committee on Armed Services,Defense
A000360,"Committee on Banking, Housing, and Urban Affairs",Housing
A000360,Committee on Foreign Relations,International Affairs
A000360,Committee on Education and the Workforce,Education
A000360,Committee on Homeland Security and Governmental Affairs,Government Operations
A000360,Select Committee on Intelligence,Defense
A000360,Committee on Agriculture,Agriculture
A000360,Committee on Small Business and Entrepreneurship,Domestic Commerce
A000360,Committee on Foreign Affairs,International Affairs
A000360,Committee on Natural Resources,Public Lands
A000360,Committee on Public Lands,
A000360,Committee on Appropriations,Macroeconomics
A000360,Committee on Veterans' Affairs,Social Welfare
A000360,Committee on Commerce,Domestic Commerce
A000360,Committee on Education,Education
A000360,Committee on Transportation and Infrastructure,Transportation
A000360,Committee on Homeland Security,Defense
A000367,Committee on Energy and Commerce,Energy
A000367,Committee on Foreign Affairs,International Affairs
A000367,Committee on Energy and Natural Resources,Energy
A000367,Committee on Rules,Government Operations
A000367,Committee on Financial Services,Domestic Commerce
A000367,"Committee on Banking, Housing, and Urban Affairs",Housing
A000367,Permanent Select Committee on Intelligence,Defense
A000367,Select Committee on Intelligence,Defense
A000367,Committee on Ways and Means,Macroeconomics
A000367,Committee on Armed Services,Defense
A000367,Committee on the Judiciary,Law and Crime
A000368,Special Committee on Aging,Social Welfare
A000368,Committee on the Judiciary,Law and Crime
A000368,Committee on the Budget,Macroeconomics
A000368,Committee on Armed Services,Defense
A000368,Committee on Finance,Macroeconomics
A000368,Committee on Appropriations,Macroeconomics
A000368,Committee on Homeland Security and Governmental Affairs,Government Operations
A000368,Committee on Homeland Security,Defense
A000368,Committee on Foreign Relations,International Affairs
A000368,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000368,Committee on Transportation and Infrastructure,Transportation
A000368,Select Committee on Intelligence,Defense
A000368,House Permanent Select Committee on Intelligence,Defense
A000368,"Committee on Banking, Housing, and Urban Affairs",Housing
A000368,Committee on Financial Services,Domestic Commerce
A000368,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
A000368,"Committee on Health, Education, Labor, and Pensions",Health
A000368,Committee on Natural Resources,Public Lands
A000368,Committee on Energy and Commerce,Energy
A000368,Committee on Labor and Human Resources,
A000368,Joint Committee on Taxation,Macroeconomics
A000368,Committee on Veterans' Affairs,Social Welfare
A000368,Committee on Energy and Natural Resources,Energy
A000368,Committee on Interior and Insular Affairs,
A000368,Committee on Agriculture,Agriculture
A000368,Committee on Environment and Public Works,Environment
A000369,Committee on Transportation and Infrastructure,Transportation
A000369,Committee on Natural Resources,Public Lands
A000369,Committee on Agriculture,Agriculture
A000369,Committee on the Judiciary,Law and Crime
A000369,Committee on Rules,Government Operations
A000369,Committee on Financial Services,Domestic Commerce
A000369,"Committee on Banking, Housing, and Urban Affairs",Housing
A000369,Committee on Ways and Means,Macroeconomics
A000369,Committee on Finance,Macroeconomics
A000369,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000369,Committee on Energy and Commerce,Energy
A000369,Committee on Appropriations,Macroeconomics
A000369,Committee on Environment and Public Works,Environment
A000369,Committee on Homeland Security,Defense
A000369,Committee on Science and Technology,
A000369,Committee on Commerce,Domestic Commerce
A000369,Committee on Science,Technology
A000369,Committee on Homeland Security and Governmental Affairs,Government Operations
A000369,Committee on Veterans' Affairs,Social Welfare
A000369,Committee on Armed Services,Defense
A000370,Committee on Rules,Government Operations
A000370,Committee on the Judiciary,Law and Crime
A000370,Committee on Ways and Means,Macroeconomics
A000370,Committee on Appropriations,Macroeconomics
A000370,Committee on Education and the Workforce,Education
A000370,Committee on Energy and Commerce,Energy
A000370,Committee on Financial Services,Domestic Commerce
A000370,Committee on Education,Education
A000370,Committee on the Budget,Macroeconomics
A000370,Committee on Agriculture,Agriculture
A000370,Committee on Armed Services,Defense
A000370,Committee on Homeland Security,Defense
A000370,Committee on Natural Resources,Public Lands
A000370,Committee on Oversight and Government Reform,Government Operations
A000370,"Committee on Science, Space, and Technology",Technology
A000370,Committee on Transportation and Infrastructure,Transportation
A000370,Committee on Veterans' Affairs,Social Welfare
A000370,Committee on Foreign Affairs,International Affairs
A000370,Committee on House Administration,Government Operations
A000370,Committee on Small Business,Domestic Commerce
A000370,Joint Committee on Taxation,Macroeconomics
A000370,Committee of the Whole House on the State of the Union,
A000370,Committee on Environment and Public Works,Environment
A000370,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000370,"Committee on Health, Education, Labor, and Pensions",Health
A000371,Committee on Energy and Commerce,Energy
A000371,Committee on Rules,Government Operations
A000371,Committee on Education and the Workforce,Education
A000371,Committee on Financial Services,Domestic Commerce
A000371,Committee on Appropriations,Macroeconomics
A000371,Committee on Ways and Means,Macroeconomics
A000371,Committee on Transportation and Infrastructure,Transportation
A000371,Committee on Armed Services,Defense
A000371,Committee on Natural Resources,Public Lands
A000371,Committee on Commerce,Domestic Commerce
A000371,Committee on Science,Technology
A000371,Ad Hoc Committee on Energy,
A000371,"Committee on Health, Education, Labor, and Pensions",Health
A000371,Committee on Small Business,Domestic Commerce
A000371,Committee on Small Business and Entrepreneurship,Domestic Commerce
A000371,Committee on the Judiciary,Law and Crime
A000371,Select Committee on Intelligence,Defense
A000371,Committee on Foreign Affairs,International Affairs
A000371,House Permanent Select Committee on Intelligence,Defense
A000371,Committee on Foreign Relations,International Affairs
A000371,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000371,Committee on Energy and Natural Resources,Energy
A000371,Committee on Oversight and Government Reform,Government Operations
A000371,Committee on Homeland Security and Governmental Affairs,Government Operations
A000371,Committee on Homeland Security,Defense
A000371,"Committee on Science, Space, and Technology",Technology
A000371,Committee on Environment and Public Works,Environment
A000371,"Committee on Banking, Housing, and Urban Affairs",Housing
A000371,Committee on the Budget,Macroeconomics
A000371,Committee on Finance,Macroeconomics
A000371,Committee on Public Works,
A000371,Committee on Agriculture,Agriculture
A000371,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
A000371,Committee on Science and Technology,
A000371,Committee on House Administration,Government Operations
A000371,Committee on Rules and Administration,Government Operations
A000371,Joint Committee on Taxation,Macroeconomics
A000371,Joint Committee on the Library,
A000371,Committee on Veterans' Affairs,Social Welfare
A000371,Committee on International Relations,
A000371,Committee on Education and Labor,Education
A000372,Committee on Rules,Government Operations
A000372,Committee on Financial Services,Domestic Commerce
A000372,Committee on the Judiciary,Law and Crime
A000372,Committee on Appropriations,Macroeconomics
A000372,Committee on Homeland Security,Defense
A000372,Committee on Education and the Workforce,Education
A000372,Committee on Energy and Commerce,Energy
A000372,Committee on Ways and Means,Macroeconomics
A000372,Committee on Energy and Natural Resources,Energy
A000372,Committee on Transportation and Infrastructure,Transportation
A000372,Committee on Education,Education
A000372,"Committee on Health, Education, Labor, and Pensions",Health
A000372,Committee on Natural Resources,Public Lands
A000372,Committee on Education and Labor,Education
A000372,Committee on Indian Affairs,Civil Rights
A000372,Committee on Oversight and Government Reform,Government Operations
A000372,"Committee on Science, Space, and Technology",Technology
A000372,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000372,Committee on Agriculture,Agriculture
A000372,Committee on Oversight,Government Operations
A000372,Committee on the Budget,Macroeconomics
A000372,Joint Committee on Taxation,Macroeconomics
A000372,Permanent Select Committee on Intelligence,Defense
A000372,Committee on Armed Services,Defense
A000372,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
A000372,"Committee on Banking, Housing, and Urban Affairs",Housing
A000372,Committee on Foreign Affairs,International Affairs
A000372,Committee on Veterans' Affairs,Social Welfare
A000372,Committee on Environment and Public Works,Environment
A000372,Committee on Public Works,
A000372,Committee on Small Business,Domestic Commerce
A000373,Committee on Rules,Government Operations
A000373,Committee on Ways and Means,Macroeconomics
A000373,Committee on Financial Services,Domestic Commerce
A000373,Committee on Appropriations,Macroeconomics
A000373,Committee on Energy and Commerce,Energy
A000373,Committee on Natural Resources,Public Lands
A000373,Committee on Transportation and Infrastructure,Transportation
A000373,Committee on Environment and Public Works,Environment
A000373,"Committee on Commerce, Science, and Transportation",Domestic Commerce
A000373,Committee on Armed Services,Defense
A000373,Select Committee on Intelligence,Defense
A000373,Committee on the Judiciary,Law and Crime
A000373,Committee on Homeland Security and Governmental Affairs,Government Operations
A000373,Committee on Foreign Relations,International Affairs
A000373,House Permanent Select Committee on Intelligence,Defense
A000373,Committee on Homeland Security,Defense
A000373,Committee on Foreign Affairs,International Affairs
A000373,Committee on Agriculture,Agriculture
A000373,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
A000373,Committee on Energy and Natural Resources,Energy
A000373,"Committee on Banking, Housing, and Urban Affairs",Housing
A000373,Committee on Science and Technology,
A000373,Committee on Commerce,Domestic Commerce
A000373,Committee on Science,Technology
A000373,Committee on House Administration,Government Operations
A000373,Committee on Rules and Administration,Government Operations
A000373,Joint Committee on Taxation,Macroeconomics
A000373,Joint Committee on the Library,
A000373,Committee on Veterans' Affairs,Social Welfare
A000373,Committee on Oversight and Government Reform,Government Operations
A000373,Committee on International Relations,
A000373,Committee on Public Works,
A000373,"Committee on Science, Space, and Technology",Technology
A000373,Committee on Education and Labor,Education
A000373,"Committee on Health, Education, Labor, and Pensions",Health
A000373,Committee on the Budget,Macroeconomics
A000373,Committee on Finance,Macroeconomics
A000374,Committee on Appropriations,Macroeconomics
A000374,Committee on Rules,Government Operations
A000374,Committee on Armed Services,Defense
A000374,Committee on the Judiciary,Law and Crime
A000374,Committee on Agriculture,Agriculture
A000374,Committee on Natural Resources,Public Lands
A000374,Committee on Veterans' Affairs,Social Welfare
A000374,Committee on Oversight and Government Reform,Government Operations
A000374,Committee on Homeland Security and Governmental Affairs,Government Operations
A000374,Committee on Education,Education
A000374,Committee on the Budget,Macroeconomics
A000374,Ad Hoc Committee on Energy,
A000374,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
A000374,Committee on Energy and Natural Resources,Energy
B000213,Committee on Appropriations,Macroeconomics
B000213,Committee on Ways and Means,Macroeconomics
B000213,Committee on Rules,Government Operations
B000213,Committee on Energy and Commerce,Energy
B000213,Committee on Financial Services,Domestic Commerce
B000213,Committee on Natural Resources,Public Lands
B000213,"Committee on Health, Education, Labor, and Pensions",Health
B000213,Committee on Foreign Affairs,International Affairs
B000213,Committee on Energy and Natural Resources,Energy
B000213,Committee on Oversight and Government Reform,Government Operations
B000213,Committee on Transportation and Infrastructure,Transportation
B000213,"Committee on Science, Space, and Technology",Technology
B000213,Ad Hoc Committee on Energy,
B000213,Committee on Foreign Relations,International Affairs
B000213,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000213,Committee on Commerce,Domestic Commerce
B000213,Committee on Science,Technology
B000213,Committee on Veterans' Affairs,Social Welfare
B000213,Committee on Education and the Workforce,Education
B000213,Committee on Homeland Security and Governmental Affairs,Government Operations
B000213,Committee on Homeland Security,Defense
B000213,Committee on Education and Labor,Education
B000213,Committee on the Judiciary,Law and Crime
B000213,Committee on Finance,Macroeconomics
B000287,Joint Committee on Taxation,Macroeconomics
B000287,Committee on the Budget,Macroeconomics
B000287,Joint Committee on Internal Revenue Taxation,
B000287,Committee on Rules,Government Operations
B000287,Committee on Energy and Commerce,Energy
B000287,Committee on Financial Services,Domestic Commerce
B000287,"Committee on Science, Space, and Technology",Technology
B000287,Committee on Ways and Means,Macroeconomics
B000287,Committee on the Judiciary,Law and Crime
B000287,Committee on Appropriations,Macroeconomics
B000287,Committee on Oversight and Government Reform,Government Operations
B000287,Permanent Select Committee on Intelligence,Defense
B000287,Committee on Agriculture,Agriculture
B000287,Committee on Armed Services,Defense
B000287,Committee on Foreign Affairs,International Affairs
B000287,Committee on Transportation and Infrastructure,Transportation
B000287,Committee on House Administration,Government Operations
B000287,Committee on Standards of Official Conduct,Government Operations
B000287,Committee on Ethics,Government Operations
B000287,Committee on Natural Resources,Public Lands
B000287,Committee on Education and the Workforce,Education
B000287,Committee on Small Business,Domestic Commerce
B000287,Committee on Homeland Security,Defense
B000287,Committee on Homeland Security and Governmental Affairs,Government Operations
B000287,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000287,Committee on Finance,Macroeconomics
B000287,Committee on Foreign Relations,International Affairs
B000287,Select Committee on Energy Independence and Global Warming,
B000287,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B000287,House Permanent Select Committee on Intelligence,Defense
B000287,Select Committee on Intelligence,Defense
B000287,Committee on Veterans' Affairs,Social Welfare
B000490,Committee on Ways and Means,Macroeconomics
B000490,Committee on the Budget,Macroeconomics
B000490,Committee on Rules,Government Operations
B000490,Committee on Appropriations,Macroeconomics
B000490,Committee on Veterans' Affairs,Social Welfare
B000490,Committee on House Administration,Government Operations
B000490,Joint Committee on Taxation,Macroeconomics
B000490,Joint Committee on the Library,
B000490,Committee on Rules and Administration,Government Operations
B000490,Joint Committee on Printing,
B000490,Committee on Agriculture,Agriculture
B000490,Committee on Energy and Commerce,Energy
B000490,Committee on Transportation and Infrastructure,Transportation
B000490,Permanent Select Committee on Intelligence,Defense
B000490,Committee on Foreign Affairs,International Affairs
B000490,Committee on Energy and Natural Resources,Energy
B000490,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B000490,Committee on Armed Services,Defense
B000490,House Permanent Select Committee on Intelligence,Defense
B000490,Select Committee on Intelligence,Defense
B000490,Committee on Natural Resources,Public Lands
B000490,Committee on Financial Services,Domestic Commerce
B000490,"Committee on Banking, Housing, and Urban Affairs",Housing
B000490,Committee on Environment and Public Works,Environment
B000490,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000490,Committee on Science and Technology,
B000490,Committee on Commerce,Domestic Commerce
B000490,Committee on Science,Technology
B000490,Committee on Homeland Security and Governmental Affairs,Government Operations
B000490,Committee on Homeland Security,Defense
B000490,Committee on Oversight and Government Reform,Government Operations
B000490,Committee on International Relations,
B000490,Committee on Public Works,
B000490,Committee on Foreign Relations,International Affairs
B000490,"Committee on Science, Space, and Technology",Technology
B000490,Committee on the Judiciary,Law and Crime
B000490,Committee on Education and Labor,Education
B000490,"Committee on Health, Education, Labor, and Pensions",Health
B000490,Committee on Finance,Macroeconomics
B000490,Committee on Small Business,Domestic Commerce
B000574,Joint Committee on Taxation,Macroeconomics
B000574,Committee on Ways and Means,Macroeconomics
B000574,Committee on Education and the Workforce,Education
B000574,Committee on Small Business,Domestic Commerce
B000574,Committee on Energy and Commerce,Energy
B000574,Committee on the Judiciary,Law and Crime
B000574,Committee on Transportation and Infrastructure,Transportation
B000574,Committee on Finance,Macroeconomics
B000574,Committee on the Budget,Macroeconomics
B000574,Committee on Rules,Government Operations
B000574,Committee on Appropriations,Macroeconomics
B000574,Committee on Veterans' Affairs,Social Welfare
B000574,Committee on Foreign Relations,International Affairs
B000574,Committee on Foreign Affairs,International Affairs
B000574,House Permanent Select Committee on Intelligence,Defense
B000574,Committee on Financial Services,Domestic Commerce
B000574,Committee on Homeland Security,Defense
B000574,Committee on Armed Services,Defense
B000574,"Committee on Science, Space, and Technology",Technology
B000574,Committee on Agriculture,Agriculture
B000574,Select Committee on Intelligence,Defense
B000574,Committee on Homeland Security and Governmental Affairs,Government Operations
B000574,Select Committee on Energy Independence and Global Warming,
B000574,Committee on Natural Resources,Public Lands
B000574,"Committee on Banking, Housing, and Urban Affairs",Housing
B000574,Permanent Select Committee on Intelligence,Defense
B000574,Committee on Energy and Natural Resources,Energy
B000574,Committee on Oversight and Government Reform,Government Operations
B000574,Committee on Oversight,Government Operations
B000574,Committee on Education,Education
B000574,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
B000574,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B000574,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000574,Committee on Environment and Public Works,Environment
B000574,Committee on Commerce,Domestic Commerce
B000574,Committee on Science,Technology
B000574,Committee on Public Works,
B000574,"Committee on Health, Education, Labor, and Pensions",Health
B000574,Committee on House Administration,Government Operations
B000574,Joint Committee on the Library,
B000574,Committee on Rules and Administration,Government Operations
B000575,Committee on Rules and Administration,Government Operations
B000575,Committee on Appropriations,Macroeconomics
B000575,Select Committee on Intelligence,Defense
B000575,Committee on the Judiciary,Law and Crime
B000575,Committee on the Budget,Macroeconomics
B000575,Committee on Armed Services,Defense
B000575,"Committee on Banking, Housing, and Urban Affairs",Housing
B000575,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000575,Committee on Energy and Natural Resources,Energy
B000575,Committee on Finance,Macroeconomics
B000575,Committee on Small Business and Entrepreneurship,Domestic Commerce
B000575,Committee on Foreign Relations,International Affairs
B000575,Committee on Homeland Security and Governmental Affairs,Government Operations
B000575,Committee on Veterans' Affairs,Social Welfare
B000575,"Committee on Health, Education, Labor, and Pensions",Health
B000575,Joint Committee on Taxation,Macroeconomics
B000575,Special Committee on Aging,Social Welfare
B000575,Joint Committee on Printing,
B000575,Committee on Ways and Means,Macroeconomics
B000575,Committee on Foreign Affairs,International Affairs
B000575,Committee on Education and the Workforce,Education
B000575,Committee on Indian Affairs,Civil Rights
B000575,Committee on Natural Resources,Public Lands
B000575,Committee on Public Lands,
B000575,Committee on Commerce,Domestic Commerce
B000575,Select Committee on Ethics,Government Operations
B000575,Committee on Education,Education
B000575,Committee on Environment and Public Works,Environment
B000575,House Permanent Select Committee on Intelligence,Defense
B000575,Committee on House Administration,Government Operations
B000575,Committee on Homeland Security,Defense
B000575,Committee on Transportation and Infrastructure,Transportation
B000575,Committee on Energy and Commerce,Energy
B000589,Committee on the Judiciary,Law and Crime
B000589,Committee on Agriculture,Agriculture
B000589,Committee on Energy and Commerce,Energy
B000589,Committee on Ways and Means,Macroeconomics
B000589,Committee on Homeland Security,Defense
B000589,Committee on Homeland Security and Governmental Affairs,Government Operations
B000589,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000589,Committee on Transportation and Infrastructure,Transportation
B000589,Committee on Appropriations,Macroeconomics
B000589,Committee on Finance,Macroeconomics
B000589,Committee on Financial Services,Domestic Commerce
B000589,Committee on Foreign Affairs,International Affairs
B000589,Committee on Foreign Relations,International Affairs
B000589,Select Committee on Energy Independence and Global Warming,
B000589,Permanent Select Committee on Intelligence,Defense
B000589,Committee on Oversight and Government Reform,Government Operations
B000589,Committee on Oversight,Government Operations
B000589,Committee on Education,Education
B000589,Committee on Education and the Workforce,Education
B000711,Committee on Environment and Public Works,Environment
B000711,Select Committee on Intelligence,Defense
B000711,"Committee on Health, Education, Labor, and Pensions",Health
B000711,Special Committee on Aging,Social Welfare
B000711,Committee on Energy and Commerce,Energy
B000711,Committee on Energy and Natural Resources,Energy
B000711,Committee on the Judiciary,Law and Crime
B000711,Committee on the Budget,Macroeconomics
B000711,Committee on Finance,Macroeconomics
B000711,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B000711,Committee on Appropriations,Macroeconomics
B000711,Joint Committee on Taxation,Macroeconomics
B000711,Committee on Ways and Means,Macroeconomics
B000711,"Committee on Banking, Housing, and Urban Affairs",Housing
B000711,House Permanent Select Committee on Intelligence,Defense
B000711,Committee on Homeland Security and Governmental Affairs,Government Operations
B000711,Committee on Veterans' Affairs,Social Welfare
B000711,Committee on Transportation and Infrastructure,Transportation
B000711,Committee on Small Business and Entrepreneurship,Domestic Commerce
B000711,"Committee on Science, Space, and Technology",Technology
B000711,Committee on Indian Affairs,Civil Rights
B000711,Committee on Foreign Relations,International Affairs
B000711,Committee on Armed Services,Defense
B000711,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B000711,Committee on Homeland Security,Defense
B000711,Committee on Education,Education
B000711,Committee on Natural Resources,Public Lands
B000711,Committee on Education and the Workforce,Education
B000711,Committee on Commerce,Domestic Commerce
B000711,Committee on Agriculture,Agriculture
B000711,Select Committee on Ethics,Government Operations
B000711,Committee on Rules,Government Operations
B000755,Committee on Education and the Workforce,Education
B000755,Committee on Energy and Commerce,Energy
B000755,Committee on the Judiciary,Law and Crime
B000755,Committee on Ways and Means,Macroeconomics
B000755,Committee on the Budget,Macroeconomics
B000755,Committee on Agriculture,Agriculture
B000755,Committee on Armed Services,Defense
B000755,Committee on Financial Services,Domestic Commerce
B000755,Committee on Homeland Security,Defense
B000755,Committee on Natural Resources,Public Lands
B000755,Committee on Oversight and Government Reform,Government Operations
B000755,"Committee on Science, Space, and Technology",Technology
B000755,Committee on Transportation and Infrastructure,Transportation
B000755,Committee on Veterans' Affairs,Social Welfare
B000755,Committee on Foreign Affairs,International Affairs
