bioguide_id,first_name,last_name,congress,chamber,party,state,district,terms_served_before,terms_served_total,years_in_congress,first_term_start,up_for_reelection,senate_class,gender,birthday
A000374,Ralph,Abraham,114,house,Republican,LA,5,0,0,0.0,2015-01-06,1,,M,1954-09-16
A000370,Alma,Adams,114,house,Democrat,NC,12,1,1,0.2,2014-11-12,1,,F,1946-05-27
A000055,Robert,Aderholt,114,house,Republican,AL,4,9,9,18.0,1997-01-07,1,,M,1965-07-22
A000371,Pete,Aguilar,114,house,Democrat,CA,31,0,0,0.0,2015-01-06,1,,M,1979-06-19
A000372,Rick,Allen,114,house,Republican,GA,12,0,0,0.0,2015-01-06,1,,M,1951-11-07
A000367,Justin,Amash,114,house,Republican,MI,3,2,2,4.0,2011-01-05,1,,M,1980-04-18
A000369,Mark,Amodei,114,house,Republican,NV,2,2,2,3.3,2011-09-13,1,,M,1958-06-12
A000373,Brad,Ashford,114,house,Democrat,NE,2,0,0,0.0,2015-01-06,1,,M,1949-11-10
B001291,Brian,Babin,114,house,Republican,TX,36,0,0,0.0,2015-01-06,1,,M,1948-03-23
B001269,Lou,Barletta,114,house,Republican,PA,11,2,2,4.0,2011-01-05,1,,M,1956-01-28
B001282,Garland,Barr,114,house,Republican,KY,6,1,1,2.0,2013-01-03,1,,M,1973-07-24
B000213,Joe,Barton,114,house,Republican,TX,6,15,15,30.0,1985-01-03,1,,M,1949-09-15
B001270,Karen,Bass,114,house,Democrat,CA,37,2,2,4.0,2011-01-05,1,,F,1953-10-03
B001281,Joyce,Beatty,114,house,Democrat,OH,3,1,1,2.0,2013-01-03,1,,F,1950-03-12
B000287,Xavier,Becerra,114,house,Democrat,CA,34,11,11,22.0,1993-01-05,1,,M,1958-01-26
B001271,Dan,Benishek,114,house,Republican,MI,1,2,2,4.0,2011-01-05,1,,M,1952-04-20
B001287,Ami,Bera,114,house,Democrat,CA,7,1,1,2.0,2013-01-03,1,,M,1965-03-02
B001292,Donald,Beyer,114,house,Democrat,VA,8,0,0,0.0,2015-01-06,1,,M,1950-06-20
