granuleId,packageId,date,members,role,chamber,congress,gpoId,authorityId,bioGuideId,memberName,state,party,name__parsed,name__authority-lnf,name__authority-fnf,name__authority-other
CREC-2015-01-06-pt1-PgH-FrontMatter,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH2-2,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH2,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH1,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7836,70,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8371,2094,M001184,"Massie, Thomas",KY,R,Mr. MASSIE,"Massie, Thomas",Thomas Massie,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,2155,B001283,"Bridenstine, Jim",OK,R,Mr. BRIDENSTINE,"Bridenstine, Jim",Jim Bridenstine,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7918,1724,K000362,"King, Steve",IA,R,Mr. KING of Iowa,"King, Steve",Steve King,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7813,905,P000197,"Pelosi, Nancy",CA,D,Ms. PELOSI,"Pelosi, Nancy",Nancy Pelosi,
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8098,102,B000589,"Boehner, John A.",OH,R,Mr. BOEHNER,"Boehner, John A.",John A. Boehner,John Boehner
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7999,229,C000714,"Conyers, John, Jr.",MI,D,Mr. CONYERS,"Conyers, John, Jr.","John Conyers, Jr.",John Conyers Jr.
CREC-2015-01-06-pt1-PgH6,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH6-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7836,70,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-01-06-pt1-PgH6-2,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-01-06-pt1-PgH6-6,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-01-06-pt1-PgH6-6,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7836,70,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-01-06-pt1-PgH6-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-01-06-pt1-PgH6-5,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7836,70,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-01-06-pt1-PgH7-2,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH7,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7827,1833,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-01-06-pt1-PgH6-7,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7827,1833,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-01-06-pt1-PgH28,CREC-2015-01-06,2015-01-06,,,,,,,,,,,,,,
CREC-2015-01-06-pt1-PgH7-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7902,688,L000287,"Lewis, John",GA,D,Mr. LEWIS,"Lewis, John",John Lewis,
CREC-2015-01-06-pt1-PgH28-3,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7836,70,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-01-06-pt1-PgH28-2,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7827,1833,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7871,868,N000147,"Norton, Eleanor Holmes",DC,D,Ms. NORTON,"Norton, Eleanor Holmes",Eleanor Holmes Norton,Eleanor Norton
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,2236,C001103,"Carter, Earl L. ""Buddy""",GA,R,Mr. CARTER of Georgia,"Carter, Earl L. ""Buddy""","Earl L. ""Buddy"" Carter",Mr. Earl Carter
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,2250,T000475,"Trott, David A.",MI,R,Mr. TROTT,"Trott, David A.",David A. Trott,Mr. David Trott
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,2276,G000576,"Grothman, Glenn",WI,R,Mr. GROTHMAN,"Grothman, Glenn",Glenn Grothman,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,,2259,W000822,"Watson Coleman, Bonnie",NJ,D,Mrs. WATSON COLEMAN,"Watson Coleman, Bonnie",Bonnie Watson Coleman,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8027,930,P000523,"Price, David E.",NC,D,Mr. PRICE of North Carolina,"Price, David E.",David E. Price,David Price
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8188,1525,S000250,"Sessions, Pete",TX,R,Mr. SESSIONS,"Sessions, Pete",Pete Sessions,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8089,1069,S000480,"Slaughter, Louise McIntosh",NY,D,Ms. SLAUGHTER,"Slaughter, Louise McIntosh",Louise McIntosh Slaughter,Louise Slaughter
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7980,566,H000874,"Hoyer, Steny H.",MD,D,Mr. HOYER,"Hoyer, Steny H.",Steny H. Hoyer,Steny Hoyer
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7983,1729,V000128,"Van Hollen, Chris",MD,D,Mr. VAN HOLLEN,"Van Hollen, Chris",Chris Van Hollen,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7868,281,D000216,"DeLauro, Rosa L.",CT,D,Ms. DeLAURO,"DeLauro, Rosa L.",Rosa L. DeLauro,Rosa Delauro
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8146,208,C000537,"Clyburn, James E.",SC,D,Mr. CLYBURN,"Clyburn, James E.",James E. Clyburn,James Clyburn
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7968,1504,M000312,"McGovern, James P.",MA,D,Mr. McGOVERN,"McGovern, James P.",James P. McGovern,James Mcgovern
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,8181,303,D000399,"Doggett, Lloyd",TX,D,Mr. DOGGETT,"Doggett, Lloyd",Lloyd Doggett,
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,2015-01-06,,SPEAKING,H,114,7903,1778,P000591,"Price, Tom",GA,R,Mr. PRICE of Georgia,"Price, Tom",Tom Price,
