granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-01-29-pt1-PgS611,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS611-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS611-3,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS611-4,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS611-5,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS611-6,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS612,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2015-01-29-pt1-PgS611-8,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2015-01-29-pt1-PgS611-8,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS611-7,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS613-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS613-3,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS613-4,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000174,"Carper, Thomas R.",DE,D,"Carper, Thomas R.",Mr. CARPER,Thomas R. Carper,Thomas Carper
CREC-2015-01-29-pt1-PgS613,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2015-01-29-pt1-PgS614,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000174,"Carper, Thomas R.",DE,D,"Carper, Thomas R.",Mr. CARPER,Thomas R. Carper,Thomas Carper
CREC-2015-01-29-pt1-PgS614,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. CARDIN,Benjamin L. Cardin,Ben Cardin
CREC-2015-01-29-pt1-PgS617,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001236,"Boozman, John",AR,R,"Boozman, John",Mr. BOOZMAN,John Boozman,
CREC-2015-01-29-pt1-PgS615,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. CARDIN,Benjamin L. Cardin,Ben Cardin
CREC-2015-01-29-pt1-PgS615,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Mikulski
CREC-2015-01-29-pt1-PgS615,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Ann Mikulski
CREC-2015-01-29-pt1-PgS616,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Mikulski
CREC-2015-01-29-pt1-PgS616,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Ann Mikulski
CREC-2015-01-29-pt1-PgS616,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001236,"Boozman, John",AR,R,"Boozman, John",Mr. BOOZMAN,John Boozman,
CREC-2015-01-29-pt1-PgS617-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2015-01-29-pt1-PgS617-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",Mr. ROBERTS,Pat Roberts,
CREC-2015-01-29-pt1-PgS619,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",Mr. ROBERTS,Pat Roberts,
CREC-2015-01-29-pt1-PgS619,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,U000039,"Udall, Tom",NM,D,"Udall, Tom",Mr. UDALL,Tom Udall,
CREC-2015-01-29-pt1-PgS620,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,U000039,"Udall, Tom",NM,D,"Udall, Tom",Mr. UDALL,Tom Udall,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,V000127,"Vitter, David",LA,R,"Vitter, David",Mr. VITTER,David Vitter,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,S000770,"Stabenow, Debbie",MI,D,"Stabenow, Debbie",Ms. STABENOW,Debbie Stabenow,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000127,"Cantwell, Maria",WA,D,"Cantwell, Maria",Ms. CANTWELL,Maria Cantwell,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001267,"Bennet, Michael F.",CO,D,"Bennet, Michael F.",Mr. BENNET,Michael F. Bennet,Michael Bennet
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,D000618,"Daines, Steve",MT,R,"Daines, Steve",Mr. DAINES,Steve Daines,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,"Cornyn, John",Mr. CORNYN,John Cornyn,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001135,"Burr, Richard",NC,R,"Burr, Richard",Mr. BURR,Richard Burr,Richard Mauze Burr
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,U000039,"Udall, Tom",NM,D,"Udall, Tom",Mr. UDALL,Tom Udall,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,P000449,"Portman, Rob",OH,R,"Portman, Rob",Mr. PORTMAN,Rob Portman,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001261,"Barrasso, John",WY,R,"Barrasso, John",Mr. BARRASSO,John Barrasso,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. CARDIN,Benjamin L. Cardin,Ben Cardin
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,A000360,"Alexander, Lamar",TN,R,"Alexander, Lamar",Mr. ALEXANDER,Lamar Alexander,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C001095,"Cotton, Tom",AR,R,"Cotton, Tom",Mr. COTTON,Tom Cotton,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C001035,"Collins, Susan M.",ME,R,"Collins, Susan M.",Ms. COLLINS,Susan M. Collins,Susan Collins
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence Nelson
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,W000817,"Warren, Elizabeth",MA,D,"Warren, Elizabeth",Ms. WARREN,Elizabeth Warren,Elizabeth A. Warren
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,F000062,"Feinstein, Dianne",CA,D,"Feinstein, Dianne",Ms. FEINSTEIN,Dianne Feinstein,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,P000612,"Perdue, David",GA,R,"Perdue, David",Mr. PERDUE,David Perdue,David Alfred Perdue
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M001169,"Murphy, Christopher",CT,D,"Murphy, Christopher",Mr. MURPHY,Christopher Murphy,Christopher S. Murphy
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",Mr. BROWN,Sherrod Brown,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001288,"Booker, Cory A.",NJ,D,"Booker, Cory A.",Mr. BOOKER,Cory A. Booker,Cory Booker
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000542,"Coats, Daniel",IN,R,"Coats, Daniel",Mr. COATS,Daniel Coats,Daniel Ray Coats
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000711,"Boxer, Barbara",CA,D,"Boxer, Barbara",Mrs. BOXER,Barbara Boxer,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000133,"Markey, Edward J.",MA,D,"Markey, Edward J.",Mr. MARKEY,Edward J. Markey,Edward Markey
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,W000437,"Wicker, Roger F.",MS,R,"Wicker, Roger F.",Mr. WICKER,Roger F. Wicker,Roger Wicker
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000605,"Rounds, Mike",SD,R,"Rounds, Mike",Mr. ROUNDS,Mike Rounds,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C001071,"Corker, Bob",TN,R,"Corker, Bob",Mr. CORKER,Bob Corker,
CREC-2015-01-29-pt1-PgS620-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,H001061,"Hoeven, John",ND,R,"Hoeven, John",Mr. HOEVEN,John Hoeven,
CREC-2015-01-29-pt1-PgS645,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,"Cornyn, John",Mr. CORNYN,John Cornyn,
CREC-2015-01-29-pt1-PgS645,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,S000033,"Sanders, Bernard",VT,I,"Sanders, Bernard",Mr. SANDERS,Bernard Sanders,Bernie Sanders
CREC-2015-01-29-pt1-PgS645-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,S000033,"Sanders, Bernard",VT,I,"Sanders, Bernard",Mr. SANDERS,Bernard Sanders,Bernie Sanders
CREC-2015-01-29-pt1-PgS620-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS648,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Mr. HATCH,Orrin G. Hatch,Orrin Hatch
CREC-2015-01-29-pt1-PgS648,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Mr. HATCH,Orrin G. Hatch,Orrin Grant Hatch
CREC-2015-01-29-pt1-PgS649,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000575,"Blunt, Roy",MO,R,"Blunt, Roy",Mr. BLUNT,Roy Blunt,
CREC-2015-01-29-pt1-PgS650,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,I000055,"Isakson, Johnny",GA,R,"Isakson, Johnny",Mr. ISAKSON,Johnny Isakson,
CREC-2015-01-29-pt1-PgS648-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,C000567,"Cochran, Thad",MS,R,"Cochran, Thad",Mr. COCHRAN,Thad Cochran,
CREC-2015-01-29-pt1-PgS651,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS650-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000711,"Boxer, Barbara",CA,D,"Boxer, Barbara",Mrs. BOXER,Barbara Boxer,
CREC-2015-01-29-pt1-PgS650-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001236,"Boozman, John",AR,R,"Boozman, John",Mr. BOOZMAN,John Boozman,
CREC-2015-01-29-pt1-PgS651-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS651-3,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS651-4,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS652,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS651-5,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS652-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS653-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS653,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS654-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000133,"Markey, Edward J.",MA,D,"Markey, Edward J.",Mr. MARKEY,Edward J. Markey,Edward Markey
CREC-2015-01-29-pt1-PgS654,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000133,"Markey, Edward J.",MA,D,"Markey, Edward J.",Mr. MARKEY,Edward J. Markey,Edward Markey
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence Nelson
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000122,"Reed, Jack",RI,D,"Reed, Jack",Mr. REED,Jack Reed,John Reed
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000122,"Reed, Jack",RI,D,"Reed, Jack",Mr. REED,Jack Reed,John F. Reed
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Mikulski
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Ann Mikulski
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski,
CREC-2015-01-29-pt1-PgS654-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,W000817,"Warren, Elizabeth",MA,D,"Warren, Elizabeth",Ms. WARREN,Elizabeth Warren,Elizabeth A. Warren
CREC-2015-01-29-pt1-PgS655,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2015-01-29-pt1-PgS655,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence Nelson
CREC-2015-01-29-pt1-PgS655,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2015-01-29-pt1-PgS656,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000122,"Reed, Jack",RI,D,"Reed, Jack",Mr. REED,Jack Reed,John Reed
CREC-2015-01-29-pt1-PgS656,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,R000122,"Reed, Jack",RI,D,"Reed, Jack",Mr. REED,Jack Reed,John F. Reed
CREC-2015-01-29-pt1-PgS656-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Mikulski
CREC-2015-01-29-pt1-PgS656-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000702,"Mikulski, Barbara A.",MD,D,"Mikulski, Barbara A.",Ms. MIKULSKI,Barbara A. Mikulski,Barbara Ann Mikulski
CREC-2015-01-29-pt1-PgS657,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski,
CREC-2015-01-29-pt1-PgS658,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS657-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,W000817,"Warren, Elizabeth",MA,D,"Warren, Elizabeth",Ms. WARREN,Elizabeth Warren,Elizabeth A. Warren
CREC-2015-01-29-pt1-PgS659,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS660,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS659-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS660-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS661,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS660-3,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS661-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS661-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B001261,"Barrasso, John",WY,R,"Barrasso, John",Mr. BARRASSO,John Barrasso,
CREC-2015-01-29-pt1-PgS661-4,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski,
CREC-2015-01-29-pt1-PgS661-5,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS662,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS662-2,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS662-3,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS662-4,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-01-29-pt1-PgS662-4,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",Mr. BROWN,Sherrod Brown,
CREC-2015-01-29-pt1-PgS662-5,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",Mr. BROWN,Sherrod Brown,
CREC-2015-01-29-pt1-PgS662-6,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",Mr. BROWN,Sherrod Brown,
CREC-2015-01-29-pt1-PgS662-7,CREC-2015-01-29,2015-01-29,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",Mr. BROWN,Sherrod Brown,
CREC-2015-01-29-pt1-PgS663,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS663-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgS664,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD83,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD81,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD80,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD83-2,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD83-3,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
CREC-2015-01-29-pt1-PgD83-4,CREC-2015-01-29,2015-01-29,,,,,,,,,,,,
