granuleId,packageId,date,committees,authorityId,chamber,committeeName,type
CREC-2015-03-13-pt1-PgH1629-2,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-3,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-5,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-6,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-4,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-7,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1629-8,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630-4,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630-3,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630-2,CREC-2015-03-13,2015-03-13,,hsap00,H,Committee on Appropriations,S
CREC-2015-03-13-pt1-PgH1630-2,CREC-2015-03-13,2015-03-13,,hlig00,H,Permanent Select Committee on Intelligence,L
CREC-2015-03-13-pt1-PgH1630-6,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630-5,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1630-7,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1634,CREC-2015-03-13,2015-03-13,,hswm00,H,Committee on Ways and Means,S
CREC-2015-03-13-pt1-PgH1634,CREC-2015-03-13,2015-03-13,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-03-13-pt1-PgH1635,CREC-2015-03-13,2015-03-13,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-03-13-pt1-PgH1635,CREC-2015-03-13,2015-03-13,,hsba00,H,Committee on Financial Services,S
CREC-2015-03-13-pt1-PgH1635,CREC-2015-03-13,2015-03-13,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-03-13-pt1-PgH1635,CREC-2015-03-13,2015-03-13,,hsju00,H,Committee on the Judiciary,S
CREC-2015-03-13-pt1-PgH1635,CREC-2015-03-13,2015-03-13,,hsed00,H,Committee on Education and the Workforce,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsag00,H,Committee on Agriculture,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsas00,H,Committee on Armed Services,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsba00,H,Committee on Financial Services,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsgo00,H,Committee on Oversight and Government Reform,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsii00,H,Committee on Natural Resources,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsju00,H,Committee on the Judiciary,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-03-13-pt1-PgH1632-2,CREC-2015-03-13,2015-03-13,,hswm00,H,Committee on Ways and Means,S
CREC-2015-03-13-pt1-PgH1635-2,CREC-2015-03-13,2015-03-13,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-03-13-pt1-PgH1635-3,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-4,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-5,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-6,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-8,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-7,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-11,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-9,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-10,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-13,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-14,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1635-12,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1636,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1636-2,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgH1636-3,CREC-2015-03-13,2015-03-13,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-03-13-pt1-PgE323-2,CREC-2015-03-13,2015-03-04,,,,,
CREC-2015-03-13-pt1-PgE323-3,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE323-5,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE323-4,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE323-6,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE324,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE324-2,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgE324-3,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgD272,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgD272-2,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgD272-3,CREC-2015-03-13,2015-03-13,,hsap00,H,Committee on Appropriations,S
CREC-2015-03-13-pt1-PgD273-2,CREC-2015-03-13,2015-03-13,,ssga00,S,Committee on Homeland Security and Governmental Affairs,S
CREC-2015-03-13-pt1-PgD273-2,CREC-2015-03-13,2015-03-13,,hsap00,H,Committee on Appropriations,S
CREC-2015-03-13-pt1-PgD273-2,CREC-2015-03-13,2015-03-13,,hsba00,H,Committee on Financial Services,S
CREC-2015-03-13-pt1-PgD273-2,CREC-2015-03-13,2015-03-13,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-03-13-pt1-PgD273,CREC-2015-03-13,2015-03-13,,,,,
CREC-2015-03-13-pt1-PgD273-3,CREC-2015-03-13,2015-03-13,,jspr00,J,Joint Committee on Printing,J
