granuleId,packageId,date,title,collectionCode,granuleClass,chamber,pagePrefix,bookNumber,detailsLink,txtLink,pdfLink,packageLink,text_readability,text_bs4,parsed_text,relatedLink,docClass,category,lastModified,collectionName,__source_file,text_readability_len,text_bs4_len,parsed_text_len,search_text,search_text_len
CREC-2015-03-13-pt1-PgH1629-2,CREC-2015-03-13,2015-03-13,DESIGNATION OF THE SPEAKER PRO TEMPORE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-2,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-2/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-2/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, March 13, 2015. I hereby appoint the Honorable Barbara Comstock to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, March 13, 2015. I hereby appoint the Honorable Barbara Comstock to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-2,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,517,0,517,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] designation of the speaker pro tempore the speaker pro tempore laid before the house the following communication from the speaker: washington, dc, march 13, 2015. i hereby appoint the honorable barbara comstock to act as speaker pro tempore on this day. john a. boehner, speaker of the house of representatives. ____________________",517
CREC-2015-03-13-pt1-PgH1629,CREC-2015-03-13,2015-03-13,Senate,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H1629]] ----------------------------------------------------------------------- Senate The Senate was not in session today. Its next meeting will be held on Monday, March 16, 2015, at 3 p.m. ----------------------------------------------------------------------- House of Representatives Friday, March 13, 2015 The House met at 11 a.m. and was called to order by the Speaker pro tempore (Mrs. Comstock). ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H1629]] ----------------------------------------------------------------------- Senate The Senate was not in session today. Its next meeting will be held on Monday, March 16, 2015, at 3 p.m. ----------------------------------------------------------------------- House of Representatives Friday, March 13, 2015 The House met at 11 a.m. and was called to order by the Speaker pro tempore (Mrs. Comstock). ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,616,0,616,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] [[page h1629]] ----------------------------------------------------------------------- senate the senate was not in session today. its next meeting will be held on monday, march 16, 2015, at 3 p.m. ----------------------------------------------------------------------- house of representatives friday, march 13, 2015 the house met at 11 a.m. and was called to order by the speaker pro tempore (mrs. comstock). ____________________",616
CREC-2015-03-13-pt1-PgH1629-3,CREC-2015-03-13,2015-03-13,PRAYER,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-3,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-3/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-3/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER Reverend Peter Frank, Church of the Epiphany, Herndon, Virginia, offered the following prayer: Almighty God, maker and ruler of us all: You have given us a good land and made us into a great Nation. Today we ask Your blessing and guidance for the Members of the House of Representatives, their staff, and all who, in this place, support the work of government. Give them wisdom that they may fulfill with honor their responsibilities to those they represent. Defend them from the temptations that come with the authority they bear, so that they may serve You, serve each other, and serve the United States of America in humility and love. Comfort and care for those here today who are suffering private hurts as they do this public work. All this we ask in the name of Your Son, our Savior, Jesus Christ. Amen. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER Reverend Peter Frank, Church of the Epiphany, Herndon, Virginia, offered the following prayer: Almighty God, maker and ruler of us all: You have given us a good land and made us into a great Nation. Today we ask Your blessing and guidance for the Members of the House of Representatives, their staff, and all who, in this place, support the work of government. Give them wisdom that they may fulfill with honor their responsibilities to those they represent. Defend them from the temptations that come with the authority they bear, so that they may serve You, serve each other, and serve the United States of America in humility and love. Comfort and care for those here today who are suffering private hurts as they do this public work. All this we ask in the name of Your Son, our Savior, Jesus Christ. Amen. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-3,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,1023,0,1023,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] prayer reverend peter frank, church of the epiphany, herndon, virginia, offered the following prayer: almighty god, maker and ruler of us all: you have given us a good land and made us into a great nation. today we ask your blessing and guidance for the members of the house of representatives, their staff, and all who, in this place, support the work of government. give them wisdom that they may fulfill with honor their responsibilities to those they represent. defend them from the temptations that come with the authority they bear, so that they may serve you, serve each other, and serve the united states of america in humility and love. comfort and care for those here today who are suffering private hurts as they do this public work. all this we ask in the name of your son, our savior, jesus christ. amen. ____________________",1023
CREC-2015-03-13-pt1-PgH1629-5,CREC-2015-03-13,2015-03-13,PLEDGE OF ALLEGIANCE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-5,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-5/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-5/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. The Chair will lead the House in the Pledge of Allegiance. The SPEAKER pro tempore led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. The Chair will lead the House in the Pledge of Allegiance. The SPEAKER pro tempore led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-5,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,550,0,550,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] pledge of allegiance the speaker pro tempore. the chair will lead the house in the pledge of allegiance. the speaker pro tempore led the pledge of allegiance as follows: i pledge allegiance to the flag of the united states of america, and to the republic for which it stands, one nation under god, indivisible, with liberty and justice for all. ____________________",550
CREC-2015-03-13-pt1-PgH1629-6,CREC-2015-03-13,2015-03-13,COMMUNICATION FROM THE CLERK OF THE HOUSE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-6,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-6/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-6/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, March 11, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of Rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on March 11, 2015 at 11:20 a.m.: Appointments: Advisory Committee on the Records of Congress. With best wishes, I am Sincerely, Karen L. Haas. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, March 11, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of Rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on March 11, 2015 at 11:20 a.m.: Appointments: Advisory Committee on the Records of Congress. With best wishes, I am Sincerely, Karen L. Haas. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-6,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,868,0,868,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] communication from the clerk of the house the speaker pro tempore laid before the house the following communication from the clerk of the house of representatives: office of the clerk, house of representatives, washington, dc, march 11, 2015. hon. john a. boehner, speaker, house of representatives, washington, dc. dear mr. speaker: pursuant to the permission granted in clause 2(h) of rule ii of the rules of the u.s. house of representatives, the clerk received the following message from the secretary of the senate on march 11, 2015 at 11:20 a.m.: appointments: advisory committee on the records of congress. with best wishes, i am sincerely, karen l. haas. ____________________",868
CREC-2015-03-13-pt1-PgH1629-4,CREC-2015-03-13,2015-03-13,THE JOURNAL,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-4,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-4/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-4/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. Pursuant to section 2(a) of House Resolution 134, the Journal of the last day's proceedings is approved. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. Pursuant to section 2(a) of House Resolution 134, the Journal of the last day's proceedings is approved. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-4,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,347,0,347,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] the journal the speaker pro tempore. pursuant to section 2(a) of house resolution 134, the journal of the last day's proceedings is approved. ____________________",347
CREC-2015-03-13-pt1-PgH1629-7,CREC-2015-03-13,2015-03-13,COMMUNICATION FROM THE CLERK OF THE HOUSE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-7,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-7/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-7/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, March 10, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of Rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on March 10, 2015 at 9:12 a.m.: That the Senate passed without amendment H.R. 1213. Appointments: Advisory Committee on the Records of Congress. Board of Trustees of the Harry S Truman Scholarship Foundation. With best wishes, I am Sincerely, Robert F. Reeves, Deputy Clerk. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1629] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, March 10, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of Rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on March 10, 2015 at 9:12 a.m.: That the Senate passed without amendment H.R. 1213. Appointments: Advisory Committee on the Records of Congress. Board of Trustees of the Harry S Truman Scholarship Foundation. With best wishes, I am Sincerely, Robert F. Reeves, Deputy Clerk. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-7,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,1000,0,1000,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1629] from the congressional record online through the government publishing office [ www.gpo.gov ] communication from the clerk of the house the speaker pro tempore laid before the house the following communication from the clerk of the house of representatives: office of the clerk, house of representatives, washington, dc, march 10, 2015. hon. john a. boehner, speaker, house of representatives, washington, dc. dear mr. speaker: pursuant to the permission granted in clause 2(h) of rule ii of the rules of the u.s. house of representatives, the clerk received the following message from the secretary of the senate on march 10, 2015 at 9:12 a.m.: that the senate passed without amendment h.r. 1213. appointments: advisory committee on the records of congress. board of trustees of the harry s truman scholarship foundation. with best wishes, i am sincerely, robert f. reeves, deputy clerk. ____________________",1000
CREC-2015-03-13-pt1-PgH1630,CREC-2015-03-13,2015-03-13,COMMUNICATION FROM THE CLERK OF THE HOUSE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1630,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1630/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1630/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representative, Washington, DC, March 11, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to section 4(d) of House Resolution 5, One Hundred Fourteenth Congress, and section 1(k)(2) of House Resolution 895, One Hundred Tenth Congress, I transmit to you notification that Porter J. Goss, David E. Skaggs, Judy Biggert, Jay Eagen, Karan L. English, Allison Hayward, Belinda Pinckney, Michael D. Barnes, Omar Ashmawy, Kelly Brewington, William H. Cable, Helen Eisner, Mary K. Flanagan, Scott Gast, Bryson Baird Morgan, Paul Solis, and Nate Wright, each have signed an agreement not to be a candidate for the office of Senator or Representative in, or Delegate or Resident Commissioner to, the Congress for purpose of the Federal Election Campaign Act of 1971 until at least 3 years after he or she is no longer a member of the board or staff of the Office of Congressional Ethics. Copies of the signed agreements shall be retained by the Office of the Clerk as part of the records of the House. With best wishes, I am, Sincerely, Karen L. Haas. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representative, Washington, DC, March 11, 2015. Hon. John A. Boehner, Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to section 4(d) of House Resolution 5, One Hundred Fourteenth Congress, and section 1(k)(2) of House Resolution 895, One Hundred Tenth Congress, I transmit to you notification that Porter J. Goss, David E. Skaggs, Judy Biggert, Jay Eagen, Karan L. English, Allison Hayward, Belinda Pinckney, Michael D. Barnes, Omar Ashmawy, Kelly Brewington, William H. Cable, Helen Eisner, Mary K. Flanagan, Scott Gast, Bryson Baird Morgan, Paul Solis, and Nate Wright, each have signed an agreement not to be a candidate for the office of Senator or Representative in, or Delegate or Resident Commissioner to, the Congress for purpose of the Federal Election Campaign Act of 1971 until at least 3 years after he or she is no longer a member of the board or staff of the Office of Congressional Ethics. Copies of the signed agreements shall be retained by the Office of the Clerk as part of the records of the House. With best wishes, I am, Sincerely, Karen L. Haas. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1630,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,1499,0,1499,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1630] from the congressional record online through the government publishing office [ www.gpo.gov ] communication from the clerk of the house the speaker pro tempore laid before the house the following communication from the clerk of the house of representatives: office of the clerk, house of representative, washington, dc, march 11, 2015. hon. john a. boehner, speaker, house of representatives, washington, dc. dear mr. speaker: pursuant to section 4(d) of house resolution 5, one hundred fourteenth congress, and section 1(k)(2) of house resolution 895, one hundred tenth congress, i transmit to you notification that porter j. goss, david e. skaggs, judy biggert, jay eagen, karan l. english, allison hayward, belinda pinckney, michael d. barnes, omar ashmawy, kelly brewington, william h. cable, helen eisner, mary k. flanagan, scott gast, bryson baird morgan, paul solis, and nate wright, each have signed an agreement not to be a candidate for the office of senator or representative in, or delegate or resident commissioner to, the congress for purpose of the federal election campaign act of 1971 until at least 3 years after he or she is no longer a member of the board or staff of the office of congressional ethics. copies of the signed agreements shall be retained by the office of the clerk as part of the records of the house. with best wishes, i am, sincerely, karen l. haas. ____________________",1499
CREC-2015-03-13-pt1-PgH1629-8,CREC-2015-03-13,2015-03-13,COMMUNICATION FROM THE DEMOCRATIC LEADER,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1629-8,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-8/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1629-8/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Pages H1629-H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE DEMOCRATIC LEADER The SPEAKER pro tempore laid before the House the following communication from the Honorable Nancy Pelosi, Democratic Leader: [[Page H1630]] March 11, 2015. Hon. John Boehner, Speaker of the House, U.S. Capitol, Washington, DC. Dear Speaker Boehner: Pursuant to section 803(a) of the Congressional Recognition for Excellence in Arts Education Act (2 U.S.C. 803(a)), I am pleased to appoint Mr. Romero Brown of Acworth, Georgia, to the Congressional Award Board. Thank you for your attention to this appointment. Sincerely, Nancy Pelosi, Democratic Leader. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Pages H1629-H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE DEMOCRATIC LEADER The SPEAKER pro tempore laid before the House the following communication from the Honorable Nancy Pelosi, Democratic Leader: [[Page H1630]] March 11, 2015. Hon. John Boehner, Speaker of the House, U.S. Capitol, Washington, DC. Dear Speaker Boehner: Pursuant to section 803(a) of the Congressional Recognition for Excellence in Arts Education Act (2 U.S.C. 803(a)), I am pleased to appoint Mr. Romero Brown of Acworth, Georgia, to the Congressional Award Board. Thank you for your attention to this appointment. Sincerely, Nancy Pelosi, Democratic Leader. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1629-8,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,809,0,809,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [pages h1629-h1630] from the congressional record online through the government publishing office [ www.gpo.gov ] communication from the democratic leader the speaker pro tempore laid before the house the following communication from the honorable nancy pelosi, democratic leader: [[page h1630]] march 11, 2015. hon. john boehner, speaker of the house, u.s. capitol, washington, dc. dear speaker boehner: pursuant to section 803(a) of the congressional recognition for excellence in arts education act (2 u.s.c. 803(a)), i am pleased to appoint mr. romero brown of acworth, georgia, to the congressional award board. thank you for your attention to this appointment. sincerely, nancy pelosi, democratic leader. ____________________",809
CREC-2015-03-13-pt1-PgH1630-4,CREC-2015-03-13,2015-03-13,ENROLLED BILL SIGNED,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-03-13/CREC-2015-03-13-pt1-PgH1630-4,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1630-4/htm,https://api.govinfo.gov/packages/CREC-2015-03-13/granules/CREC-2015-03-13-pt1-PgH1630-4/pdf,https://api.govinfo.gov/packages/CREC-2015-03-13/summary,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ENROLLED BILL SIGNED Karen L. Haas, Clerk of the House, reported and found truly enrolled a bill of the House of the following title, which was thereupon signed by the Speaker: H.R. 1213. An act to make administrative and technical corrections to the Congressional Accountability Act of 1995. ____________________",,"[Congressional Record Volume 161, Number 43 (Friday, March 13, 2015)] [House] [Page H1630] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ENROLLED BILL SIGNED Karen L. Haas, Clerk of the House, reported and found truly enrolled a bill of the House of the following title, which was thereupon signed by the Speaker: H.R. 1213. An act to make administrative and technical corrections to the Congressional Accountability Act of 1995. ____________________",https://api.govinfo.gov/related/CREC-2015-03-13-pt1-PgH1630-4,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:29:07Z,Congressional Record,package_114_42.csv,498,0,498,"[congressional record volume 161, number 43 (friday, march 13, 2015)] [house] [page h1630] from the congressional record online through the government publishing office [ www.gpo.gov ] enrolled bill signed karen l. haas, clerk of the house, reported and found truly enrolled a bill of the house of the following title, which was thereupon signed by the speaker: h.r. 1213. an act to make administrative and technical corrections to the congressional accountability act of 1995. ____________________",498
