granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-04-17-pt1-PgH2313-3,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313-2,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313-5,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313-4,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313-6,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2313-7,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2314,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-2,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-3,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-4,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-6,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgH2315-5,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgE527-2,CREC-2015-04-17,2015-04-17,,2102,SPEAKING,H,114,B001287,"Bera, Ami",CA,D,,"Bera, Ami",Mr. BERA,Ami Bera,
CREC-2015-04-17-pt1-PgE527-3,CREC-2015-04-17,2015-04-17,,2243,SPEAKING,H,114,B001295,"Bost, Mike",IL,R,,"Bost, Mike",Mr. BOST,Mike Bost,
CREC-2015-04-17-pt1-PgE527-5,CREC-2015-04-17,2015-04-17,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2015-04-17-pt1-PgE527-4,CREC-2015-04-17,2015-04-17,,2140,SPEAKING,H,114,H001067,"Hudson, Richard",NC,R,,"Hudson, Richard",Mr. HUDSON,Richard Hudson,
CREC-2015-04-17-pt1-PgE527-6,CREC-2015-04-17,2015-04-17,,1733,SPEAKING,H,114,K000363,"Kline, John",MN,R,8002,"Kline, John",Mr. KLINE,John Kline,
CREC-2015-04-17-pt1-PgE528-2,CREC-2015-04-17,2015-04-17,,2140,SPEAKING,H,114,H001067,"Hudson, Richard",NC,R,,"Hudson, Richard",Mr. HUDSON,Richard Hudson,
CREC-2015-04-17-pt1-PgE528-3,CREC-2015-04-17,2015-04-17,,2230,SPEAKING,H,114,L000582,"Lieu, Ted",CA,D,,"Lieu, Ted",Mr. TED LIEU of California,Ted Lieu,
CREC-2015-04-17-pt1-PgE528,CREC-2015-04-17,2015-04-17,,511,SPEAKING,H,114,H000324,"Hastings, Alcee L.",FL,D,7895,"Hastings, Alcee L.",Mr. HASTINGS,Alcee L. Hastings,Alcee Hastings
CREC-2015-04-17-pt1-PgD407,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgD407-2,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgD407-4,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgD407-3,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgD407-6,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
CREC-2015-04-17-pt1-PgD407-5,CREC-2015-04-17,2015-04-17,,,,,,,,,,,,,,
