granuleId,packageId,date,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2015-04-17-pt1-PgH2313-3,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313-2,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313-5,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313-4,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313-6,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2313-7,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2314,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1731,114,HR
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,210,114,HRES
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,211,114,HRES
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1890,114,HR
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1891,114,HR
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1892,114,HR
CREC-2015-04-17-pt1-PgH2315,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1893,114,HR
CREC-2015-04-17-pt1-PgH2315-2,CREC-2015-04-17,2015-04-17,,,,,,
CREC-2015-04-17-pt1-PgH2315-3,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1890,114,HR
CREC-2015-04-17-pt1-PgH2315-4,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1891,114,HR
CREC-2015-04-17-pt1-PgH2315-6,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,1893,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,38,114,HCONRES
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,130,114,HRES
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,207,114,HRES
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,427,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,449,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,600,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,610,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,624,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,628,114,HR
CREC-2015-04-17-pt1-PgH2315-7,CREC-2015-04-17,2015-04-17,,BILLS,Congressional Bills,789,114,HR
