granuleId,packageId,date,committees,authorityId,chamber,committeeName,type
CREC-2015-05-04-pt1-PgS2593-2,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2593,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2593-3,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2593-4,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2593-5,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2594,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2594-2,CREC-2015-05-04,2015-05-04,,ssva00,S,Committee on Veterans' Affairs,S
CREC-2015-05-04-pt1-PgS2597,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2597-2,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2597-4,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2597-3,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2598,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2598-4,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2598-2,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2598-3,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2598-6,CREC-2015-05-04,2015-05-04,,ssev00,S,Committee on Environment and Public Works,S
CREC-2015-05-04-pt1-PgS2598-5,CREC-2015-05-04,2015-05-04,,ssap00,S,Committee on Appropriations,S
CREC-2015-05-04-pt1-PgS2598-5,CREC-2015-05-04,2015-05-04,,ssga00,S,Committee on Homeland Security and Governmental Affairs,S
CREC-2015-05-04-pt1-PgS2599-2,CREC-2015-05-04,2015-05-04,,sseg00,S,Committee on Energy and Natural Resources,S
CREC-2015-05-04-pt1-PgS2599-3,CREC-2015-05-04,2015-05-04,,,,,
CREC-2015-05-04-pt1-PgS2599,CREC-2015-05-04,2015-05-04,,ssfi00,S,Committee on Finance,S
