granuleId,packageId,date,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2015-05-04-pt1-PgS2593-2,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2593,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2593-3,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2593-4,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2593-5,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2594,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2594-2,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,8,114,SJRES
CREC-2015-05-04-pt1-PgS2594-2,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,8,114,SJRES
CREC-2015-05-04-pt1-PgS2597,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2597-2,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2597-4,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2597-3,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2598,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2598-4,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,11,114,SCONRES
CREC-2015-05-04-pt1-PgS2598-4,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,43,114,HJRES
CREC-2015-05-04-pt1-PgS2598-4,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,2029,114,HR
CREC-2015-05-04-pt1-PgS2598-2,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2598-3,CREC-2015-05-04,2015-05-04,,,,,,
CREC-2015-05-04-pt1-PgS2598-6,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,261,114,S
CREC-2015-05-04-pt1-PgS2598-6,CREC-2015-05-04,2015-05-04,,BILLS,Congressional Bills,612,114,S
