granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-05-11-pt1-PgS2743,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2743-3,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2743-2,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2743-5,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2743-4,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2743-6,CREC-2015-05-11,2015-05-11,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-05-11-pt1-PgS2744-3,CREC-2015-05-11,2015-05-11,,8271,952,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2015-05-11-pt1-PgS2744-3,CREC-2015-05-11,2015-05-11,,,2174,SPEAKING,S,114,H001069,"Heitkamp, Heidi",ND,D,"Heitkamp, Heidi",Ms. HEITKAMP,Heidi Heitkamp,
CREC-2015-05-11-pt1-PgS2744,CREC-2015-05-11,2015-05-11,,,,,,,,,,,,,,
CREC-2015-05-11-pt1-PgS2744-2,CREC-2015-05-11,2015-05-11,,8271,952,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2015-05-11-pt1-PgS2746,CREC-2015-05-11,2015-05-11,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2015-05-11-pt1-PgS2746,CREC-2015-05-11,2015-05-11,,8332,2076,SPEAKING,S,114,B001277,"Blumenthal, Richard",CT,D,"Blumenthal, Richard",Mr. BLUMENTHAL,Richard Blumenthal,
CREC-2015-05-11-pt1-PgS2745,CREC-2015-05-11,2015-05-11,,,2174,SPEAKING,S,114,H001069,"Heitkamp, Heidi",ND,D,"Heitkamp, Heidi",Ms. HEITKAMP,Heidi Heitkamp,
CREC-2015-05-11-pt1-PgS2745,CREC-2015-05-11,2015-05-11,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2015-05-11-pt1-PgS2748,CREC-2015-05-11,2015-05-11,,8299,209,SPEAKING,S,114,C000542,"Coats, Daniel",IN,R,"Coats, Daniel",Mr. COATS,Daniel Coats,Daniel Ray Coats
CREC-2015-05-11-pt1-PgS2748,CREC-2015-05-11,2015-05-11,,8287,174,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. CARDIN,Benjamin L. Cardin,Mr. Ben Cardin
