granuleId,packageId,date,title,collectionCode,granuleClass,chamber,pagePrefix,bookNumber,detailsLink,txtLink,pdfLink,packageLink,text_readability,text_bs4,parsed_text,relatedLink,docClass,category,lastModified,collectionName,__source_file,text_readability_len,text_bs4_len,parsed_text_len,search_text,search_text_len
CREC-2015-05-21-pt1-PgH3509-2,CREC-2015-05-21,2015-05-21,DESIGNATION OF THE SPEAKER PRO TEMPORE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-2,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-2/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-2/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, May 21, 2015. I hereby appoint the Honorable Garret Graves to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, May 21, 2015. I hereby appoint the Honorable Garret Graves to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-2,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,512,0,512,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] designation of the speaker pro tempore the speaker pro tempore laid before the house the following communication from the speaker: washington, dc, may 21, 2015. i hereby appoint the honorable garret graves to act as speaker pro tempore on this day. john a. boehner, speaker of the house of representatives. ____________________",512
CREC-2015-05-21-pt1-PgH3509,CREC-2015-05-21,2015-05-21,House of Representatives,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H3509]] ----------------------------------------------------------------------- House of Representatives The House met at 10 a.m. and was called to order by the Speaker pro tempore (Mr. Graves of Louisiana). ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H3509]] ----------------------------------------------------------------------- House of Representatives The House met at 10 a.m. and was called to order by the Speaker pro tempore (Mr. Graves of Louisiana). ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,420,0,420,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] [[page h3509]] ----------------------------------------------------------------------- house of representatives the house met at 10 a.m. and was called to order by the speaker pro tempore (mr. graves of louisiana). ____________________",420
CREC-2015-05-21-pt1-PgH-FrontMatter-2,CREC-2015-05-21,2015-05-21,CONGRESSIONAL RECORD,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH-FrontMatter-2,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH-FrontMatter-2/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH-FrontMatter-2/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] CONGRESSIONAL RECORD United States of America American eagle (seal) PROCEEDINGS AND DEBATES OF THE 114th CONGRESS, FIRST SESSION ------------------------------------------------------------------------- This symbol represents the time of day during the House proceedings, e.g.,1407 is 2:07 p.m. Matter set in this typeface Indicates words inserted or appended, rather than spoken, by a Member of the House on the floor. -------------------------------------------------------------------------- (seal) recycle Printed on recycled paper. Vol. 161 WASHINGTON, THURSDAY, MAY 21, 2015 No. 79",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] CONGRESSIONAL RECORD United States of America American eagle (seal) PROCEEDINGS AND DEBATES OF THE 114th CONGRESS, FIRST SESSION ------------------------------------------------------------------------- This symbol represents the time of day during the House proceedings, e.g.,1407 is 2:07 p.m. Matter set in this typeface Indicates words inserted or appended, rather than spoken, by a Member of the House on the floor. -------------------------------------------------------------------------- (seal) recycle Printed on recycled paper. Vol. 161 WASHINGTON, THURSDAY, MAY 21, 2015 No. 79",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH-FrontMatter-2,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,772,0,772,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] congressional record united states of america american eagle (seal) proceedings and debates of the 114th congress, first session ------------------------------------------------------------------------- this symbol represents the time of day during the house proceedings, e.g.,1407 is 2:07 p.m. matter set in this typeface indicates words inserted or appended, rather than spoken, by a member of the house on the floor. -------------------------------------------------------------------------- (seal) recycle printed on recycled paper. vol. 161 washington, thursday, may 21, 2015 no. 79",772
CREC-2015-05-21-pt1-PgH3509-5,CREC-2015-05-21,2015-05-21,PLEDGE OF ALLEGIANCE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-5,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-5/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-5/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. Will the gentleman from Illinois (Mr. Dold) come forward and lead the House in the Pledge of Allegiance. Mr. DOLD led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. Will the gentleman from Illinois (Mr. Dold) come forward and lead the House in the Pledge of Allegiance. Mr. DOLD led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-5,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,581,0,581,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] pledge of allegiance the speaker pro tempore. will the gentleman from illinois (mr. dold) come forward and lead the house in the pledge of allegiance. mr. dold led the pledge of allegiance as follows: i pledge allegiance to the flag of the united states of america, and to the republic for which it stands, one nation under god, indivisible, with liberty and justice for all. ____________________",581
CREC-2015-05-21-pt1-PgH3509-4,CREC-2015-05-21,2015-05-21,THE JOURNAL,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-4,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-4/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-4/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. The Chair has examined the Journal of the last day's proceedings and announces to the House his approval thereof. Pursuant to clause 1, rule I, the Journal stands approved. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. The Chair has examined the Journal of the last day's proceedings and announces to the House his approval thereof. Pursuant to clause 1, rule I, the Journal stands approved. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-4,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,415,0,415,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] the journal the speaker pro tempore. the chair has examined the journal of the last day's proceedings and announces to the house his approval thereof. pursuant to clause 1, rule i, the journal stands approved. ____________________",415
CREC-2015-05-21-pt1-PgH3509-3,CREC-2015-05-21,2015-05-21,PRAYER,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-3,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-3/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-3/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER The Chaplain, the Reverend Patrick J. Conroy, offered the following prayer: We give You thanks, God of the Universe, for giving us another day. As the various Members of this people's House return to their home districts, we ask Your blessing upon each. Give each a discerning ear and the wisdom and good judgment needed to give credit to the office they have been honored by their constituents to fill. Bless the work of all who serve in their various capacities here in the United States Capitol. Bless all those who visit the Capitol today, be they American citizens or visitors to our Nation. May they be inspired by this monument to the noble idea of human freedom and its guarantee by the democratic experiment that is the United States. And as we take time this weekend to remember those who have died serving our country, God, bless America, and may all that is done this day be for Your greater honor and glory. Amen. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER The Chaplain, the Reverend Patrick J. Conroy, offered the following prayer: We give You thanks, God of the Universe, for giving us another day. As the various Members of this people's House return to their home districts, we ask Your blessing upon each. Give each a discerning ear and the wisdom and good judgment needed to give credit to the office they have been honored by their constituents to fill. Bless the work of all who serve in their various capacities here in the United States Capitol. Bless all those who visit the Capitol today, be they American citizens or visitors to our Nation. May they be inspired by this monument to the noble idea of human freedom and its guarantee by the democratic experiment that is the United States. And as we take time this weekend to remember those who have died serving our country, God, bless America, and may all that is done this day be for Your greater honor and glory. Amen. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-3,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,1139,0,1139,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] prayer the chaplain, the reverend patrick j. conroy, offered the following prayer: we give you thanks, god of the universe, for giving us another day. as the various members of this people's house return to their home districts, we ask your blessing upon each. give each a discerning ear and the wisdom and good judgment needed to give credit to the office they have been honored by their constituents to fill. bless the work of all who serve in their various capacities here in the united states capitol. bless all those who visit the capitol today, be they american citizens or visitors to our nation. may they be inspired by this monument to the noble idea of human freedom and its guarantee by the democratic experiment that is the united states. and as we take time this weekend to remember those who have died serving our country, god, bless america, and may all that is done this day be for your greater honor and glory. amen. ____________________",1139
CREC-2015-05-21-pt1-PgH3509-7,CREC-2015-05-21,2015-05-21,ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-7,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-7/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-7/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE The SPEAKER pro tempore. The Chair will entertain up to five requests for 1-minute speeches on each side of the aisle. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE The SPEAKER pro tempore. The Chair will entertain up to five requests for 1-minute speeches on each side of the aisle. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-7,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,364,0,364,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] announcement by the speaker pro tempore the speaker pro tempore. the chair will entertain up to five requests for 1-minute speeches on each side of the aisle. ____________________",364
CREC-2015-05-21-pt1-PgH3509-6,CREC-2015-05-21,2015-05-21,COMMUNICATION FROM THE CLERK OF THE HOUSE,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-6,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-6/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-6/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, May 21, 2015. Hon. John A. Boehner, The Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on May 21, 2015 at 9:39 a.m.: That the Senate agreed to without amendment H. Con. Res. 47. With best wishes, I am Sincerely, Karen L. Haas. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION FROM THE CLERK OF THE HOUSE The SPEAKER pro tempore laid before the House the following communication from the Clerk of the House of Representatives: Office of the Clerk, House of Representatives, Washington, DC, May 21, 2015. Hon. John A. Boehner, The Speaker, House of Representatives, Washington, DC. Dear Mr. Speaker: Pursuant to the permission granted in Clause 2(h) of rule II of the Rules of the U.S. House of Representatives, the Clerk received the following message from the Secretary of the Senate on May 21, 2015 at 9:39 a.m.: That the Senate agreed to without amendment H. Con. Res. 47. With best wishes, I am Sincerely, Karen L. Haas. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-6,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,867,0,867,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] communication from the clerk of the house the speaker pro tempore laid before the house the following communication from the clerk of the house of representatives: office of the clerk, house of representatives, washington, dc, may 21, 2015. hon. john a. boehner, the speaker, house of representatives, washington, dc. dear mr. speaker: pursuant to the permission granted in clause 2(h) of rule ii of the rules of the u.s. house of representatives, the clerk received the following message from the secretary of the senate on may 21, 2015 at 9:39 a.m.: that the senate agreed to without amendment h. con. res. 47. with best wishes, i am sincerely, karen l. haas. ____________________",867
CREC-2015-05-21-pt1-PgH3509-8,CREC-2015-05-21,2015-05-21,MEMORIAL DAY,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3509-8,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-8/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3509-8/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] MEMORIAL DAY (Mr. WILSON of South Carolina asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. WILSON of South Carolina. Mr. Speaker, on Memorial Day, Americans will remember and honor those who have served this Nation to protect and defend the freedoms we cherish. As we reflect on the heroism and devotion of the brave servicemembers who have given their lives in defense of our Nation, we must never forget to thank and pray for their families. Let us take time to show our appreciation for the service and sacrifice of America's heroes. I especially appreciate Memorial Day. My father served our country as part of the Flying Tigers in India and China during World War II, which inspired my military service, as well as the service of my four sons, who all currently are on military duty. This weekend, I am thankful for the opportunity to join County Council Chairman Ronnie Young in the Aiken Memorial Day parade. I am grateful to Councilwoman Gail Diggs for her role in the efforts to reinstate the parade ably begun by the Marine Corps League, as well as Wes Jerrell and Betsy Davis with the Aiken Jaycees for their work to honor and support our Armed Forces and their families. In conclusion, God bless our troops, and may the President by his actions never forget September the 11th in the global war on terrorism. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3509] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] MEMORIAL DAY (Mr. WILSON of South Carolina asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. WILSON of South Carolina. Mr. Speaker, on Memorial Day, Americans will remember and honor those who have served this Nation to protect and defend the freedoms we cherish. As we reflect on the heroism and devotion of the brave servicemembers who have given their lives in defense of our Nation, we must never forget to thank and pray for their families. Let us take time to show our appreciation for the service and sacrifice of America's heroes. I especially appreciate Memorial Day. My father served our country as part of the Flying Tigers in India and China during World War II, which inspired my military service, as well as the service of my four sons, who all currently are on military duty. This weekend, I am thankful for the opportunity to join County Council Chairman Ronnie Young in the Aiken Memorial Day parade. I am grateful to Councilwoman Gail Diggs for her role in the efforts to reinstate the parade ably begun by the Marine Corps League, as well as Wes Jerrell and Betsy Davis with the Aiken Jaycees for their work to honor and support our Armed Forces and their families. In conclusion, God bless our troops, and may the President by his actions never forget September the 11th in the global war on terrorism. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3509-8,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,1586,0,1586,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3509] from the congressional record online through the government publishing office [ www.gpo.gov ] memorial day (mr. wilson of south carolina asked and was given permission to address the house for 1 minute and to revise and extend his remarks.) mr. wilson of south carolina. mr. speaker, on memorial day, americans will remember and honor those who have served this nation to protect and defend the freedoms we cherish. as we reflect on the heroism and devotion of the brave servicemembers who have given their lives in defense of our nation, we must never forget to thank and pray for their families. let us take time to show our appreciation for the service and sacrifice of america's heroes. i especially appreciate memorial day. my father served our country as part of the flying tigers in india and china during world war ii, which inspired my military service, as well as the service of my four sons, who all currently are on military duty. this weekend, i am thankful for the opportunity to join county council chairman ronnie young in the aiken memorial day parade. i am grateful to councilwoman gail diggs for her role in the efforts to reinstate the parade ably begun by the marine corps league, as well as wes jerrell and betsy davis with the aiken jaycees for their work to honor and support our armed forces and their families. in conclusion, god bless our troops, and may the president by his actions never forget september the 11th in the global war on terrorism. ____________________",1586
CREC-2015-05-21-pt1-PgH3510,CREC-2015-05-21,2015-05-21,RECOGNIZING THE SERVICE OF RABBI CARL WOLKIN,CREC,HOUSE,H,H,1,https://www.govinfo.gov/app/details/CREC-2015-05-21/CREC-2015-05-21-pt1-PgH3510,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3510/htm,https://api.govinfo.gov/packages/CREC-2015-05-21/granules/CREC-2015-05-21-pt1-PgH3510/pdf,https://api.govinfo.gov/packages/CREC-2015-05-21/summary,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3510] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] RECOGNIZING THE SERVICE OF RABBI CARL WOLKIN (Mr. DOLD asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. DOLD. Mr. Speaker, I rise today to recognize Rabbi Carl Wolkin. He is retiring after 35 years of service to the Congregation Beth Shalom in Northbrook, Illinois. He will be sorely missed by many in our community. Over the past 35 years, Rabbi Wolkin has served as the president of the Northbrook Clergy Association, the Chicago region of the Rabbinical Assembly, the president of the Chicago Board of Rabbis, and he is also a member of the Jewish United Fund board. In these roles, Mr. Speaker, he has worked tirelessly to support his fellow rabbis in making their congregations centers for worship and learning. In 2004, Rabbi Wolkin was in the first group of graduates of the Center for Rabbinic Enrichment of the Shalom Hartman Institute in Jerusalem. Rabbi Wolkin has been a tremendous asset to the Jewish community at large, as has his wife, Judy, who has enriched the lives of Jewish children by her teaching at the Solomon Schechter Day School for many years. I wish Rabbi Wolkin well on his retirement and the next chapter of his life. ____________________",,"[Congressional Record Volume 161, Number 79 (Thursday, May 21, 2015)] [House] [Page H3510] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] RECOGNIZING THE SERVICE OF RABBI CARL WOLKIN (Mr. DOLD asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. DOLD. Mr. Speaker, I rise today to recognize Rabbi Carl Wolkin. He is retiring after 35 years of service to the Congregation Beth Shalom in Northbrook, Illinois. He will be sorely missed by many in our community. Over the past 35 years, Rabbi Wolkin has served as the president of the Northbrook Clergy Association, the Chicago region of the Rabbinical Assembly, the president of the Chicago Board of Rabbis, and he is also a member of the Jewish United Fund board. In these roles, Mr. Speaker, he has worked tirelessly to support his fellow rabbis in making their congregations centers for worship and learning. In 2004, Rabbi Wolkin was in the first group of graduates of the Center for Rabbinic Enrichment of the Shalom Hartman Institute in Jerusalem. Rabbi Wolkin has been a tremendous asset to the Jewish community at large, as has his wife, Judy, who has enriched the lives of Jewish children by her teaching at the Solomon Schechter Day School for many years. I wish Rabbi Wolkin well on his retirement and the next chapter of his life. ____________________",https://api.govinfo.gov/related/CREC-2015-05-21-pt1-PgH3510,CREC,Proceedings of Congress and General Congressional Publications,2025-07-21T12:05:53Z,Congressional Record,package_114_78.csv,1412,0,1412,"[congressional record volume 161, number 79 (thursday, may 21, 2015)] [house] [page h3510] from the congressional record online through the government publishing office [ www.gpo.gov ] recognizing the service of rabbi carl wolkin (mr. dold asked and was given permission to address the house for 1 minute and to revise and extend his remarks.) mr. dold. mr. speaker, i rise today to recognize rabbi carl wolkin. he is retiring after 35 years of service to the congregation beth shalom in northbrook, illinois. he will be sorely missed by many in our community. over the past 35 years, rabbi wolkin has served as the president of the northbrook clergy association, the chicago region of the rabbinical assembly, the president of the chicago board of rabbis, and he is also a member of the jewish united fund board. in these roles, mr. speaker, he has worked tirelessly to support his fellow rabbis in making their congregations centers for worship and learning. in 2004, rabbi wolkin was in the first group of graduates of the center for rabbinic enrichment of the shalom hartman institute in jerusalem. rabbi wolkin has been a tremendous asset to the jewish community at large, as has his wife, judy, who has enriched the lives of jewish children by her teaching at the solomon schechter day school for many years. i wish rabbi wolkin well on his retirement and the next chapter of his life. ____________________",1412
