granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-06-19-pt1-PgH4545,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-3,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-2,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-4,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-6,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-5,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4545-7,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-2,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-4,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-3,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-5,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-6,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgH4546-7,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgE935-2,CREC-2015-06-19,2015-06-19,,8076,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,"Rangel, Charles B.",Charles Rangel,Mr. RANGEL,Charles B. Rangel
CREC-2015-06-19-pt1-PgE935-3,CREC-2015-06-19,2015-06-19,,7975,2025,SPEAKING,H,114,K000375,"Keating, William R.",MA,D,"Keating, William R.",Mr. William Keating,Mr. KEATING,William R. Keating
CREC-2015-06-19-pt1-PgE936,CREC-2015-06-19,2015-06-19,,8076,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,"Rangel, Charles B.",Charles Rangel,Mr. RANGEL,Charles B. Rangel
CREC-2015-06-19-pt1-PgE935-4,CREC-2015-06-19,2015-06-19,,7999,229,SPEAKING,H,114,C000714,"Conyers, John, Jr.",MI,D,"Conyers, John, Jr.",John Conyers Jr.,Mr. CONYERS,"John Conyers, Jr."
CREC-2015-06-19-pt1-PgE936-2,CREC-2015-06-19,2015-06-19,,8099,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,"Kaptur, Marcy",,Ms. KAPTUR,Marcy Kaptur
CREC-2015-06-19-pt1-PgE937,CREC-2015-06-19,2015-06-19,,,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,"Comstock, Barbara",,Mrs. COMSTOCK,Barbara Comstock
CREC-2015-06-19-pt1-PgE936-3,CREC-2015-06-19,2015-06-19,,7975,2025,SPEAKING,H,114,K000375,"Keating, William R.",MA,D,"Keating, William R.",Mr. William Keating,Mr. KEATING,William R. Keating
CREC-2015-06-19-pt1-PgE937-2,CREC-2015-06-19,2015-06-19,,8076,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,"Rangel, Charles B.",Charles Rangel,Mr. RANGEL,Charles B. Rangel
CREC-2015-06-19-pt1-PgD735-2,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgD735,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgD735-4,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgD735-3,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgD735-5,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
CREC-2015-06-19-pt1-PgD735-6,CREC-2015-06-19,2015-06-19,,,,,,,,,,,,,,
