granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-06-24-pt1-PgH-FrontMatter,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4595,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4595-2,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4596,CREC-2015-06-24,2015-06-24,,2238,SPEAKING,H,114,L000583,"Loudermilk, Barry",GA,R,,"Loudermilk, Barry",Mr. LOUDERMILK,Barry Loudermilk,
CREC-2015-06-24-pt1-PgH4595-3,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4595-4,CREC-2015-06-24,2015-06-24,,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-06-24-pt1-PgH4596-2,CREC-2015-06-24,2015-06-24,,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,7925,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2015-06-24-pt1-PgH4597,CREC-2015-06-24,2015-06-24,,2143,SPEAKING,H,114,H001065,"Holding, George",NC,R,,"Holding, George",Mr. HOLDING,George Holding,
CREC-2015-06-24-pt1-PgH4597-2,CREC-2015-06-24,2015-06-24,,1774,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,7825,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2015-06-24-pt1-PgH4598,CREC-2015-06-24,2015-06-24,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Mr. MOONEY of West Virginia,Alexander X. Mooney,Mr. Alexander Mooney
CREC-2015-06-24-pt1-PgH4598-2,CREC-2015-06-24,2015-06-24,,1942,SPEAKING,H,114,T000469,"Tonko, Paul",NY,D,8082,"Tonko, Paul",Mr. TONKO,Paul Tonko,
CREC-2015-06-24-pt1-PgH4598-3,CREC-2015-06-24,2015-06-24,,322,SPEAKING,H,114,D000533,"Duncan, John J., Jr.",TN,R,8149,"Duncan, John J., Jr.",Mr. DUNCAN of Tennessee,"John J. Duncan, Jr.",John Duncan Jr.
CREC-2015-06-24-pt1-PgH4599-2,CREC-2015-06-24,2015-06-24,,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,8158,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2015-06-24-pt1-PgH4599,CREC-2015-06-24,2015-06-24,,850,SPEAKING,H,114,N000002,"Nadler, Jerrold",NY,D,8069,"Nadler, Jerrold",Mr. NADLER,Jerrold Nadler,
CREC-2015-06-24-pt1-PgH4600,CREC-2015-06-24,2015-06-24,,2169,SPEAKING,H,114,K000381,"Kilmer, Derek",WA,D,,"Kilmer, Derek",Mr. KILMER,Derek Kilmer,
CREC-2015-06-24-pt1-PgH4600-2,CREC-2015-06-24,2015-06-24,,1748,SPEAKING,H,114,B001243,"Blackburn, Marsha",TN,R,8154,"Blackburn, Marsha",Mrs. BLACKBURN,Marsha Blackburn,
CREC-2015-06-24-pt1-PgH4601,CREC-2015-06-24,2015-06-24,,2111,SPEAKING,H,114,L000579,"Lowenthal, Alan S.",CA,D,,"Lowenthal, Alan S.",Mr. LOWENTHAL,Alan S. Lowenthal,Mr. Alan Lowenthal
CREC-2015-06-24-pt1-PgH4602-2,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4602,CREC-2015-06-24,2015-06-24,,2073,SPEAKING,H,114,R000587,"Ribble, Reid J.",WI,R,8221,"Ribble, Reid J.",Mr. RIBBLE,Reid J. Ribble,Mr. Reid Ribble
CREC-2015-06-24-pt1-PgH4602-3,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4602-4,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4603,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4603-3,CREC-2015-06-24,2015-06-24,,766,SPEAKING,H,114,M000404,"McDermott, Jim",WA,D,8211,"McDermott, Jim",Mr. McDERMOTT,Jim McDermott,
CREC-2015-06-24-pt1-PgH4603-2,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4603-5,CREC-2015-06-24,2015-06-24,,1792,SPEAKING,H,114,M001156,"McHenry, Patrick T.",NC,R,8033,"McHenry, Patrick T.",Mr. McHENRY,Patrick T. McHenry,Mr. Patrick Mchenry
CREC-2015-06-24-pt1-PgH4603-4,CREC-2015-06-24,2015-06-24,,,,,,,,,,,,,,
CREC-2015-06-24-pt1-PgH4603-6,CREC-2015-06-24,2015-06-24,,2190,SPEAKING,H,114,K000385,"Kelly, Robin L.",IL,D,,"Kelly, Robin L.",Ms. KELLY of Illinois,Robin L. Kelly,Ms. Robin Kelly
CREC-2015-06-24-pt1-PgH4603-8,CREC-2015-06-24,2015-06-24,,2159,SPEAKING,H,114,C001090,"Cartwright, Matt",PA,D,,"Cartwright, Matt",Mr. CARTWRIGHT,Matt Cartwright,
CREC-2015-06-24-pt1-PgH4603-7,CREC-2015-06-24,2015-06-24,,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-06-24-pt1-PgH4604,CREC-2015-06-24,2015-06-24,,2197,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,,"Byrne, Bradley",Mr. BYRNE,Bradley Byrne,
CREC-2015-06-24-pt1-PgH4604-2,CREC-2015-06-24,2015-06-24,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2015-06-24-pt1-PgH4604-3,CREC-2015-06-24,2015-06-24,,603,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,8159,"Johnson, Sam",Mr. SAM JOHNSON of Texas,Sam Johnson,
CREC-2015-06-24-pt1-PgH4604-5,CREC-2015-06-24,2015-06-24,,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,7930,"Dold, Robert J.",Mr. DOLD,Robert J. Dold,Mr. Robert Dold
CREC-2015-06-24-pt1-PgH4604-6,CREC-2015-06-24,2015-06-24,,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,8088,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2015-06-24-pt1-PgH4604-4,CREC-2015-06-24,2015-06-24,,1818,SPEAKING,H,114,S001165,"Sires, Albio",NJ,D,8055,"Sires, Albio",Mr. SIRES,Albio Sires,
CREC-2015-06-24-pt1-PgH4605-2,CREC-2015-06-24,2015-06-24,,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2015-06-24-pt1-PgH4605,CREC-2015-06-24,2015-06-24,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-06-24-pt1-PgH4605-3,CREC-2015-06-24,2015-06-24,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-06-24-pt1-PgH4605-4,CREC-2015-06-24,2015-06-24,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2015-06-24-pt1-PgH4605-6,CREC-2015-06-24,2015-06-24,,1856,SPEAKING,H,114,W000799,"Walz, Timothy J.",MN,D,8001,"Walz, Timothy J.",Mr. WALZ,Timothy J. Walz,Mr. Timothy Walz
