granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-08-06-pt1-PgS6429-2,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6429,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8328,1542,SPEAKING,S,114,E000285,"Enzi, Michael B.",WY,R,"Enzi, Michael B.",Michael Enzi,Mr. ENZI,Michael B. Enzi
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8265,1247,SPEAKING,S,114,W000779,"Wyden, Ron",OR,D,"Wyden, Ron",,Mr. WYDEN,Ron Wyden
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8288,172,SPEAKING,S,114,C000127,"Cantwell, Maria",WA,D,"Cantwell, Maria",,Ms. CANTWELL,Maria Cantwell
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8234,1694,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",,Ms. MURKOWSKI,Lisa Murkowski
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8289,250,SPEAKING,S,114,C000880,"Crapo, Mike",ID,R,"Crapo, Mike",,Mr. CRAPO,Mike Crapo
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8253,754,SPEAKING,S,114,M000303,"McCain, John",AZ,R,"McCain, John",John Sidney Mccain,Mr. McCAIN,John McCain
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,7803,1633,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8300,1881,SPEAKING,S,114,B001261,"Barrasso, John",WY,R,"Barrasso, John",,Mr. BARRASSO,John Barrasso
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8238,1900,SPEAKING,S,114,M001176,"Merkley, Jeff",OR,D,"Merkley, Jeff",,Mr. MERKLEY,Jeff Merkley
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,,2138,SPEAKING,S,114,D000618,"Daines, Steve",MT,R,"Daines, Steve",,Mr. DAINES,Steve Daines
CREC-2015-08-06-pt1-PgS6429-3,CREC-2015-08-06,2015-08-06,,8258,1829,SPEAKING,S,114,T000464,"Tester, Jon",MT,D,"Tester, Jon",,Mr. TESTER,Jon Tester
CREC-2015-08-06-pt1-PgS6432,CREC-2015-08-06,2015-08-06,,8287,174,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. Ben Cardin,Mr. CARDIN,Benjamin L. Cardin
CREC-2015-08-06-pt1-PgS6431,CREC-2015-08-06,2015-08-06,,8287,174,SPEAKING,S,114,C000141,"Cardin, Benjamin L.",MD,D,"Cardin, Benjamin L.",Mr. Ben Cardin,Mr. CARDIN,Benjamin L. Cardin
CREC-2015-08-06-pt1-PgS6433,CREC-2015-08-06,2015-08-06,,8291,1541,SPEAKING,S,114,C001035,"Collins, Susan M.",ME,R,"Collins, Susan M.",Ms. Susan Collins,Ms. COLLINS,Susan M. Collins
CREC-2015-08-06-pt1-PgS6433-2,CREC-2015-08-06,2015-08-06,,8249,1826,SPEAKING,S,114,K000367,"Klobuchar, Amy",MN,D,"Klobuchar, Amy",,Ms. KLOBUCHAR,Amy Klobuchar
CREC-2015-08-06-pt1-PgS6434,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6433-3,CREC-2015-08-06,2015-08-06,,8303,2080,SPEAKING,S,114,L000577,"Lee, Mike",UT,R,"Lee, Mike",,Mr. LEE,Mike Lee
CREC-2015-08-06-pt1-PgS6434-2,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6434-3,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6435,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941-2,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgS6436,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941-3,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941-4,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941-5,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
CREC-2015-08-06-pt1-PgD941-6,CREC-2015-08-06,2015-08-06,,,,,,,,,,,,,,
