granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-09-17-pt1-PgH-FrontMatter,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6079,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6079-2,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6079-4,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,G000558,"Guthrie, Brett",KY,R,"Guthrie, Brett",Mr. GUTHRIE,Brett Guthrie,
CREC-2015-09-17-pt1-PgH6079-3,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6079-5,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2015-09-17-pt1-PgH6080,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,H001070,"Hardy, Cresent",NV,R,"Hardy, Cresent",Mr. HARDY,Cresent Hardy,
CREC-2015-09-17-pt1-PgH6080-2,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,"Gutierrez, Luis V.",Mr. GUTIERREZ,Luis V. Gutierrez,Luis Gutierrez
CREC-2015-09-17-pt1-PgH6081,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-09-17-pt1-PgH6081-2,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2015-09-17-pt1-PgH6082,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,L000583,"Loudermilk, Barry",GA,R,"Loudermilk, Barry",Mr. LOUDERMILK,Barry Loudermilk,
CREC-2015-09-17-pt1-PgH6083,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,N000127,"Nolan, Richard M.",MN,D,"Nolan, Richard M.",Mr. NOLAN,Richard M. Nolan,Richard Nolan
CREC-2015-09-17-pt1-PgH6084,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,"Jolly, David W.",Mr. JOLLY,David W. Jolly,David Jolly
CREC-2015-09-17-pt1-PgH6083-3,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,V000131,"Veasey, Marc A.",TX,D,"Veasey, Marc A.",Mr. VEASEY,Marc A. Veasey,Marc Veasey
CREC-2015-09-17-pt1-PgH6083-2,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Evan Jenkins
CREC-2015-09-17-pt1-PgH6084-2,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2015-09-17-pt1-PgH6086,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,B001243,"Blackburn, Marsha",TN,R,"Blackburn, Marsha",Mrs. BLACKBURN,Marsha Blackburn,
CREC-2015-09-17-pt1-PgH6086-3,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6086-2,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6086-4,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6086-5,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6086-6,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,L000551,"Lee, Barbara",CA,D,"Lee, Barbara",Ms. LEE,Barbara Lee,
CREC-2015-09-17-pt1-PgH6087,CREC-2015-09-17,2015-09-17,,,,,,,,,,,,
CREC-2015-09-17-pt1-PgH6087-2,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,G000548,"Garrett, Scott",NJ,R,"Garrett, Scott",Mr. GARRETT,Scott Garrett,
CREC-2015-09-17-pt1-PgH6087-5,CREC-2015-09-17,2015-09-17,,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
