granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-09-21-pt1-PgS6821-3,CREC-2015-09-21,2015-09-21,,,,,,,,,,,,
CREC-2015-09-21-pt1-PgS6821,CREC-2015-09-21,2015-09-21,,,,,,,,,,,,
CREC-2015-09-21-pt1-PgS6821-2,CREC-2015-09-21,2015-09-21,,,,,,,,,,,,
CREC-2015-09-21-pt1-PgS6821-4,CREC-2015-09-21,2015-09-21,,,,,,,,,,,,
CREC-2015-09-21-pt1-PgS6821-5,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-09-21-pt1-PgS6822,CREC-2015-09-21,2015-09-21,,,,,,,,,,,,
CREC-2015-09-21-pt1-PgS6847,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,L000575,"Lankford, James",OK,R,"Lankford, James",,Mr. LANKFORD,James Lankford
CREC-2015-09-21-pt1-PgS6847-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Grant Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,F000062,"Feinstein, Dianne",CA,D,"Feinstein, Dianne",,Mrs. FEINSTEIN,Dianne Feinstein
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,C001095,"Cotton, Tom",AR,R,"Cotton, Tom",,Mr. COTTON,Tom Cotton
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,A000360,"Alexander, Lamar",TN,R,"Alexander, Lamar",,Mr. ALEXANDER,Lamar Alexander
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,H001042,"Hirono, Mazie K.",HI,D,"Hirono, Mazie K.",Mazie Hirono,Ms. HIRONO,Mazie K. Hirono
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,P000612,"Perdue, David",GA,R,"Perdue, David",David Alfred Perdue,Mr. PERDUE,David Perdue
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,W000802,"Whitehouse, Sheldon",RI,D,"Whitehouse, Sheldon",,Mr. WHITEHOUSE,Sheldon Whitehouse
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,S001141,"Sessions, Jeff",AL,R,"Sessions, Jeff",,Mr. SESSIONS,Jeff Sessions
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,F000457,"Franken, Al",MN,D,"Franken, Al",Al Franken,Mr. FRANKEN,Al Franken
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,"Cornyn, John",,Mr. CORNYN,John Cornyn
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,L000577,"Lee, Mike",UT,R,"Lee, Mike",,Mr. LEE,Mike Lee
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,D000607,"Donnelly, Joe",IN,D,"Donnelly, Joe",,Mr. DONNELLY,Joe Donnelly
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,B001277,"Blumenthal, Richard",CT,D,"Blumenthal, Richard",,Mr. BLUMENTHAL,Richard Blumenthal
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,G000359,"Graham, Lindsey",SC,R,"Graham, Lindsey",,Mr. GRAHAM,Lindsey Graham
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,E000295,"Ernst, Joni",IA,R,"Ernst, Joni",,Mrs. ERNST,Joni Ernst
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,S001181,"Shaheen, Jeanne",NH,D,"Shaheen, Jeanne",,Mrs. SHAHEEN,Jeanne Shaheen
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,F000463,"Fischer, Deb",NE,R,"Fischer, Deb",,Mrs. FISCHER,Deb Fischer
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,W000817,"Warren, Elizabeth",MA,D,"Warren, Elizabeth",Elizabeth A. Warren,Ms. WARREN,Elizabeth Warren
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,B000575,"Blunt, Roy",MO,R,"Blunt, Roy",,Mr. BLUNT,Roy Blunt
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,B001230,"Baldwin, Tammy",WI,D,"Baldwin, Tammy",,Ms. BALDWIN,Tammy Baldwin
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,C000542,"Coats, Daniel",IN,R,"Coats, Daniel",Daniel Ray Coats,Mr. COATS,Daniel Coats
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,I000024,"Inhofe, James M.",OK,R,"Inhofe, James M.",Jim Inhofe,Mr. INHOFE,James M. Inhofe
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",,Mr. THUNE,John Thune
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",,Mr. GRASSLEY,Chuck Grassley
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",,Mr. ROBERTS,Pat Roberts
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,D000618,"Daines, Steve",MT,R,"Daines, Steve",,Mr. DAINES,Steve Daines
CREC-2015-09-21-pt1-PgS6822-2,CREC-2015-09-21,2015-09-21,,SPEAKING,S,114,P000449,"Portman, Rob",OH,R,"Portman, Rob",,Mr. PORTMAN,Rob Portman
