granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-10-29-pt1-PgH-FrontMatter-2,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335-2,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335-3,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335-4,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335-5,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,T000462,"Tiberi, Patrick J.",OH,R,"Tiberi, Patrick J.",Patrick Tiberi,Mr. TIBERI,Patrick J. Tiberi
CREC-2015-10-29-pt1-PgH7336,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,B000589,"Boehner, John A.",OH,R,"Boehner, John A.",John Boehner,Mr. BOEHNER,John A. Boehner
CREC-2015-10-29-pt1-PgH7340,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,"McCarthy, Kevin",,Mr. McCARTHY,Kevin McCarthy
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,,,,,,,Mrs. McMORRIS RODGERS,
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,B000287,"Becerra, Xavier",CA,D,"Becerra, Xavier",,Mr. BECERRA,Xavier Becerra
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,P000197,"Pelosi, Nancy",CA,D,"Pelosi, Nancy",,Ms. PELOSI,Nancy Pelosi
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,"Ryan, Paul D.",Paul Ryan,Mr. RYAN of Wisconsin,Paul D. Ryan
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,C000714,"Conyers, John, Jr.",MI,D,"Conyers, John, Jr.",John Conyers,Mr. CONYERS,"John Conyers, Jr."
CREC-2015-10-29-pt1-PgH7340-2,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,"McCarthy, Kevin",,Mr. McCARTHY,Kevin McCarthy
CREC-2015-10-29-pt1-PgH7340-4,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-3,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-5,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-7,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-6,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-8,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,"McCarthy, Kevin",,Mr. McCARTHY,Kevin McCarthy
CREC-2015-10-29-pt1-PgH7341,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7345-2,CREC-2015-10-29,2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,"McCarthy, Kevin",,Mr. McCARTHY,Kevin McCarthy
CREC-2015-10-29-pt1-PgH7345,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7345-3,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7346,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-2,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-3,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-4,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7346-2,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-5,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-6,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-8,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-9,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-7,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-11,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-10,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-12,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-13,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS-FrontMatter-13,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS7601,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS7601-2,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS7601-3,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-10-29-pt1-PgS7601-3,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Grant Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-10-29-pt1-PgS7601-3,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-10-29-pt1-PgS7601-4,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS7601-5,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-10-29-pt1-PgS7601-6,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-10-29-pt1-PgS7602,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-10-29-pt1-PgS7602-3,CREC-2015-10-29,2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgS7602-2,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-10-29-pt1-PgS7602-4,CREC-2015-10-29,2015-10-29,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
