granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-10-30-pt1-PgS7665-2,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7665-3,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7665,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7665-5,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7665-4,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7675,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgS7675-2,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8295,1692,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,"Cornyn, John",Mr. CORNYN,John Cornyn,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8326,326,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Mr. Richard Durbin
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8265,1247,SPEAKING,S,114,W000779,"Wyden, Ron",OR,D,"Wyden, Ron",Mr. WYDEN,Ron Wyden,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8308,2082,SPEAKING,S,114,P000603,"Paul, Rand",KY,R,"Paul, Rand",Mr. PAUL,Rand Paul,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8314,1351,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Mr. HATCH,Orrin G. Hatch,Orrin Grant Hatch
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8339,1969,SPEAKING,S,114,F000457,"Franken, Al",MN,D,"Franken, Al",Mr. FRANKEN,Al Franken,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgS7665-6,CREC-2015-10-30,2015-10-30,,,2291,SPEAKING,S,114,T000476,"Tillis, Thomas",NC,R,"Tillis, Thomas",Mr. TILLIS,Thom Tillis,Mr. Thomas Roland Tillis
CREC-2015-10-30-pt1-PgS7675-4,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7675-5,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7675-3,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7675-6,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7675-7,CREC-2015-10-30,2015-10-30,,8234,1694,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski,
CREC-2015-10-30-pt1-PgS7676-3,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgS7676,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgD1158,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgS7676-2,CREC-2015-10-30,2015-10-30,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-10-30-pt1-PgD1159,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgD1159-2,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgD1159-3,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgD1159-4,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
CREC-2015-10-30-pt1-PgD1159-5,CREC-2015-10-30,2015-10-30,,,,,,,,,,,,,,
