granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-11-09-pt1-PgS7845-3,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7845,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7845-2,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7845-4,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7845-6,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7845-5,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2015-11-09-pt1-PgS7846,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2015-11-09-pt1-PgS7845-7,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2015-11-09-pt1-PgS7846-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2015-11-09-pt1-PgS7847,CREC-2015-11-09,2015-11-09,,,,,,,,,,,,
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,T000464,"Tester, Jon",MT,D,"Tester, Jon",Mr. TESTER,Jon Tester,
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,C000542,"Coats, Daniel",IN,R,"Coats, Daniel",Mr. COATS,Daniel Coats,Daniel Ray Coats
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,I000024,"Inhofe, James M.",OK,R,"Inhofe, James M.",Mr. INHOFE,James M. Inhofe,Jim Inhofe
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,S001198,"Sullivan, Dan",AK,R,"Sullivan, Dan",Mr. SULLIVAN,Dan Sullivan,
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,K000360,"Kirk, Mark Steven",IL,R,"Kirk, Mark Steven",Mr. KIRK,Mark Kirk,Mark Steven Kirk
CREC-2015-11-09-pt1-PgS7847-2,CREC-2015-11-09,2015-11-09,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",Mr. ROBERTS,Pat Roberts,
