granuleId,packageId,date,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-12-11-pt1-PgH9273-2,CREC-2015-12-11,2015-12-11,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-12-11-pt1-PgH9274,CREC-2015-12-11,2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9273,CREC-2015-12-11,2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9274-2,CREC-2015-12-11,2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9274-3,CREC-2015-12-11,2015-12-11,8028,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-12-11-pt1-PgH9274-4,CREC-2015-12-11,2015-12-11,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-12-11-pt1-PgH9274-6,CREC-2015-12-11,2015-12-11,,2202,SPEAKING,H,114,N000188,"Norcross, Donald",NJ,D,,"Norcross, Donald",Mr. NORCROSS,Donald Norcross,
CREC-2015-12-11-pt1-PgH9274-5,CREC-2015-12-11,2015-12-11,7890,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2015-12-11-pt1-PgH9274-7,CREC-2015-12-11,2015-12-11,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-12-11-pt1-PgH9275-2,CREC-2015-12-11,2015-12-11,,2264,SPEAKING,H,114,K000386,"Katko, John",NY,R,,"Katko, John",Mr. KATKO,John Katko,
CREC-2015-12-11-pt1-PgH9275,CREC-2015-12-11,2015-12-11,8068,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,,"Crowley, Joseph",Mr. CROWLEY,Joseph Crowley,
CREC-2015-12-11-pt1-PgH9275-4,CREC-2015-12-11,2015-12-11,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-12-11-pt1-PgH9275-3,CREC-2015-12-11,2015-12-11,7860,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2015-12-11-pt1-PgH9286,CREC-2015-12-11,2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9286-2,CREC-2015-12-11,2015-12-11,8164,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8112,1742,SPEAKING,H,114,C001053,"Cole, Tom",OK,R,,"Cole, Tom",Mr. COLE,Tom Cole,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,7860,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8216,1498,SPEAKING,H,114,K000188,"Kind, Ron",WI,D,,"Kind, Ron",Mr. KIND,Ron Kind,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8091,186,SPEAKING,H,114,C000266,"Chabot, Steve",OH,R,,"Chabot, Steve",Mr. CHABOT,Steve Chabot,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,7827,1833,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,,"McCarthy, Kevin",Mr. McCARTHY,Kevin McCarthy,
CREC-2015-12-11-pt1-PgH9275-5,CREC-2015-12-11,2015-12-11,8177,1075,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,,"Smith, Lamar",Mr. SMITH of Texas,Lamar Smith,
CREC-2015-12-11-pt1-PgH9295,CREC-2015-12-11,2015-12-11,7957,977,SPEAKING,H,114,R000395,"Rogers, Harold",KY,R,,"Rogers, Harold",Mr. ROGERS of Kentucky,Harold Rogers,
CREC-2015-12-11-pt1-PgH9295,CREC-2015-12-11,2015-12-11,8079,709,SPEAKING,H,114,L000480,"Lowey, Nita M.",NY,D,,"Lowey, Nita M.",Mrs. LOWEY,Nita M. Lowey,Nita Lowey
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8164,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7997,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8212,1810,SPEAKING,H,114,R000578,"Reichert, David G.",WA,R,,"Reichert, David G.",Mr. REICHERT,David G. Reichert,Mr. David Reichert
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7844,1757,SPEAKING,H,114,S001156,"Sanchez, Linda T.",CA,D,,"Sanchez, Linda T.",Ms. LINDA T. SANCHEZ of California,Linda T. Sanchez,Linda Sanchez
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8102,1664,SPEAKING,H,114,T000462,"Tiberi, Patrick J.",OH,R,,"Tiberi, Patrick J.",Mr. TIBERI,Patrick J. Tiberi,Patrick Tiberi
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7868,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,,"DeLauro, Rosa L.",Ms. DeLAURO,Rosa L. DeLauro,Rosa Delauro
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7965,1787,SPEAKING,H,114,B001255,"Boustany, Charles W., Jr.",LA,R,,"Boustany, Charles W., Jr.",Mr. BOUSTANY,"Charles W. Boustany, Jr.",Mr. Charles Boustany Jr.
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8216,1498,SPEAKING,H,114,K000188,"Kind, Ron",WI,D,,"Kind, Ron",Mr. KIND,Ron Kind,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7926,1848,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,,"Roskam, Peter J.",Mr. ROSKAM,Peter J. Roskam,Mr. Peter Roskam
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8003,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8040,1860,SPEAKING,H,114,S001172,"Smith, Adrian",NE,R,,"Smith, Adrian",Mr. SMITH of Nebraska,Adrian Smith,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8181,303,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,,"Doggett, Lloyd",Mr. DOGGETT,Lloyd Doggett,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,7813,905,SPEAKING,H,114,P000197,"Pelosi, Nancy",CA,D,,"Pelosi, Nancy",Ms. PELOSI,Nancy Pelosi,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,,2191,SPEAKING,H,114,S001195,"Smith, Jason",MO,R,,"Smith, Jason",Mr. SMITH of Missouri,Jason Smith,
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8197,446,SPEAKING,H,114,G000289,"Goodlatte, Bob",VA,R,,"Goodlatte, Bob",Mr. GOODLATTE,Bob Goodlatte,Robert Goodlatte
CREC-2015-12-11-pt1-PgH9286-3,CREC-2015-12-11,2015-12-11,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
