granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-01-06-pt1-PgH17-2,CREC-2016-01-06,2016-01-06,,,,,,,,,,,,,,
CREC-2016-01-06-pt1-PgH-FrontMatter,CREC-2016-01-06,2016-01-06,,,,,,,,,,,,,,
CREC-2016-01-06-pt1-PgH17,CREC-2016-01-06,2016-01-06,,,,,,,,,,,,,,
CREC-2016-01-06-pt1-PgH17-3,CREC-2016-01-06,2016-01-06,,,,,,,,,,,,,,
CREC-2016-01-06-pt1-PgH18,CREC-2016-01-06,2016-01-06,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Mr. Alexander Mooney,Mr. MOONEY of West Virginia,Alexander X. Mooney
CREC-2016-01-06-pt1-PgH17-4,CREC-2016-01-06,2016-01-06,,478,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,7924,"Gutierrez, Luis V.",Luis Gutierrez,Mr. GUTIERREZ,Luis V. Gutierrez
CREC-2016-01-06-pt1-PgH18-2,CREC-2016-01-06,2016-01-06,,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-01-06-pt1-PgH19,CREC-2016-01-06,2016-01-06,,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,7930,"Dold, Robert J.",Mr. Robert Dold,Mr. DOLD,Robert J. Dold
CREC-2016-01-06-pt1-PgH19-2,CREC-2016-01-06,2016-01-06,,2190,SPEAKING,H,114,K000385,"Kelly, Robin L.",IL,D,,"Kelly, Robin L.",Ms. Robin Kelly,Ms. KELLY of Illinois,Robin L. Kelly
CREC-2016-01-06-pt1-PgH20,CREC-2016-01-06,2016-01-06,,1527,SPEAKING,H,114,S000364,"Shimkus, John",IL,R,7939,"Shimkus, John",John M. Shimkus,Mr. SHIMKUS,John Shimkus
CREC-2016-01-06-pt1-PgH20-2,CREC-2016-01-06,2016-01-06,,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,8174,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
