granuleId,packageId,date,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2016-03-21-pt1-PgH1465,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH-FrontMatter,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1465-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1465-4,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1465-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1465-5,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1466,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1465-6,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1466-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1467,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1467-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1467-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1467-4,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1467-5,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-5,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-4,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-7,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1468-6,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4721,114,HR
CREC-2016-03-21-pt1-PgH1469-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,34,114,SCONRES
CREC-2016-03-21-pt1-PgH1469-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,111,114,HCONRES
CREC-2016-03-21-pt1-PgH1469-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,483,114,S
CREC-2016-03-21-pt1-PgH1469-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2143,114,S
CREC-2016-03-21-pt1-PgH1469-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2512,114,S
CREC-2016-03-21-pt1-PgH1469-6,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-7,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-8,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1469-9,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,590,114,HRES
CREC-2016-03-21-pt1-PgH1469-9,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1670,114,HR
CREC-2016-03-21-pt1-PgH1472,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,192,114,S
CREC-2016-03-21-pt1-PgH1472,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,192,114,S
CREC-2016-03-21-pt1-PgH1480,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4314,114,HR
CREC-2016-03-21-pt1-PgH1480,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4314,114,HR
CREC-2016-03-21-pt1-PgH1485,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4721,114,HR
CREC-2016-03-21-pt1-PgH1485,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4721,114,HR
CREC-2016-03-21-pt1-PgH1484,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2393,114,S
CREC-2016-03-21-pt1-PgH1484,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2393,114,S
CREC-2016-03-21-pt1-PgH1487,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1180,114,S
CREC-2016-03-21-pt1-PgH1487,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1180,114,S
CREC-2016-03-21-pt1-PgH1487,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1472,114,HR
CREC-2016-03-21-pt1-PgH1487,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1738,114,HR
CREC-2016-03-21-pt1-PgH1491,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1491-3,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,653,114,HRES
CREC-2016-03-21-pt1-PgH1491-3,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,653,114,HRES
CREC-2016-03-21-pt1-PgH1491-3,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2745,114,HR
CREC-2016-03-21-pt1-PgH1491-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1492,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1491-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4314,114,HR
CREC-2016-03-21-pt1-PgH1491-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4314,114,HR
CREC-2016-03-21-pt1-PgH1492-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1492-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-4,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-5,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-6,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1493-7,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2143,114,S
CREC-2016-03-21-pt1-PgH1493-7,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2512,114,S
CREC-2016-03-21-pt1-PgH1494,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1831,114,HR
CREC-2016-03-21-pt1-PgH1494-2,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1494-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,653,114,HRES
CREC-2016-03-21-pt1-PgH1494-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2745,114,HR
CREC-2016-03-21-pt1-PgH1494-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4336,114,HR
CREC-2016-03-21-pt1-PgH1494-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4472,114,HR
CREC-2016-03-21-pt1-PgH1494-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,654,114,HRES
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,655,114,HRES
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,656,114,HRES
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4815,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4816,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4817,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4818,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4819,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4820,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4821,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4822,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4823,114,HR
CREC-2016-03-21-pt1-PgH1495,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4824,114,HR
CREC-2016-03-21-pt1-PgH1495-2,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,6,114,S
CREC-2016-03-21-pt1-PgH1495-2,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,8,114,S
CREC-2016-03-21-pt1-PgH1495-3,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1495-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4815,114,HR
CREC-2016-03-21-pt1-PgH1495-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4816,114,HR
CREC-2016-03-21-pt1-PgH1495-6,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4817,114,HR
CREC-2016-03-21-pt1-PgH1495-7,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4818,114,HR
CREC-2016-03-21-pt1-PgH1495-8,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4819,114,HR
CREC-2016-03-21-pt1-PgH1495-9,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4820,114,HR
CREC-2016-03-21-pt1-PgH1496,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4821,114,HR
CREC-2016-03-21-pt1-PgH1496-2,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4822,114,HR
CREC-2016-03-21-pt1-PgH1496-3,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4823,114,HR
CREC-2016-03-21-pt1-PgH1496-4,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,4824,114,HR
CREC-2016-03-21-pt1-PgH1496-6,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgS-FrontMatter-7,CREC-2016-03-21,2016-03-21,,,,,,
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,1,114,HJRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,2,114,HJRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,12,114,HRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,19,114,HCONRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,22,114,HJRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,84,114,HJRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,85,114,HJRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,130,114,HRES
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,292,114,HR
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,303,114,HR
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,551,114,HR
CREC-2016-03-21-pt1-PgH1496-5,CREC-2016-03-21,2016-03-21,,BILLS,Congressional Bills,563,114,HR
