granuleId,packageId,date,title,collectionCode,granuleClass,chamber,pagePrefix,bookNumber,detailsLink,txtLink,pdfLink,packageLink,text_readability,text_bs4,parsed_text,relatedLink,docClass,category,lastModified,collectionName,__source_file,text_readability_len,text_bs4_len,parsed_text_len,search_text,search_text_len
CREC-2016-05-02-pt1-PgS-FrontMatter,CREC-2016-05-02,2016-05-02,House of Representatives,CREC,SENATE,S,S,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgS-FrontMatter,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS-FrontMatter/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS-FrontMatter/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] H O U S E O F R E P R E S E N T A T I V E S Vol. 162 WASHINGTON, MONDAY, MAY 2, 2016 No. 68",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] H O U S E O F R E P R E S E N T A T I V E S Vol. 162 WASHINGTON, MONDAY, MAY 2, 2016 No. 68",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgS-FrontMatter,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,274,0,274,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [senate] [page s2601] from the congressional record online through the government publishing office [ www.gpo.gov ] h o u s e o f r e p r e s e n t a t i v e s vol. 162 washington, monday, may 2, 2016 no. 68",274
CREC-2016-05-02-pt1-PgS2601-2,CREC-2016-05-02,2016-05-02,House of Representatives,CREC,SENATE,S,S,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgS2601-2,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-2/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-2/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives The House was not in session today. Its next meeting will be held on Tuesday, May 3, 2016, at 3:00 p.m. _________________________________",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives The House was not in session today. Its next meeting will be held on Tuesday, May 3, 2016, at 3:00 p.m. _________________________________",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgS2601-2,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,345,0,345,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [senate] [page s2601] from the congressional record online through the government publishing office [ www.gpo.gov ] house of representatives the house was not in session today. its next meeting will be held on tuesday, may 3, 2016, at 3:00 p.m. _________________________________",345
CREC-2016-05-02-pt1-PgS2601-3,CREC-2016-05-02,2016-05-02,Senate,CREC,SENATE,S,S,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgS2601-3,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-3/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-3/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Senate Monday, May 2, 2016 The Senate met at 2 and 5 seconds p.m., and was called to order by the Honorable Lindsey Graham, a Senator from the State of South Carolina. ____________________",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Senate Monday, May 2, 2016 The Senate met at 2 and 5 seconds p.m., and was called to order by the Honorable Lindsey Graham, a Senator from the State of South Carolina. ____________________",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgS2601-3,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,371,0,371,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [senate] [page s2601] from the congressional record online through the government publishing office [ www.gpo.gov ] senate monday, may 2, 2016 the senate met at 2 and 5 seconds p.m., and was called to order by the honorable lindsey graham, a senator from the state of south carolina. ____________________",371
CREC-2016-05-02-pt1-PgS2601-5,CREC-2016-05-02,2016-05-02,"ADJOURNMENT UNTIL THURSDAY, MAY 5, 2016",CREC,SENATE,S,S,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgS2601-5,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-5/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-5/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT UNTIL THURSDAY, MAY 5, 2016 The ACTING PRESIDENT pro tempore. Under the previous order, the Senate stands adjourned until 11:30 a.m. on Thursday, May 5, 2016. Thereupon, the Senate, at 2 and 30 seconds p.m., adjourned until Thursday, May 5, 2016, at 11:30 a.m.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT UNTIL THURSDAY, MAY 5, 2016 The ACTING PRESIDENT pro tempore. Under the previous order, the Senate stands adjourned until 11:30 a.m. on Thursday, May 5, 2016. Thereupon, the Senate, at 2 and 30 seconds p.m., adjourned until Thursday, May 5, 2016, at 11:30 a.m.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgS2601-5,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,455,0,455,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [senate] [page s2601] from the congressional record online through the government publishing office [ www.gpo.gov ] adjournment until thursday, may 5, 2016 the acting president pro tempore. under the previous order, the senate stands adjourned until 11:30 a.m. on thursday, may 5, 2016. thereupon, the senate, at 2 and 30 seconds p.m., adjourned until thursday, may 5, 2016, at 11:30 a.m.",455
CREC-2016-05-02-pt1-PgS2601-4,CREC-2016-05-02,2016-05-02,APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE,CREC,SENATE,S,S,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgS2601-4,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-4/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgS2601-4/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE The PRESIDING OFFICER. The clerk will please read a communication to the Senate from the President pro tempore (Mr. Hatch). The senior assistant legislative clerk read the following letter: U.S. Senate, President pro tempore, Washington, DC, May 2, 2016. To the Senate: Under the provisions of rule I, paragraph 3, of the Standing Rules of the Senate, I hereby appoint the Honorable Lindsey Graham, a Senator from the State of South Carolina, to perform the duties of the Chair. Orrin G. Hatch, President pro tempore. Mr. GRAHAM thereupon assumed the Chair as Acting President pro tempore. ____________________",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Senate] [Page S2601] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE The PRESIDING OFFICER. The clerk will please read a communication to the Senate from the President pro tempore (Mr. Hatch). The senior assistant legislative clerk read the following letter: U.S. Senate, President pro tempore, Washington, DC, May 2, 2016. To the Senate: Under the provisions of rule I, paragraph 3, of the Standing Rules of the Senate, I hereby appoint the Honorable Lindsey Graham, a Senator from the State of South Carolina, to perform the duties of the Chair. Orrin G. Hatch, President pro tempore. Mr. GRAHAM thereupon assumed the Chair as Acting President pro tempore. ____________________",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgS2601-4,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,837,0,837,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [senate] [page s2601] from the congressional record online through the government publishing office [ www.gpo.gov ] appointment of acting president pro tempore the presiding officer. the clerk will please read a communication to the senate from the president pro tempore (mr. hatch). the senior assistant legislative clerk read the following letter: u.s. senate, president pro tempore, washington, dc, may 2, 2016. to the senate: under the provisions of rule i, paragraph 3, of the standing rules of the senate, i hereby appoint the honorable lindsey graham, a senator from the state of south carolina, to perform the duties of the chair. orrin g. hatch, president pro tempore. mr. graham thereupon assumed the chair as acting president pro tempore. ____________________",837
CREC-2016-05-02-pt1-PgD457,CREC-2016-05-02,2016-05-02,Daily Digest/Senate,CREC,DAILYDIGEST,,D,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgD457,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Monday, May 2, 2016 [[Page D457]] Daily Digest Senate Chamber Action The Senate met at 2:00:05 p.m. in pro forma session, and adjourned at 2:00:30 p.m. until 11:30 a.m., on Thursday, May 5, 2016.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Monday, May 2, 2016 [[Page D457]] Daily Digest Senate Chamber Action The Senate met at 2:00:05 p.m. in pro forma session, and adjourned at 2:00:30 p.m. until 11:30 a.m., on Thursday, May 5, 2016.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgD457,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,383,0,383,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [daily digest] [page d457] from the congressional record online through the government publishing office [ www.gpo.gov ] monday, may 2, 2016 [[page d457]] daily digest senate chamber action the senate met at 2:00:05 p.m. in pro forma session, and adjourned at 2:00:30 p.m. until 11:30 a.m., on thursday, may 5, 2016.",383
CREC-2016-05-02-pt1-PgD457-2,CREC-2016-05-02,2016-05-02,Daily Digest/Senate Committee Meetings,CREC,DAILYDIGEST,,D,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgD457-2,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-2/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-2/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No committee meetings were held.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No committee meetings were held.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgD457-2,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,239,0,239,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [daily digest] [page d457] from the congressional record online through the government publishing office [ www.gpo.gov ] committee meetings no committee meetings were held.",239
CREC-2016-05-02-pt1-PgD457-3,CREC-2016-05-02,2016-05-02,Daily Digest/House of Representatives,CREC,DAILYDIGEST,,D,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgD457-3,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-3/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-3/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives Chamber Action The House was not in session today. The House is scheduled to meet in a Pro Forma session at 3 p.m. on Tuesday, May 3, 2016.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives Chamber Action The House was not in session today. The House is scheduled to meet in a Pro Forma session at 3 p.m. on Tuesday, May 3, 2016.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgD457-3,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,352,0,352,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [daily digest] [page d457] from the congressional record online through the government publishing office [ www.gpo.gov ] house of representatives chamber action the house was not in session today. the house is scheduled to meet in a pro forma session at 3 p.m. on tuesday, may 3, 2016.",352
CREC-2016-05-02-pt1-PgD457-4,CREC-2016-05-02,2016-05-02,Daily Digest/House Committee Meetings,CREC,DAILYDIGEST,,D,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgD457-4,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-4/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-4/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No hearings were held. Joint Meetings No joint committee meetings were held.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No hearings were held. Joint Meetings No joint committee meetings were held.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgD457-4,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,283,0,283,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [daily digest] [page d457] from the congressional record online through the government publishing office [ www.gpo.gov ] committee meetings no hearings were held. joint meetings no joint committee meetings were held.",283
CREC-2016-05-02-pt1-PgD457-5,CREC-2016-05-02,2016-05-02,Daily Digest/COMMITTEE MEETINGS FOR 2016-05-03,CREC,DAILYDIGEST,,D,1,https://www.govinfo.gov/app/details/CREC-2016-05-02/CREC-2016-05-02-pt1-PgD457-5,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-5/htm,https://api.govinfo.gov/packages/CREC-2016-05-02/granules/CREC-2016-05-02-pt1-PgD457-5/pdf,https://api.govinfo.gov/packages/CREC-2016-05-02/summary,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMITTEE MEETINGS FOR TUESDAY, MAY 3, 2016 (Committee meetings are open unless otherwise indicated) Senate No meetings/hearings scheduled. House No hearings are scheduled.",,"[Congressional Record Volume 162, Number 68 (Monday, May 2, 2016)] [Daily Digest] [Page D457] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMITTEE MEETINGS FOR TUESDAY, MAY 3, 2016 (Committee meetings are open unless otherwise indicated) Senate No meetings/hearings scheduled. House No hearings are scheduled.",https://api.govinfo.gov/related/CREC-2016-05-02-pt1-PgD457-5,CREC,Proceedings of Congress and General Congressional Publications,2025-03-07T17:28:35Z,Congressional Record,package_114_253.csv,360,0,360,"[congressional record volume 162, number 68 (monday, may 2, 2016)] [daily digest] [page d457] from the congressional record online through the government publishing office [ www.gpo.gov ] committee meetings for tuesday, may 3, 2016 (committee meetings are open unless otherwise indicated) senate no meetings/hearings scheduled. house no hearings are scheduled.",360
