granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-07-05-pt1-PgH4195-2,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4195,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4195-4,CREC-2016-07-05,2016-07-05,,7866,1583,SPEAKING,H,114,L000557,"Larson, John B.",CT,D,"Larson, John B.",John Larson,Mr. LARSON of Connecticut,John B. Larson
CREC-2016-07-05-pt1-PgH4195-3,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH-FrontMatter-4,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4196,CREC-2016-07-05,2016-07-05,,8139,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,"Cicilline, David N.",Mr. David Cicilline,Mr. CICILLINE,David N. Cicilline
CREC-2016-07-05-pt1-PgH4195-5,CREC-2016-07-05,2016-07-05,,7809,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,"McClintock, Tom",,Mr. McCLINTOCK,Tom McClintock
CREC-2016-07-05-pt1-PgH4197,CREC-2016-07-05,2016-07-05,,,2190,SPEAKING,H,114,K000385,"Kelly, Robin L.",IL,D,"Kelly, Robin L.",Ms. Robin Kelly,Ms. KELLY of Illinois,Robin L. Kelly
CREC-2016-07-05-pt1-PgH4197-2,CREC-2016-07-05,2016-07-05,,7838,1996,SPEAKING,H,114,B001270,"Bass, Karen",CA,D,"Bass, Karen",,Ms. BASS,Karen Bass
CREC-2016-07-05-pt1-PgH4196-2,CREC-2016-07-05,2016-07-05,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",,Mr. THOMPSON of California,Mike Thompson
CREC-2016-07-05-pt1-PgH4198,CREC-2016-07-05,2016-07-05,,8181,303,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,"Doggett, Lloyd",,Mr. DOGGETT,Lloyd Doggett
CREC-2016-07-05-pt1-PgH4199-2,CREC-2016-07-05,2016-07-05,,7871,868,SPEAKING,H,114,N000147,"Norton, Eleanor Holmes",DC,D,"Norton, Eleanor Holmes",Eleanor Norton,Ms. NORTON,Eleanor Holmes Norton
CREC-2016-07-05-pt1-PgH4199,CREC-2016-07-05,2016-07-05,,7827,1833,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,"McCarthy, Kevin",,Mr. McCARTHY,Kevin McCarthy
CREC-2016-07-05-pt1-PgH4199-3,CREC-2016-07-05,2016-07-05,,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,"Edwards, Donna F.",Ms. Donna Edwards,Ms. EDWARDS,Donna F. Edwards
CREC-2016-07-05-pt1-PgH4200-2,CREC-2016-07-05,2016-07-05,,,2110,SPEAKING,H,114,T000472,"Takano, Mark",CA,D,"Takano, Mark",,Mr. TAKANO,Mark Takano
CREC-2016-07-05-pt1-PgH4201,CREC-2016-07-05,2016-07-05,,8146,208,SPEAKING,H,114,C000537,"Clyburn, James E.",SC,D,"Clyburn, James E.",James Clyburn,Mr. CLYBURN,James E. Clyburn
CREC-2016-07-05-pt1-PgH4201-3,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4200,CREC-2016-07-05,2016-07-05,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2016-07-05-pt1-PgH4201-4,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4202,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4201-2,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4202-2,CREC-2016-07-05,2016-07-05,,,,,,,,,,,,,,
CREC-2016-07-05-pt1-PgH4202-4,CREC-2016-07-05,2016-07-05,,7867,1836,SPEAKING,H,114,C001069,"Courtney, Joe",CT,D,"Courtney, Joe",,Mr. COURTNEY,Joe Courtney
CREC-2016-07-05-pt1-PgH4202-6,CREC-2016-07-05,2016-07-05,,8004,1653,SPEAKING,H,114,M001143,"McCollum, Betty",MN,D,"McCollum, Betty",,Ms. McCOLLUM,Betty McCollum
CREC-2016-07-05-pt1-PgH4202-7,CREC-2016-07-05,2016-07-05,,8139,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,"Cicilline, David N.",Mr. David Cicilline,Mr. CICILLINE,David N. Cicilline
CREC-2016-07-05-pt1-PgH4202-5,CREC-2016-07-05,2016-07-05,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-07-05-pt1-PgH4202-8,CREC-2016-07-05,2016-07-05,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",,Mr. THOMPSON of California,Mike Thompson
CREC-2016-07-05-pt1-PgH4203,CREC-2016-07-05,2016-07-05,,,2110,SPEAKING,H,114,T000472,"Takano, Mark",CA,D,"Takano, Mark",,Mr. TAKANO,Mark Takano
CREC-2016-07-05-pt1-PgH4202-3,CREC-2016-07-05,2016-07-05,,8183,2067,SPEAKING,H,114,F000460,"Farenthold, Blake",TX,R,"Farenthold, Blake",,Mr. FARENTHOLD,Blake Farenthold
CREC-2016-07-05-pt1-PgH4203-3,CREC-2016-07-05,2016-07-05,,8068,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,"Crowley, Joseph",,Mr. CROWLEY,Joseph Crowley
CREC-2016-07-05-pt1-PgH4203-4,CREC-2016-07-05,2016-07-05,,,2259,SPEAKING,H,114,W000822,"Watson Coleman, Bonnie",NJ,D,"Watson Coleman, Bonnie",,Mrs. WATSON COLEMAN,Bonnie Watson Coleman
CREC-2016-07-05-pt1-PgH4203-6,CREC-2016-07-05,2016-07-05,,,2101,SPEAKING,H,114,H001068,"Huffman, Jared",CA,D,"Huffman, Jared",,Mr. HUFFMAN,Jared Huffman
CREC-2016-07-05-pt1-PgH4203-5,CREC-2016-07-05,2016-07-05,,7978,1854,SPEAKING,H,114,S001168,"Sarbanes, John P.",MD,D,"Sarbanes, John P.",Mr. John Sarbanes,Mr. SARBANES,John P. Sarbanes
CREC-2016-07-05-pt1-PgH4203-2,CREC-2016-07-05,2016-07-05,,,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,"Kennedy, Joseph P., III",Joseph Kennedy III,Mr. KENNEDY,Joseph P. Kennedy III
CREC-2016-07-05-pt1-PgH4204-2,CREC-2016-07-05,2016-07-05,,8132,316,SPEAKING,H,114,D000482,"Doyle, Michael F.",PA,D,"Doyle, Michael F.",Mike Doyle,Mr. MICHAEL F. DOYLE of Pennsylvania,Michael F. Doyle
CREC-2016-07-05-pt1-PgH4204,CREC-2016-07-05,2016-07-05,,7970,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,"Tsongas, Niki",,Ms. TSONGAS,Niki Tsongas
CREC-2016-07-05-pt1-PgH4204-4,CREC-2016-07-05,2016-07-05,,7999,229,SPEAKING,H,114,C000714,"Conyers, John, Jr.",MI,D,"Conyers, John, Jr.",John Conyers Jr.,Mr. CONYERS,"John Conyers, Jr."
CREC-2016-07-05-pt1-PgH4204-3,CREC-2016-07-05,2016-07-05,,7929,1588,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,"Schakowsky, Janice D.",Janice Schakowsky,Ms. SCHAKOWSKY,Janice D. Schakowsky
CREC-2016-07-05-pt1-PgH4204-5,CREC-2016-07-05,2016-07-05,,7973,1564,SPEAKING,H,114,C001037,"Capuano, Michael E.",MA,D,"Capuano, Michael E.",Michael Capuano,Mr. CAPUANO,Michael E. Capuano
CREC-2016-07-05-pt1-PgH4204-6,CREC-2016-07-05,2016-07-05,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2016-07-05-pt1-PgH4204-7,CREC-2016-07-05,2016-07-05,,8156,1878,SPEAKING,H,114,C001068,"Cohen, Steve",TN,D,"Cohen, Steve",,Mr. COHEN,Steve Cohen
CREC-2016-07-05-pt1-PgH4205-3,CREC-2016-07-05,2016-07-05,,8186,599,SPEAKING,H,114,J000126,"Johnson, Eddie Bernice",TX,D,"Johnson, Eddie Bernice",Eddie Johnson,Ms. EDDIE BERNICE JOHNSON of Texas,Eddie Bernice Johnson
CREC-2016-07-05-pt1-PgH4205-4,CREC-2016-07-05,2016-07-05,,,2267,SPEAKING,H,114,B001296,"Boyle, Brendan F.",PA,D,"Boyle, Brendan F.",Mr. Brendan Boyle,Mr. BRENDAN F. BOYLE of Pennsylvania,Brendan F. Boyle
CREC-2016-07-05-pt1-PgH4205-2,CREC-2016-07-05,2016-07-05,,,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,"Gallego, Ruben",,Mr. GALLEGO,Ruben Gallego
CREC-2016-07-05-pt1-PgH4205-5,CREC-2016-07-05,2016-07-05,,8067,1506,SPEAKING,H,114,M001137,"Meeks, Gregory W.",NY,D,"Meeks, Gregory W.",Gregory Meeks,Mr. MEEKS,Gregory W. Meeks
CREC-2016-07-05-pt1-PgH4205,CREC-2016-07-05,2016-07-05,,,2190,SPEAKING,H,114,K000385,"Kelly, Robin L.",IL,D,"Kelly, Robin L.",Ms. Robin Kelly,Ms. KELLY of Illinois,Robin L. Kelly
CREC-2016-07-05-pt1-PgH4205-6,CREC-2016-07-05,2016-07-05,,7879,800,SPEAKING,H,114,M000689,"Mica, John L.",FL,R,"Mica, John L.",John Mica,Mr. MICA,John L. Mica
CREC-2016-07-05-pt1-PgH4205-7,CREC-2016-07-05,2016-07-05,,,2196,SPEAKING,H,114,C001101,"Clark, Katherine M.",MA,D,"Clark, Katherine M.",Ms. Katherine Clark,Ms. CLARK of Massachusetts,Katherine M. Clark
CREC-2016-07-05-pt1-PgH4206,CREC-2016-07-05,2016-07-05,,7955,1853,SPEAKING,H,114,Y000062,"Yarmuth, John A.",KY,D,"Yarmuth, John A.",Mr. John Yarmuth,Mr. YARMUTH,John A. Yarmuth
CREC-2016-07-05-pt1-PgH4206-2,CREC-2016-07-05,2016-07-05,,8075,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,"Maloney, Carolyn B.",Carolyn Maloney,Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney
CREC-2016-07-05-pt1-PgH4206-3,CREC-2016-07-05,2016-07-05,,7810,1814,SPEAKING,H,114,M001163,"Matsui, Doris O.",CA,D,"Matsui, Doris O.",Ms. Doris Matsui,Ms. MATSUI,Doris O. Matsui
CREC-2016-07-05-pt1-PgH4206-4,CREC-2016-07-05,2016-07-05,,7997,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,"Levin, Sander M.",Sander Levin,Mr. LEVIN,Sander M. Levin
CREC-2016-07-05-pt1-PgH4206-5,CREC-2016-07-05,2016-07-05,,7868,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,"DeLauro, Rosa L.",Rosa Delauro,Ms. DeLAURO,Rosa L. DeLauro
CREC-2016-07-05-pt1-PgH4206-6,CREC-2016-07-05,2016-07-05,,7901,1843,SPEAKING,H,114,J000288,"Johnson, Henry C. ""Hank,"" Jr.",GA,D,"Johnson, Henry C. ""Hank,"" Jr.","Mr. Henry C. ""Hank"" Johnson",Mr. JOHNSON of Georgia,"Henry C. ""Hank"" Johnson, Jr."
CREC-2016-07-05-pt1-PgH4207-2,CREC-2016-07-05,2016-07-05,,8078,344,SPEAKING,H,114,E000179,"Engel, Eliot L.",NY,D,"Engel, Eliot L.",Eliot Engel,Mr. ENGEL,Eliot L. Engel
CREC-2016-07-05-pt1-PgH4207-4,CREC-2016-07-05,2016-07-05,,,2272,SPEAKING,H,114,B001292,"Beyer, Donald S., Jr.",VA,D,"Beyer, Donald S., Jr.",Mr. Donald Beyer,Mr. BEYER,"Donald S. Beyer, Jr."
CREC-2016-07-05-pt1-PgH4207,CREC-2016-07-05,2016-07-05,,7980,566,SPEAKING,H,114,H000874,"Hoyer, Steny H.",MD,D,"Hoyer, Steny H.",Steny Hoyer,Mr. HOYER,Steny H. Hoyer
CREC-2016-07-05-pt1-PgH4207-6,CREC-2016-07-05,2016-07-05,,7866,1583,SPEAKING,H,114,L000557,"Larson, John B.",CT,D,"Larson, John B.",John Larson,Mr. LARSON of Connecticut,John B. Larson
