granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-12-pt1-PgH4663,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4663-2,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH-FrontMatter-5,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4663-3,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4663-5,CREC-2016-07-12,2016-07-12,,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-07-12-pt1-PgH4664,CREC-2016-07-12,2016-07-12,,8033,1792,SPEAKING,H,114,M001156,"McHenry, Patrick T.",NC,R,"McHenry, Patrick T.",Mr. McHENRY,Patrick T. McHenry,Mr. Patrick Mchenry
CREC-2016-07-12-pt1-PgH4663-4,CREC-2016-07-12,2016-07-12,,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-07-12-pt1-PgH4665,CREC-2016-07-12,2016-07-12,,7890,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-07-12-pt1-PgH4666,CREC-2016-07-12,2016-07-12,,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Mr. Ralph Abraham
CREC-2016-07-12-pt1-PgH4664-2,CREC-2016-07-12,2016-07-12,,,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2016-07-12-pt1-PgH4666-2,CREC-2016-07-12,2016-07-12,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-12-pt1-PgH4667,CREC-2016-07-12,2016-07-12,,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,"Mooney, Alexander X.",Mr. MOONEY of West Virginia,Alexander X. Mooney,Mr. Alexander Mooney
CREC-2016-07-12-pt1-PgH4665-2,CREC-2016-07-12,2016-07-12,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2016-07-12-pt1-PgH4667-2,CREC-2016-07-12,2016-07-12,,7970,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,"Tsongas, Niki",Ms. TSONGAS,Niki Tsongas,
CREC-2016-07-12-pt1-PgH4668-2,CREC-2016-07-12,2016-07-12,,7929,1588,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,"Schakowsky, Janice D.",Ms. SCHAKOWSKY,Janice D. Schakowsky,Janice Schakowsky
CREC-2016-07-12-pt1-PgH4668,CREC-2016-07-12,2016-07-12,,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2016-07-12-pt1-PgH4669-2,CREC-2016-07-12,2016-07-12,,7865,1835,SPEAKING,H,114,P000593,"Perlmutter, Ed",CO,D,"Perlmutter, Ed",Mr. PERLMUTTER,Ed Perlmutter,
CREC-2016-07-12-pt1-PgH4670,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-3,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-2,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-4,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-6,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-7,CREC-2016-07-12,2016-07-12,,,2128,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2016-07-12-pt1-PgH4670-5,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4669,CREC-2016-07-12,2016-07-12,,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Mr. Ryan Costello
CREC-2016-07-12-pt1-PgH4670-9,CREC-2016-07-12,2016-07-12,,7991,1177,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,"Upton, Fred",Mr. UPTON,Fred Upton,
CREC-2016-07-12-pt1-PgH4670-8,CREC-2016-07-12,2016-07-12,,8088,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-07-12-pt1-PgH4671-2,CREC-2016-07-12,2016-07-12,,8126,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,"Fitzpatrick, Michael G.",Mr. FITZPATRICK,Michael G. Fitzpatrick,Mr. Michael Fitzpatrick
CREC-2016-07-12-pt1-PgH4671,CREC-2016-07-12,2016-07-12,,7810,1814,SPEAKING,H,114,M001163,"Matsui, Doris O.",CA,D,"Matsui, Doris O.",Ms. MATSUI,Doris O. Matsui,Ms. Doris Matsui
CREC-2016-07-12-pt1-PgH4671-3,CREC-2016-07-12,2016-07-12,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-12-pt1-PgH4671-4,CREC-2016-07-12,2016-07-12,,,2140,SPEAKING,H,114,H001067,"Hudson, Richard",NC,R,"Hudson, Richard",Mr. HUDSON,Richard Hudson,
CREC-2016-07-12-pt1-PgH4671-5,CREC-2016-07-12,2016-07-12,,7891,1976,SPEAKING,H,114,D000610,"Deutch, Theodore E.",FL,D,"Deutch, Theodore E.",Mr. DEUTCH,Theodore E. Deutch,Mr. Theodore Deutch
CREC-2016-07-12-pt1-PgH4672-2,CREC-2016-07-12,2016-07-12,,8723,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2016-07-12-pt1-PgH4672,CREC-2016-07-12,2016-07-12,,,2146,SPEAKING,H,114,L000580,"Lujan Grisham, Michelle",NM,D,"Lujan Grisham, Michelle",Ms. MICHELLE LUJAN GRISHAM of New Mexico,Michelle Lujan Grisham,
CREC-2016-07-12-pt1-PgH4671-6,CREC-2016-07-12,2016-07-12,,8786,1683,SPEAKING,H,114,F000445,"Forbes, J. Randy",VA,R,"Forbes, J. Randy",Mr. FORBES,J. Randy Forbes,
CREC-2016-07-12-pt1-PgH4672-4,CREC-2016-07-12,2016-07-12,,,2264,SPEAKING,H,114,K000386,"Katko, John",NY,R,"Katko, John",Mr. KATKO,John Katko,
CREC-2016-07-12-pt1-PgH4672-6,CREC-2016-07-12,2016-07-12,,7302,1914,SPEAKING,H,114,G000556,"Grayson, Alan",FL,D,"Grayson, Alan",Mr. GRAYSON,Alan Grayson,
CREC-2016-07-12-pt1-PgH4672-6,CREC-2016-07-12,2016-07-12,,7834,1635,SPEAKING,H,114,S001150,"Schiff, Adam B.",CA,D,"Schiff, Adam B.",Mr. SCHIFF,Adam B. Schiff,Adam Schiff
CREC-2016-07-12-pt1-PgH4672-6,CREC-2016-07-12,2016-07-12,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2016-07-12-pt1-PgH4673,CREC-2016-07-12,2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4672-3,CREC-2016-07-12,2016-07-12,,8075,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2016-07-12-pt1-PgH4673-2,CREC-2016-07-12,2016-07-12,,8177,1075,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,"Smith, Lamar",Mr. SMITH of Texas,Lamar Smith,
CREC-2016-07-12-pt1-PgH4674,CREC-2016-07-12,2016-07-12,,,2253,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-07-12-pt1-PgH4674-2,CREC-2016-07-12,2016-07-12,,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2016-07-12-pt1-PgH4674-3,CREC-2016-07-12,2016-07-12,,,2191,SPEAKING,H,114,S001195,"Smith, Jason",MO,R,"Smith, Jason",Mr. SMITH of Missouri,Jason Smith,
CREC-2016-07-12-pt1-PgH4674-4,CREC-2016-07-12,2016-07-12,,8183,2067,SPEAKING,H,114,F000460,"Farenthold, Blake",TX,R,"Farenthold, Blake",Mr. FARENTHOLD,Blake Farenthold,
CREC-2016-07-12-pt1-PgH4673-3,CREC-2016-07-12,2016-07-12,,,2165,SPEAKING,H,114,W000816,"Williams, Roger",TX,R,"Williams, Roger",Mr. WILLIAMS,Roger Williams,
CREC-2016-07-12-pt1-PgH4674-5,CREC-2016-07-12,2016-07-12,,8003,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2016-07-12-pt1-PgH4675,CREC-2016-07-12,2016-07-12,,,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,"Carter, Earl L. ""Buddy""",Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter",Mr. Earl Carter
CREC-2016-07-12-pt1-PgH4672-5,CREC-2016-07-12,2016-07-12,,7302,1914,SPEAKING,H,114,G000556,"Grayson, Alan",FL,D,"Grayson, Alan",Mr. GRAYSON,Alan Grayson,
CREC-2016-07-12-pt1-PgH4675-2,CREC-2016-07-12,2016-07-12,,,2275,SPEAKING,H,114,N000189,"Newhouse, Dan",WA,R,"Newhouse, Dan",Mr. NEWHOUSE,Dan Newhouse,
CREC-2016-07-12-pt1-PgH4675-2,CREC-2016-07-12,2016-07-12,,7302,1914,SPEAKING,H,114,G000556,"Grayson, Alan",FL,D,"Grayson, Alan",Mr. GRAYSON,Alan Grayson,
CREC-2016-07-12-pt1-PgH4676,CREC-2016-07-12,2016-07-12,,7302,1914,SPEAKING,H,114,G000556,"Grayson, Alan",FL,D,"Grayson, Alan",Mr. GRAYSON,Alan Grayson,
CREC-2016-07-12-pt1-PgH4678,CREC-2016-07-12,2016-07-12,,,2197,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,"Byrne, Bradley",Mr. BYRNE,Bradley Byrne,
CREC-2016-07-12-pt1-PgH4678,CREC-2016-07-12,2016-07-12,,7860,1910,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,"Polis, Jared",Mr. POLIS,Jared Polis,
