granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-07-15-pt1-PgS5197-2,CREC-2016-07-15,2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgS5197-3,CREC-2016-07-15,2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgE1139-2,CREC-2016-07-15,2016-07-14,,8093,1741,SPEAKING,H,114,T000463,"Turner, Michael R.",OH,R,"Turner, Michael R.",Mr. Michael Turner,Mr. TURNER,Michael R. Turner
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,2016-07-14,,,2153,SPEAKING,H,114,B001281,"Beatty, Joyce",OH,D,"Beatty, Joyce",,Mrs. BEATTY,Joyce Beatty
CREC-2016-07-15-pt1-PgS-FrontMatter-5,CREC-2016-07-15,2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgE1139-4,CREC-2016-07-15,2016-07-14,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",,Mr. THOMPSON of California,Mike Thompson
CREC-2016-07-15-pt1-PgS5197-4,CREC-2016-07-15,2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgE1139-5,CREC-2016-07-15,2016-07-14,,8068,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,"Crowley, Joseph",,Mr. CROWLEY,Joseph Crowley
CREC-2016-07-15-pt1-PgE1140,CREC-2016-07-15,2016-07-14,,7869,1913,SPEAKING,H,114,H001047,"Himes, James A.",CT,D,"Himes, James A.",Mr. James Himes,Mr. HIMES,James A. Himes
CREC-2016-07-15-pt1-PgE1140-2,CREC-2016-07-15,2016-07-14,,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,"Costello, Ryan A.",Mr. Ryan Costello,Mr. COSTELLO of Pennsylvania,Ryan A. Costello
CREC-2016-07-15-pt1-PgE1140-4,CREC-2016-07-15,2016-07-14,,8360,2089,SPEAKING,H,114,H001063,"Hahn, Janice",CA,D,"Hahn, Janice",,Ms. HAHN,Janice Hahn
CREC-2016-07-15-pt1-PgE1141,CREC-2016-07-15,2016-07-14,,8024,1761,SPEAKING,H,114,B001251,"Butterfield, G. K.",NC,D,"Butterfield, G. K.",,Mr. BUTTERFIELD,G. K. Butterfield
CREC-2016-07-15-pt1-PgE1140-3,CREC-2016-07-15,2016-07-14,,8212,1810,SPEAKING,H,114,R000578,"Reichert, David G.",WA,R,"Reichert, David G.",Mr. David Reichert,Mr. REICHERT,David G. Reichert
CREC-2016-07-15-pt1-PgE1141-4,CREC-2016-07-15,2016-07-13,,7814,1501,SPEAKING,H,114,L000551,"Lee, Barbara",CA,D,"Lee, Barbara",,Ms. LEE,Barbara Lee
CREC-2016-07-15-pt1-PgE1141-5,CREC-2016-07-15,2016-07-14,,,2273,SPEAKING,H,114,C001105,"Comstock, Barbara",VA,R,"Comstock, Barbara",,Mrs. COMSTOCK,Barbara Comstock
CREC-2016-07-15-pt1-PgE1142,CREC-2016-07-15,2016-07-14,,7943,2017,SPEAKING,H,114,R000592,"Rokita, Todd",IN,R,"Rokita, Todd",,Mr. ROKITA,Todd Rokita
CREC-2016-07-15-pt1-PgE1142-2,CREC-2016-07-15,2016-07-14,,,2107,SPEAKING,H,114,C001097,"Cardenas, Tony",CA,D,"Cardenas, Tony",,Mr. CARDENAS,Tony Cardenas
CREC-2016-07-15-pt1-PgE1142-3,CREC-2016-07-15,2016-07-14,,,2197,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,"Byrne, Bradley",,Mr. BYRNE,Bradley Byrne
CREC-2016-07-15-pt1-PgE1142-4,CREC-2016-07-15,2016-07-14,,7792,1988,SPEAKING,H,114,S001185,"Sewell, Terri A.",AL,D,"Sewell, Terri A.",Ms. Terri Sewell,Ms. SEWELL of Alabama,Terri A. Sewell
CREC-2016-07-15-pt1-PgE1143,CREC-2016-07-15,2016-07-14,,8028,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2016-07-15-pt1-PgE1141-2,CREC-2016-07-15,2016-07-14,,8057,1738,SPEAKING,H,114,P000588,"Pearce, Stevan",NM,R,"Pearce, Stevan",,Mr. PEARCE,Stevan Pearce
CREC-2016-07-15-pt1-PgE1143-3,CREC-2016-07-15,2016-07-14,,,2109,SPEAKING,H,114,R000599,"Ruiz, Raul",CA,D,"Ruiz, Raul",,Mr. RUIZ,Raul Ruiz
CREC-2016-07-15-pt1-PgE1143-4,CREC-2016-07-15,2016-07-14,,,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,"Carter, Earl L. ""Buddy""",Mr. Earl Carter,Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter"
CREC-2016-07-15-pt1-PgE1143-5,CREC-2016-07-15,2016-07-14,,,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,"Gallego, Ruben",,Mr. GALLEGO,Ruben Gallego
CREC-2016-07-15-pt1-PgE1144,CREC-2016-07-15,2016-07-14,,,2119,SPEAKING,H,114,F000462,"Frankel, Lois",FL,D,"Frankel, Lois",,Ms. FRANKEL of Florida,Lois Frankel
CREC-2016-07-15-pt1-PgE1144-2,CREC-2016-07-15,2016-07-11,,8004,1653,SPEAKING,H,114,M001143,"McCollum, Betty",MN,D,"McCollum, Betty",,Ms. McCOLLUM,Betty McCollum
CREC-2016-07-15-pt1-PgE1144-3,CREC-2016-07-15,2016-07-14,,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-07-15-pt1-PgE1144-4,CREC-2016-07-15,2016-07-14,,7911,1723,SPEAKING,H,114,B001245,"Bordallo, Madeleine Z.",GU,D,"Bordallo, Madeleine Z.",Ms. Madeleine Bordallo,Ms. BORDALLO,Madeleine Z. Bordallo
CREC-2016-07-15-pt1-PgE1143-2,CREC-2016-07-15,2016-07-14,,8178,1955,SPEAKING,H,114,O000168,"Olson, Pete",TX,R,"Olson, Pete",,Mr. OLSON,Pete Olson
CREC-2016-07-15-pt1-PgE1145-2,CREC-2016-07-15,2016-07-14,,8220,2072,SPEAKING,H,114,D000614,"Duffy, Sean P.",WI,R,"Duffy, Sean P.",Mr. Sean Duffy,Mr. DUFFY,Sean P. Duffy
CREC-2016-07-15-pt1-PgE1145-3,CREC-2016-07-15,2016-07-14,,7986,2027,SPEAKING,H,114,B001271,"Benishek, Dan",MI,R,"Benishek, Dan",,Mr. BENISHEK,Dan Benishek
CREC-2016-07-15-pt1-PgE1145-4,CREC-2016-07-15,2016-07-14,,,2295,SPEAKING,H,114,L000585,"LaHood, Darin",IL,R,"LaHood, Darin",,Mr. LaHOOD,Darin LaHood
CREC-2016-07-15-pt1-PgE1146,CREC-2016-07-15,2016-07-14,,8197,446,SPEAKING,H,114,G000289,"Goodlatte, Bob",VA,R,"Goodlatte, Bob",Robert Goodlatte,Mr. GOODLATTE,Bob Goodlatte
CREC-2016-07-15-pt1-PgE1146-2,CREC-2016-07-15,2016-07-14,,8184,1807,SPEAKING,H,114,C001063,"Cuellar, Henry",TX,D,"Cuellar, Henry",,Mr. CUELLAR,Henry Cuellar
CREC-2016-07-15-pt1-PgE1146-3,CREC-2016-07-15,2016-07-14,,7858,1641,SPEAKING,H,114,D000598,"Davis, Susan A.",CA,D,"Davis, Susan A.",Susan Davis,Mrs. DAVIS of California,Susan A. Davis
CREC-2016-07-15-pt1-PgE1146-4,CREC-2016-07-15,2016-07-14,,7943,2017,SPEAKING,H,114,R000592,"Rokita, Todd",IN,R,"Rokita, Todd",,Mr. ROKITA,Todd Rokita
CREC-2016-07-15-pt1-PgE1147,CREC-2016-07-15,2016-07-14,,,2294,SPEAKING,H,114,K000388,"Kelly, Trent",MS,R,"Kelly, Trent",,Mr. KELLY of Mississippi,Trent Kelly
CREC-2016-07-15-pt1-PgE1147-2,CREC-2016-07-15,2016-07-14,,,2251,SPEAKING,H,114,D000624,"Dingell, Debbie",MI,D,"Dingell, Debbie",,Mrs. DINGELL,Debbie Dingell
