granuleId,packageId,date,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2016-10-06-pt1-PgS6291-3,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgS6291-2,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgS-FrontMatter,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgS6291-4,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgS6291-5,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgD1005,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgD1005-2,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgD1005-3,CREC-2016-10-06,2016-10-06,,BILLS,Congressional Bills,166,114,HCONRES
CREC-2016-10-06-pt1-PgD1005-4,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgD1005-5,CREC-2016-10-06,2016-10-06,,,,,,
CREC-2016-10-06-pt1-PgD1005-6,CREC-2016-10-06,2016-10-06,,BILLS,Congressional Bills,166,114,HCONRES
