granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-02-02-pt1-PgH-FrontMatter-6,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH669-3,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH670,CREC-2015-02-02,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Mr. Alexander Mooney,Mr. MOONEY of West Virginia,Alexander X. Mooney
CREC-2015-02-02-pt1-PgH669-2,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH669-5,CREC-2015-02-02,,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,8028,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2015-02-02-pt1-PgH669,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH669-4,CREC-2015-02-02,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-02-02-pt1-PgH671,CREC-2015-02-02,,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,8158,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-02-02-pt1-PgH671-2,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH671-4,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH671-3,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH672,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH672-3,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH672-2,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH672-5,CREC-2015-02-02,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. Daniel Kildee,Mr. KILDEE,Daniel T. Kildee
CREC-2015-02-02-pt1-PgH672-4,CREC-2015-02-02,,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,8028,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2015-02-02-pt1-PgH672-6,CREC-2015-02-02,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-02-02-pt1-PgH672-7,CREC-2015-02-02,,2027,SPEAKING,H,114,B001271,"Benishek, Dan",MI,R,7986,"Benishek, Dan",,Mr. BENISHEK,Dan Benishek
CREC-2015-02-02-pt1-PgH672-8,CREC-2015-02-02,,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",,Mr. COLLINS of Georgia,Doug Collins
CREC-2015-02-02-pt1-PgH675-3,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH673,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH675-2,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH675,CREC-2015-02-02,,,,,,,,,,,,,,
CREC-2015-02-02-pt1-PgH675-4,CREC-2015-02-02,,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,,"Carter, Earl L. ""Buddy""",Mr. Earl Carter,Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter"
CREC-2015-02-02-pt1-PgH675-4,CREC-2015-02-02,,2097,SPEAKING,H,114,P000604,"Payne, Donald M., Jr.",NJ,D,8373,"Payne, Donald M., Jr.",Mr. Donald Payne Jr.,Mr. PAYNE,"Donald M. Payne, Jr."
CREC-2015-02-02-pt1-PgH675-4,CREC-2015-02-02,,1838,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,7881,"Bilirakis, Gus M.",Mr. Gus Bilirakis,Mr. BILIRAKIS,Gus M. Bilirakis
CREC-2015-02-02-pt1-PgH675-4,CREC-2015-02-02,,1804,SPEAKING,H,114,M001157,"McCaul, Michael T.",TX,R,8166,"McCaul, Michael T.",Mr. Michael Mccaul,Mr. McCAUL,Michael T. McCaul
CREC-2015-02-02-pt1-PgH675-4,CREC-2015-02-02,,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,8174,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2015-02-02-pt1-PgH677,CREC-2015-02-02,,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,,"Carter, Earl L. ""Buddy""",Mr. Earl Carter,Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter"
