granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-02-10-pt1-PgH869,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH869-3,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH869-2,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH870,CREC-2015-02-10,,7968,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,"McGovern, James P.",James Mcgovern,Mr. McGOVERN,James P. McGovern
CREC-2015-02-10-pt1-PgH869-4,CREC-2015-02-10,,7839,997,SPEAKING,H,114,R000486,"Roybal-Allard, Lucille",CA,D,"Roybal-Allard, Lucille",,Ms. ROYBAL-ALLARD,Lucille Roybal-Allard
CREC-2015-02-10-pt1-PgH-FrontMatter-4,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH869-5,CREC-2015-02-10,,8026,612,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,"Jones, Walter B., Jr.",Walter Jones Jr.,Mr. JONES,Walter B. Jones Jr.
CREC-2015-02-10-pt1-PgH870-2,CREC-2015-02-10,,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,"Abraham, Ralph Lee",Mr. Ralph Abraham,Mr. ABRAHAM,Ralph Lee Abraham
CREC-2015-02-10-pt1-PgH871-3,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH871-2,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH871,CREC-2015-02-10,,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-02-10-pt1-PgH871-5,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH871-6,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH871-4,CREC-2015-02-10,,,,,,,,,,,,,,
CREC-2015-02-10-pt1-PgH871-7,CREC-2015-02-10,,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-02-10-pt1-PgH871-8,CREC-2015-02-10,,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,"Kildee, Daniel T.",Mr. Daniel Kildee,Mr. KILDEE,Daniel T. Kildee
CREC-2015-02-10-pt1-PgH872-2,CREC-2015-02-10,,,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,"Kennedy, Joseph P., III",Joseph Kennedy III,Mr. KENNEDY,Joseph P. Kennedy III
CREC-2015-02-10-pt1-PgH872,CREC-2015-02-10,,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,"Costello, Ryan A.",Mr. Ryan Costello,Mr. COSTELLO of Pennsylvania,Ryan A. Costello
CREC-2015-02-10-pt1-PgH872-4,CREC-2015-02-10,,8139,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,"Cicilline, David N.",Mr. David Cicilline,Mr. CICILLINE,David N. Cicilline
CREC-2015-02-10-pt1-PgH872-3,CREC-2015-02-10,,8028,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
