granuleId,packageId,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2015-02-17-pt1-PgH1073-5,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-3,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-7,CREC-2015-02-17,,BILLS,Congressional Bills,1012,114,HR
CREC-2015-02-17-pt1-PgH1073-2,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-8,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-6,CREC-2015-02-17,,BILLS,Congressional Bills,100,114,HRES
CREC-2015-02-17-pt1-PgH1073-6,CREC-2015-02-17,,BILLS,Congressional Bills,100,114,HRES
CREC-2015-02-17-pt1-PgH1073-4,CREC-2015-02-17,,BILLS,Congressional Bills,100,114,HRES
CREC-2015-02-17-pt1-PgH1073-4,CREC-2015-02-17,,BILLS,Congressional Bills,100,114,HRES
CREC-2015-02-17-pt1-PgE223-2,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgE223-3,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-9,CREC-2015-02-17,,BILLS,Congressional Bills,1012,114,HR
CREC-2015-02-17-pt1-PgD151,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,136,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,213,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,223,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,248,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,281,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,402,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,415,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,420,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,426,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,453,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,577,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,624,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,676,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,699,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,734,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,746,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,775,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,863,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,882,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,900,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,928,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,963,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,976,114,HR
CREC-2015-02-17-pt1-PgH1073-10,CREC-2015-02-17,,BILLS,Congressional Bills,1000,114,HR
CREC-2015-02-17-pt1-PgE223-4,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgD151-2,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgD151-3,CREC-2015-02-17,,BILLS,Congressional Bills,1012,114,HR
CREC-2015-02-17-pt1-PgD151-6,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgD151-5,CREC-2015-02-17,,,,,,
CREC-2015-02-17-pt1-PgD151-4,CREC-2015-02-17,,,,,,
