granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-02-24-pt1-PgH1087-2,CREC-2015-02-24,,,,,,,,,,,,
CREC-2015-02-24-pt1-PgH1089,CREC-2015-02-24,,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,"Jolly, David W.",David Jolly,Mr. JOLLY,David W. Jolly
CREC-2015-02-24-pt1-PgH1087-3,CREC-2015-02-24,,,,,,,,,,,,
CREC-2015-02-24-pt1-PgH1087-4,CREC-2015-02-24,,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2015-02-24-pt1-PgH-FrontMatter-4,CREC-2015-02-24,,,,,,,,,,,,
CREC-2015-02-24-pt1-PgH1087,CREC-2015-02-24,,,,,,,,,,,,
CREC-2015-02-24-pt1-PgH1088-2,CREC-2015-02-24,,SPEAKING,H,114,H000874,"Hoyer, Steny H.",MD,D,"Hoyer, Steny H.",Steny Hoyer,Mr. HOYER,Steny H. Hoyer
CREC-2015-02-24-pt1-PgH1088,CREC-2015-02-24,,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-02-24-pt1-PgH1089-2,CREC-2015-02-24,,SPEAKING,H,114,R000486,"Roybal-Allard, Lucille",CA,D,"Roybal-Allard, Lucille",,Ms. ROYBAL-ALLARD,Lucille Roybal-Allard
CREC-2015-02-24-pt1-PgH1090-2,CREC-2015-02-24,,SPEAKING,H,114,T000473,"Takai, Mark",HI,D,"Takai, Mark",,Mr. TAKAI,Mark Takai
CREC-2015-02-24-pt1-PgH1090,CREC-2015-02-24,,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2015-02-24-pt1-PgH1091,CREC-2015-02-24,,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,"Denham, Jeff",,Mr. DENHAM,Jeff Denham
CREC-2015-02-24-pt1-PgH1091-2,CREC-2015-02-24,,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,"Beyer, Donald S.",Donald Beyer,Mr. BEYER,"Donald S. Beyer, Jr."
CREC-2015-02-24-pt1-PgH1091-2,CREC-2015-02-24,,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,"Beyer, Donald S.",Donald S. Beyer,Mr. BEYER,"Donald S. Beyer, Jr."
CREC-2015-02-24-pt1-PgH1091-3,CREC-2015-02-24,,SPEAKING,H,114,W000819,"Walker, Mark",NC,R,"Walker, Mark",,Mr. WALKER,Mark Walker
CREC-2015-02-24-pt1-PgH1092,CREC-2015-02-24,,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-02-24-pt1-PgH1091-4,CREC-2015-02-24,,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,"Stefanik, Elise M.",Elise Stefanik,Ms. STEFANIK,Elise M. Stefanik
CREC-2015-02-24-pt1-PgH1092-2,CREC-2015-02-24,,,,,,,,,,,,
CREC-2015-02-24-pt1-PgH1092-3,CREC-2015-02-24,,,,,,,,,,,,
