granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-03-12-pt1-PgS1451-3,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1451-2,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1451,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1451-4,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1452,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1452-2,CREC-2015-03-12,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-12-pt1-PgS1451-5,CREC-2015-03-12,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-03-12-pt1-PgS1452-3,CREC-2015-03-12,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-12-pt1-PgS1452-4,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1452-5,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1452-7,CREC-2015-03-12,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",,Mr. ROBERTS,Pat Roberts
CREC-2015-03-12-pt1-PgS1452-7,CREC-2015-03-12,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-03-12-pt1-PgS1453,CREC-2015-03-12,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-03-12-pt1-PgS1452-6,CREC-2015-03-12,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-12-pt1-PgS1452-6,CREC-2015-03-12,,SPEAKING,S,114,R000307,"Roberts, Pat",KS,R,"Roberts, Pat",,Mr. ROBERTS,Pat Roberts
CREC-2015-03-12-pt1-PgS1456,CREC-2015-03-12,,SPEAKING,S,114,H001069,"Heitkamp, Heidi",ND,D,"Heitkamp, Heidi",Heidi Heitkamp,Ms. HEITKAMP,Heidi Heitkamp
CREC-2015-03-12-pt1-PgS1456,CREC-2015-03-12,,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,"Leahy, Patrick J.",Patrick Leahy,Mr. LEAHY,Patrick J. Leahy
CREC-2015-03-12-pt1-PgS1456-2,CREC-2015-03-12,,,,,,,,,,,,
CREC-2015-03-12-pt1-PgS1454,CREC-2015-03-12,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-03-12-pt1-PgS1454,CREC-2015-03-12,,SPEAKING,S,114,H001069,"Heitkamp, Heidi",ND,D,"Heitkamp, Heidi",Heidi Heitkamp,Ms. HEITKAMP,Heidi Heitkamp
CREC-2015-03-12-pt1-PgS1474-2,CREC-2015-03-12,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
