granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-05-08-pt1-PgH2801-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-3,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-8,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-7,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-4,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-5,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2801-6,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2802,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2802-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2802-3,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2802-4,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819-3,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819-4,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819-5,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2820,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821-4,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821-3,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821-5,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgH2821-6,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgE663-2,CREC-2015-05-08,,7931,2014,SPEAKING,H,114,K000378,"Kinzinger, Adam",IL,R,"Kinzinger, Adam",Mr. KINZINGER of Illinois,Adam Kinzinger,
CREC-2015-05-08-pt1-PgE663-3,CREC-2015-05-08,,7926,1848,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,"Roskam, Peter J.",Mr. ROSKAM,Peter J. Roskam,Mr. Peter Roskam
CREC-2015-05-08-pt1-PgE664,CREC-2015-05-08,,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,"Van Hollen, Chris",Mr. VAN HOLLEN,Chris Van Hollen,
CREC-2015-05-08-pt1-PgE663-5,CREC-2015-05-08,,,2261,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,"Zeldin, Lee M.",Mr. ZELDIN,Lee M. Zeldin,Mr. Lee Zeldin
CREC-2015-05-08-pt1-PgE663-6,CREC-2015-05-08,,8044,699,SPEAKING,H,114,L000554,"LoBiondo, Frank A.",NJ,R,"LoBiondo, Frank A.",Mr. LoBIONDO,Frank A. LoBiondo,Frank Lobiondo
CREC-2015-05-08-pt1-PgE663-4,CREC-2015-05-08,,7949,2020,SPEAKING,H,114,H001057,"Huelskamp, Tim",KS,R,"Huelskamp, Tim",Mr. HUELSKAMP,Tim Huelskamp,
CREC-2015-05-08-pt1-PgE664-2,CREC-2015-05-08,,7926,1848,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,"Roskam, Peter J.",Mr. ROSKAM,Peter J. Roskam,Mr. Peter Roskam
CREC-2015-05-08-pt1-PgE664-3,CREC-2015-05-08,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-05-08-pt1-PgE665-2,CREC-2015-05-08,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2015-05-08-pt1-PgE665,CREC-2015-05-08,,8090,1982,SPEAKING,H,114,R000585,"Reed, Tom",NY,R,"Reed, Tom",Mr. REED,Tom Reed,
CREC-2015-05-08-pt1-PgE666,CREC-2015-05-08,,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,"Van Hollen, Chris",Mr. VAN HOLLEN,Chris Van Hollen,
CREC-2015-05-08-pt1-PgE666-2,CREC-2015-05-08,,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2015-05-08-pt1-PgE665-3,CREC-2015-05-08,,,2119,SPEAKING,H,114,F000462,"Frankel, Lois",FL,D,"Frankel, Lois",Ms. FRANKEL of Florida,Lois Frankel,
CREC-2015-05-08-pt1-PgE665-4,CREC-2015-05-08,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-05-08-pt1-PgE666-3,CREC-2015-05-08,,8188,1525,SPEAKING,H,114,S000250,"Sessions, Pete",TX,R,"Sessions, Pete",Mr. SESSIONS,Pete Sessions,
CREC-2015-05-08-pt1-PgD510-2,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgE666-4,CREC-2015-05-08,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-05-08-pt1-PgD510,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgD511,CREC-2015-05-08,,,,,,,,,,,,,,
CREC-2015-05-08-pt1-PgD511-2,CREC-2015-05-08,,,,,,,,,,,,,,
