granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-05-15-pt1-PgH3217-6,CREC-2015-05-15,7930,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Mr. Robert Dold,Mr. DOLD,Robert J. Dold
CREC-2015-05-15-pt1-PgH3217-5,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3217-3,CREC-2015-05-15,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2015-05-15-pt1-PgH3218-2,CREC-2015-05-15,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",,Ms. WILSON of South Carolina,Joe Wilson
CREC-2015-05-15-pt1-PgH3217,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3218,CREC-2015-05-15,,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,,"Kennedy, Joseph P., III",Joseph Kennedy III,Mr. KENNEDY,Joseph P. Kennedy III
CREC-2015-05-15-pt1-PgH3217-4,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3217-2,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3218-3,CREC-2015-05-15,,2201,SPEAKING,H,114,A000370,"Adams, Alma S.",NC,D,,"Adams, Alma S.",Ms. Alma Adams,Ms. ADAMS,Alma S. Adams
CREC-2015-05-15-pt1-PgH3236-3,CREC-2015-05-15,7899,91,SPEAKING,H,114,B000490,"Bishop, Sanford D., Jr.",GA,D,,"Bishop, Sanford D., Jr.",Sanford Bishop,Mr. BISHOP of Georgia,"Sanford D. Bishop, Jr."
CREC-2015-05-15-pt1-PgH3218-4,CREC-2015-05-15,7905,2009,SPEAKING,H,114,S001189,"Scott, Austin",GA,R,,"Scott, Austin",,Mr. AUSTIN SCOTT of Georgia,Austin Scott
CREC-2015-05-15-pt1-PgH3218-6,CREC-2015-05-15,7942,1981,SPEAKING,H,114,S001188,"Stutzman, Marlin A.",IN,R,,"Stutzman, Marlin A.",Mr. Marlin Stutzman,Ms. STUTZMAN,Marlin A. Stutzman
CREC-2015-05-15-pt1-PgH3218-5,CREC-2015-05-15,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",,Mr. LaMALFA,Doug LaMalfa
CREC-2015-05-15-pt1-PgH3236-2,CREC-2015-05-15,8755,1155,SPEAKING,H,114,T000238,"Thornberry, Mac",TX,R,,"Thornberry, Mac",William Thornberry,Mr. THORNBERRY,Mac Thornberry
CREC-2015-05-15-pt1-PgH3236,CREC-2015-05-15,,,,,,,,,,,,,,
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8755,1155,SPEAKING,H,114,T000238,"Thornberry, Mac",TX,R,,"Thornberry, Mac",William Thornberry,Mr. THORNBERRY,Mac Thornberry
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7992,1855,SPEAKING,H,114,W000798,"Walberg, Tim",MI,R,,"Walberg, Tim",,Mr. WALBERG,Tim Walberg
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8206,1675,SPEAKING,H,114,L000560,"Larsen, Rick",WA,D,,"Larsen, Rick",,Mr. LARSEN of Washington,Rick Larsen
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,867,SPEAKING,H,114,N000127,"Nolan, Richard M.",MN,D,,"Nolan, Richard M.",Richard Nolan,Mr. NOLAN,Richard M. Nolan
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8158,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2251,SPEAKING,H,114,D000624,"Dingell, Debbie",MI,D,,"Dingell, Debbie",,Mrs. DINGELL,Debbie Dingell
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2255,SPEAKING,H,114,W000819,"Walker, Mark",NC,R,,"Walker, Mark",,Mr. WALKER,Mark Walker
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8068,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,,"Crowley, Joseph",,Mr. CROWLEY,Joseph Crowley
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,8708,2051,SPEAKING,H,114,K000376,"Kelly, Mike",PA,R,,"Kelly, Mike",,Mr. KELLY of Pennsylvania,Mike Kelly
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7883,1839,SPEAKING,H,114,C001066,"Castor, Kathy",FL,D,,"Castor, Kathy",,Ms. CASTOR of Florida,Kathy Castor
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,,2143,SPEAKING,H,114,H001065,"Holding, George",NC,R,,"Holding, George",,Mr. HOLDING,George Holding
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7863,1834,SPEAKING,H,114,L000564,"Lamborn, Doug",CO,R,,"Lamborn, Doug",,Mr. LAMBORN,Doug Lamborn
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7355,1888,SPEAKING,H,114,F000454,"Foster, Bill",IL,D,,"Foster, Bill",,Mr. FOSTER,Bill Foster
CREC-2015-05-15-pt1-PgH3219,CREC-2015-05-15,7845,998,SPEAKING,H,114,R000487,"Royce, Edward R.",CA,R,,"Royce, Edward R.",Ed Royce,Mr. ROYCE,Edward R. Royce
