granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-05-20-pt1-PgH3393-4,CREC-2015-05-20,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,,"Gutierrez, Luis V.",Luis Gutierrez,Mr. GUTIERREZ,Luis V. Gutierrez
CREC-2015-05-20-pt1-PgH3393-3,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3394-2,CREC-2015-05-20,SPEAKING,H,114,S001150,"Schiff, Adam B.",CA,D,,"Schiff, Adam B.",Adam Schiff,Mr. SCHIFF,Adam B. Schiff
CREC-2015-05-20-pt1-PgH3393-2,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3393,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3394,CREC-2015-05-20,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-05-20-pt1-PgH3396,CREC-2015-05-20,SPEAKING,H,114,L000567,"Lance, Leonard",NJ,R,,"Lance, Leonard",,Mr. LANCE,Leonard Lance
CREC-2015-05-20-pt1-PgH-FrontMatter-2,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3397,CREC-2015-05-20,SPEAKING,H,114,K000378,"Kinzinger, Adam",IL,R,,"Kinzinger, Adam",,Mr. KINZINGER of Illinois,Adam Kinzinger
CREC-2015-05-20-pt1-PgH3396-2,CREC-2015-05-20,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2015-05-20-pt1-PgH3398-3,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3398,CREC-2015-05-20,SPEAKING,H,114,G000553,"Green, Al",TX,D,,"Green, Al",,Mr. AL GREEN of Texas,Al Green
CREC-2015-05-20-pt1-PgH3397-2,CREC-2015-05-20,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,"Hill, J. French",J. Hill,Mr. HILL,J. French Hill
CREC-2015-05-20-pt1-PgH3398-4,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3398-2,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3398-5,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3398-6,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3398-7,CREC-2015-05-20,SPEAKING,H,114,G000558,"Guthrie, Brett",KY,R,,"Guthrie, Brett",,Mr. GUTHRIE,Brett Guthrie
CREC-2015-05-20-pt1-PgH3398-8,CREC-2015-05-20,,,,,,,,,,,,
CREC-2015-05-20-pt1-PgH3399-3,CREC-2015-05-20,SPEAKING,H,114,G000564,"Gibson, Christopher P.",NY,R,,"Gibson, Christopher P.",Christopher Gibson,Mr. GIBSON,Christopher P. Gibson
CREC-2015-05-20-pt1-PgH3399-2,CREC-2015-05-20,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,,"Cicilline, David N.",David Cicilline,Mr. CICILLINE,David N. Cicilline
CREC-2015-05-20-pt1-PgH3399-4,CREC-2015-05-20,SPEAKING,H,114,W000808,"Wilson, Frederica S.",FL,D,,"Wilson, Frederica S.",Frederica Wilson,Ms. WILSON of Florida,Frederica S. Wilson
