granuleId,packageId,congress,title,parsed_text,text_readability,text_bs4,__source_file,parsed_text_len,text_readability_len,text_bs4_len,search_text,search_text_len
CREC-2015-05-29-pt1-PgH3579-4,CREC-2015-05-29,114,THE JOURNAL,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. Pursuant to section 5(a) of House Resolution 273, the Journal of the last day's proceedings is approved. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. Pursuant to section 5(a) of House Resolution 273, the Journal of the last day's proceedings is approved. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] THE JOURNAL The SPEAKER pro tempore. Pursuant to section 5(a) of House Resolution 273, the Journal of the last day's proceedings is approved. ____________________",package_114_272.csv,345,345,410,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] the journal the speaker pro tempore. pursuant to section 5(a) of house resolution 273, the journal of the last day's proceedings is approved. ____________________",345
CREC-2015-05-29-pt1-PgH3579-2,CREC-2015-05-29,114,DESIGNATION OF THE SPEAKER PRO TEMPORE,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, May 29, 2015. I hereby appoint the Honorable Luke Messer to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, May 29, 2015. I hereby appoint the Honorable Luke Messer to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] DESIGNATION OF THE SPEAKER PRO TEMPORE The SPEAKER pro tempore laid before the House the following communication from the Speaker: Washington, DC, May 29, 2015. I hereby appoint the Honorable Luke Messer to act as Speaker pro tempore on this day. John A. Boehner, Speaker of the House of Representatives. ____________________",package_114_272.csv,508,508,573,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] designation of the speaker pro tempore the speaker pro tempore laid before the house the following communication from the speaker: washington, dc, may 29, 2015. i hereby appoint the honorable luke messer to act as speaker pro tempore on this day. john a. boehner, speaker of the house of representatives. ____________________",508
CREC-2015-05-29-pt1-PgH3579-6,CREC-2015-05-29,114,ADJOURNMENT,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT The SPEAKER pro tempore. Pursuant to section 5(b) of House Resolution 273, the House stands adjourned until noon, Monday, June 1, 2015, for morning-hour debate and 2 p.m. for legislative business. Thereupon (at 10 o'clock and 3 minutes a.m.), under its previous order, the House adjourned until Monday, June 1, 2015, at noon for morning-hour debate. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT The SPEAKER pro tempore. Pursuant to section 5(b) of House Resolution 273, the House stands adjourned until noon, Monday, June 1, 2015, for morning-hour debate and 2 p.m. for legislative business. Thereupon (at 10 o'clock and 3 minutes a.m.), under its previous order, the House adjourned until Monday, June 1, 2015, at noon for morning-hour debate. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT The SPEAKER pro tempore. Pursuant to section 5(b) of House Resolution 273, the House stands adjourned until noon, Monday, June 1, 2015, for morning-hour debate and 2 p.m. for legislative business. Thereupon (at 10 o'clock and 3 minutes a.m.), under its previous order, the House adjourned until Monday, June 1, 2015, at noon for morning-hour debate. ____________________",package_114_272.csv,565,565,630,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] adjournment the speaker pro tempore. pursuant to section 5(b) of house resolution 273, the house stands adjourned until noon, monday, june 1, 2015, for morning-hour debate and 2 p.m. for legislative business. thereupon (at 10 o'clock and 3 minutes a.m.), under its previous order, the house adjourned until monday, june 1, 2015, at noon for morning-hour debate. ____________________",565
CREC-2015-05-29-pt1-PgH3579-5,CREC-2015-05-29,114,PLEDGE OF ALLEGIANCE,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. Will the gentleman from Kentucky (Mr. Massie) come forward and lead the House in the Pledge of Allegiance. Mr. MASSIE led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. Will the gentleman from Kentucky (Mr. Massie) come forward and lead the House in the Pledge of Allegiance. Mr. MASSIE led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PLEDGE OF ALLEGIANCE The SPEAKER pro tempore. Will the gentleman from Kentucky (Mr. Massie) come forward and lead the House in the Pledge of Allegiance. Mr. MASSIE led the Pledge of Allegiance as follows: I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one nation under God, indivisible, with liberty and justice for all. ____________________",package_114_272.csv,583,583,648,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] pledge of allegiance the speaker pro tempore. will the gentleman from kentucky (mr. massie) come forward and lead the house in the pledge of allegiance. mr. massie led the pledge of allegiance as follows: i pledge allegiance to the flag of the united states of america, and to the republic for which it stands, one nation under god, indivisible, with liberty and justice for all. ____________________",583
CREC-2015-05-29-pt1-PgH3581,CREC-2015-05-29,114,REPORTS OF COMMITTEES ON PUBLIC BILLS AND RESOLUTIONS,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3581] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] REPORTS OF COMMITTEES ON PUBLIC BILLS AND RESOLUTIONS Under clause 2 of rule XIII, reports of committees were delivered to the Clerk for printing and reference to the proper calendar, as follows: [Pursuant to Sec. 4 of H. Res. 273, the following reports were filed on May 27, 2015] Mr. DIAZ-BALART: Committee on Appropriations. H.R. 2577. A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-129). Referred to the Committee of the Whole House on the state of the Union. Mr. CULBERSON: Committee on Appropriations. H.R. 2578. A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-130). Referred to the Committee of the Whole House on the state of the Union. [Submitted May 29, 2015] Mr. CONAWAY: Committee on Agriculture. H.R. 2393. A bill to amend the Agricultural Marketing Act of 1946 to repeal country of origin labeling requirements with respect to beef, pork, and chicken, and for other purposes; with an amendment (Rept. 114-131). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2051. A bill to amend the Agriculture Marketing Act of 1946 to extend the livestock mandatory price reporting requirements, and for other purposes; with an amendment (Rept. 114-132). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2088. A bill to amend the United States Grain Standards Act to improve inspection services performed at export elevators at export port locations, to reauthorize certain authorities of the Secretary of Agriculture under such Act, and for other purposes (Rept. 114-133). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2289. A bill to reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes; with an amendment (Rept. 114-134). Referred to the Committee of the Whole House on the state of the Union. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3581] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] REPORTS OF COMMITTEES ON PUBLIC BILLS AND RESOLUTIONS Under clause 2 of rule XIII, reports of committees were delivered to the Clerk for printing and reference to the proper calendar, as follows: [Pursuant to Sec. 4 of H. Res. 273, the following reports were filed on May 27, 2015] Mr. DIAZ-BALART: Committee on Appropriations. H.R. 2577. A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-129). Referred to the Committee of the Whole House on the state of the Union. Mr. CULBERSON: Committee on Appropriations. H.R. 2578. A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-130). Referred to the Committee of the Whole House on the state of the Union. [Submitted May 29, 2015] Mr. CONAWAY: Committee on Agriculture. H.R. 2393. A bill to amend the Agricultural Marketing Act of 1946 to repeal country of origin labeling requirements with respect to beef, pork, and chicken, and for other purposes; with an amendment (Rept. 114-131). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2051. A bill to amend the Agriculture Marketing Act of 1946 to extend the livestock mandatory price reporting requirements, and for other purposes; with an amendment (Rept. 114-132). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2088. A bill to amend the United States Grain Standards Act to improve inspection services performed at export elevators at export port locations, to reauthorize certain authorities of the Secretary of Agriculture under such Act, and for other purposes (Rept. 114-133). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2289. A bill to reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes; with an amendment (Rept. 114-134). Referred to the Committee of the Whole House on the state of the Union. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3581] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] REPORTS OF COMMITTEES ON PUBLIC BILLS AND RESOLUTIONS Under clause 2 of rule XIII, reports of committees were delivered to the Clerk for printing and reference to the proper calendar, as follows: [Pursuant to Sec. 4 of H. Res. 273, the following reports were filed on May 27, 2015] Mr. DIAZ-BALART: Committee on Appropriations. H.R. 2577. A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-129). Referred to the Committee of the Whole House on the state of the Union. Mr. CULBERSON: Committee on Appropriations. H.R. 2578. A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes (Rept. 114-130). Referred to the Committee of the Whole House on the state of the Union. [Submitted May 29, 2015] Mr. CONAWAY: Committee on Agriculture. H.R. 2393. A bill to amend the Agricultural Marketing Act of 1946 to repeal country of origin labeling requirements with respect to beef, pork, and chicken, and for other purposes; with an amendment (Rept. 114-131). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2051. A bill to amend the Agriculture Marketing Act of 1946 to extend the livestock mandatory price reporting requirements, and for other purposes; with an amendment (Rept. 114-132). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2088. A bill to amend the United States Grain Standards Act to improve inspection services performed at export elevators at export port locations, to reauthorize certain authorities of the Secretary of Agriculture under such Act, and for other purposes (Rept. 114-133). Referred to the Committee of the Whole House on the state of the Union. Mr. CONAWAY: Committee on Agriculture. H.R. 2289. A bill to reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes; with an amendment (Rept. 114-134). Referred to the Committee of the Whole House on the state of the Union. ____________________",package_114_272.csv,2677,2677,2742,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3581] from the congressional record online through the government publishing office [ www.gpo.gov ] reports of committees on public bills and resolutions under clause 2 of rule xiii, reports of committees were delivered to the clerk for printing and reference to the proper calendar, as follows: [pursuant to sec. 4 of h. res. 273, the following reports were filed on may 27, 2015] mr. diaz-balart: committee on appropriations. h.r. 2577. a bill making appropriations for the departments of transportation, and housing and urban development, and related agencies for the fiscal year ending september 30, 2016, and for other purposes (rept. 114-129). referred to the committee of the whole house on the state of the union. mr. culberson: committee on appropriations. h.r. 2578. a bill making appropriations for the departments of commerce and justice, science, and related agencies for the fiscal year ending september 30, 2016, and for other purposes (rept. 114-130). referred to the committee of the whole house on the state of the union. [submitted may 29, 2015] mr. conaway: committee on agriculture. h.r. 2393. a bill to amend the agricultural marketing act of 1946 to repeal country of origin labeling requirements with respect to beef, pork, and chicken, and for other purposes; with an amendment (rept. 114-131). referred to the committee of the whole house on the state of the union. mr. conaway: committee on agriculture. h.r. 2051. a bill to amend the agriculture marketing act of 1946 to extend the livestock mandatory price reporting requirements, and for other purposes; with an amendment (rept. 114-132). referred to the committee of the whole house on the state of the union. mr. conaway: committee on agriculture. h.r. 2088. a bill to amend the united states grain standards act to improve inspection services performed at export elevators at export port locations, to reauthorize certain authorities of the secretary of agriculture under such act, and for other purposes (rept. 114-133). referred to the committee of the whole house on the state of the union. mr. conaway: committee on agriculture. h.r. 2289. a bill to reauthorize the commodity futures trading commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes; with an amendment (rept. 114-134). referred to the committee of the whole house on the state of the union. ____________________",2677
CREC-2015-05-29-pt1-PgH3579,CREC-2015-05-29,114,Senate,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H3579]] ----------------------------------------------------------------------- Senate The Senate was not in session today. Its next meeting will be held on Sunday, May 31, 2015, at 4 p.m. ----------------------------------------------------------------------- House of Representatives Friday, May 29, 2015 The House met at 10 a.m. and was called to order by the Speaker pro tempore (Mr. Messer). ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H3579]] ----------------------------------------------------------------------- Senate The Senate was not in session today. Its next meeting will be held on Sunday, May 31, 2015, at 4 p.m. ----------------------------------------------------------------------- House of Representatives Friday, May 29, 2015 The House met at 10 a.m. and was called to order by the Speaker pro tempore (Mr. Messer). ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] [[Page H3579]] ----------------------------------------------------------------------- Senate The Senate was not in session today. Its next meeting will be held on Sunday, May 31, 2015, at 4 p.m. ----------------------------------------------------------------------- House of Representatives Friday, May 29, 2015 The House met at 10 a.m. and was called to order by the Speaker pro tempore (Mr. Messer). ____________________",package_114_272.csv,607,607,672,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] [[page h3579]] ----------------------------------------------------------------------- senate the senate was not in session today. its next meeting will be held on sunday, may 31, 2015, at 4 p.m. ----------------------------------------------------------------------- house of representatives friday, may 29, 2015 the house met at 10 a.m. and was called to order by the speaker pro tempore (mr. messer). ____________________",607
CREC-2015-05-29-pt1-PgH3579-3,CREC-2015-05-29,114,PRAYER,"[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER The Chaplain, the Reverend Patrick J. Conroy, offered the following prayer: Eternal God, we give You thanks for giving us another day. We ask Your blessing upon the men and women of this, the people's House, during their time away from the Capitol. Keep them aware of Your presence as they face the tasks of this day, that no burden be too heavy, no duty too difficult, and no work too wearisome. Make this a glorious day in which all are glad to be alive, eager to work, and ready to serve You, our great Nation, and all our fellow brothers and sisters. May all that is done this day be done for Your greater honor and glory. Amen. ____________________","[Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER The Chaplain, the Reverend Patrick J. Conroy, offered the following prayer: Eternal God, we give You thanks for giving us another day. We ask Your blessing upon the men and women of this, the people's House, during their time away from the Capitol. Keep them aware of Your presence as they face the tasks of this day, that no burden be too heavy, no duty too difficult, and no work too wearisome. Make this a glorious day in which all are glad to be alive, eager to work, and ready to serve You, our great Nation, and all our fellow brothers and sisters. May all that is done this day be done for Your greater honor and glory. Amen. ____________________","Congressional Record, Volume 161 Issue 84 (Friday, May 29, 2015) [Congressional Record Volume 161, Number 84 (Friday, May 29, 2015)] [House] [Page H3579] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRAYER The Chaplain, the Reverend Patrick J. Conroy, offered the following prayer: Eternal God, we give You thanks for giving us another day. We ask Your blessing upon the men and women of this, the people's House, during their time away from the Capitol. Keep them aware of Your presence as they face the tasks of this day, that no burden be too heavy, no duty too difficult, and no work too wearisome. Make this a glorious day in which all are glad to be alive, eager to work, and ready to serve You, our great Nation, and all our fellow brothers and sisters. May all that is done this day be done for Your greater honor and glory. Amen. ____________________",package_114_272.csv,843,843,908,"[congressional record volume 161, number 84 (friday, may 29, 2015)] [house] [page h3579] from the congressional record online through the government publishing office [ www.gpo.gov ] prayer the chaplain, the reverend patrick j. conroy, offered the following prayer: eternal god, we give you thanks for giving us another day. we ask your blessing upon the men and women of this, the people's house, during their time away from the capitol. keep them aware of your presence as they face the tasks of this day, that no burden be too heavy, no duty too difficult, and no work too wearisome. make this a glorious day in which all are glad to be alive, eager to work, and ready to serve you, our great nation, and all our fellow brothers and sisters. may all that is done this day be done for your greater honor and glory. amen. ____________________",843
