granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-06-23-pt1-PgH4548-3,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH-FrontMatter-6,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4547-3,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4548-2,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4547-2,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4547,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4548,CREC-2015-06-23,,2110,SPEAKING,H,114,T000472,"Takano, Mark",CA,D,,"Takano, Mark",Mr. TAKANO,Mark Takano,
CREC-2015-06-23-pt1-PgH4547-4,CREC-2015-06-23,,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,7968,"McGovern, James P.",Mr. McGOVERN,James P. McGovern,James Mcgovern
CREC-2015-06-23-pt1-PgH4548-4,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4548-6,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4548-8,CREC-2015-06-23,,2272,SPEAKING,H,114,B001292,"Beyer, Donald S., Jr.",VA,D,,"Beyer, Donald S., Jr.",Mr. BEYER,"Donald S. Beyer, Jr.",Mr. Donald Beyer
CREC-2015-06-23-pt1-PgH4549,CREC-2015-06-23,,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,8153,"Black, Diane",Mrs. BLACK,Diane Black,
CREC-2015-06-23-pt1-PgH4548-5,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4548-7,CREC-2015-06-23,,2253,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2015-06-23-pt1-PgH4549-2,CREC-2015-06-23,,2111,SPEAKING,H,114,L000579,"Lowenthal, Alan S.",CA,D,,"Lowenthal, Alan S.",Mr. LOWENTHAL,Alan S. Lowenthal,Mr. Alan Lowenthal
CREC-2015-06-23-pt1-PgH4549-3,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4549-4,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4549-5,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4549-6,CREC-2015-06-23,,2240,SPEAKING,H,114,T000473,"Takai, Mark",HI,D,,"Takai, Mark",Mr. TAKAI,Mark Takai,
CREC-2015-06-23-pt1-PgH4549-9,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4549-8,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4549-7,CREC-2015-06-23,,,,,,,,,,,,,,
CREC-2015-06-23-pt1-PgH4550,CREC-2015-06-23,,1527,SPEAKING,H,114,S000364,"Shimkus, John",IL,R,7939,"Shimkus, John",Mr. SHIMKUS,John Shimkus,John M. Shimkus
CREC-2015-06-23-pt1-PgH4550,CREC-2015-06-23,,887,SPEAKING,H,114,P000034,"Pallone, Frank, Jr.",NJ,D,8048,"Pallone, Frank, Jr.",Mr. PALLONE,"Frank Pallone, Jr.",Frank Pallone
CREC-2015-06-23-pt1-PgH4550,CREC-2015-06-23,,355,SPEAKING,H,114,E000215,"Eshoo, Anna G.",CA,D,7819,"Eshoo, Anna G.",Ms. ESHOO,Anna G. Eshoo,Anna Eshoo
CREC-2015-06-23-pt1-PgH4550,CREC-2015-06-23,,1177,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,7991,"Upton, Fred",Mr. UPTON,Fred Upton,
CREC-2015-06-23-pt1-PgH4551,CREC-2015-06-23,,1527,SPEAKING,H,114,S000364,"Shimkus, John",IL,R,7939,"Shimkus, John",Mr. SHIMKUS,John Shimkus,John M. Shimkus
