granuleId,packageId,committees,authorityId,chamber,committeeName,type
CREC-2015-10-08-pt1-PgH6895-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6895,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6895-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6897,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6895-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH-FrontMatter,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6896,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6895-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6898-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6898,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6897-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6898-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6899,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6900,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6899-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6900-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6900-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6900-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-6,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-7,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-8,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-9,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6901-10,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6920,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6920-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsru00,H,Committee on Rules,S
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsii00,H,Committee on Natural Resources,S
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-10-08-pt1-PgH6902-6,CREC-2015-10-08,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-10-08-pt1-PgH6911,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6920-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-6,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6921-7,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6931,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6925,CREC-2015-10-08,,hsru00,H,Committee on Rules,S
CREC-2015-10-08-pt1-PgH6925,CREC-2015-10-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-10-08-pt1-PgH6932,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6932-2,CREC-2015-10-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-10-08-pt1-PgH6932-2,CREC-2015-10-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-10-08-pt1-PgH6932-2,CREC-2015-10-08,,hsha00,H,Committee on House Administration,S
CREC-2015-10-08-pt1-PgH6932-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6932-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6932-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hsag00,H,Committee on Agriculture,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hsba00,H,Committee on Financial Services,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hsed00,H,Committee on Education and the Workforce,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hssm00,H,Committee on Small Business,S
CREC-2015-10-08-pt1-PgH6933-2,CREC-2015-10-08,,hswm00,H,Committee on Ways and Means,S
CREC-2015-10-08-pt1-PgH6936,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsbu00,H,Committee on the Budget,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsru00,H,Committee on Rules,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsag00,H,Committee on Agriculture,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsii00,H,Committee on Natural Resources,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hswm00,H,Committee on Ways and Means,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hssm00,H,Committee on Small Business,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsed00,H,Committee on Education and the Workforce,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsba00,H,Committee on Financial Services,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hsgo00,H,Committee on Oversight and Government Reform,S
CREC-2015-10-08-pt1-PgH6935,CREC-2015-10-08,,hssy00,H,"Committee on Science, Space, and Technology",S
CREC-2015-10-08-pt1-PgH6936-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-7,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-6,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-8,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-9,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-10,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-11,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6936-12,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-6,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-7,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-9,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-8,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-10,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-11,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-12,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-13,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgH6937-14,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS-FrontMatter-14,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7227-6,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7228,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7228-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7228-3,CREC-2015-10-08,,ssap00,S,Committee on Appropriations,S
CREC-2015-10-08-pt1-PgS7228-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7229,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7229-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7231,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7233,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7229-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7233-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7244,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7245,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7245-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7249,CREC-2015-10-08,,ssju00,S,Committee on the Judiciary,S
CREC-2015-10-08-pt1-PgS7260,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7260-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7260-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7261,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7261-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7262,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7262-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7263-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7263-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7263,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7263-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7264-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7265,CREC-2015-10-08,,slet00,S,Select Committee on Ethics,L
CREC-2015-10-08-pt1-PgS7264,CREC-2015-10-08,,sshr00,S,"Committee on Health, Education, Labor, and Pensions",S
CREC-2015-10-08-pt1-PgS7265-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7266,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7266-2,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7266-3,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7266-4,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7271,CREC-2015-10-08,,ssju00,S,Committee on the Judiciary,S
CREC-2015-10-08-pt1-PgS7271-2,CREC-2015-10-08,,ssga00,S,Committee on Homeland Security and Governmental Affairs,S
CREC-2015-10-08-pt1-PgS7271-2,CREC-2015-10-08,,ssfr00,S,Committee on Foreign Relations,S
CREC-2015-10-08-pt1-PgS7271-2,CREC-2015-10-08,,sssb00,S,Committee on Small Business and Entrepreneurship,S
CREC-2015-10-08-pt1-PgS7266-5,CREC-2015-10-08,,,,,
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,ssaf00,S,"Committee on Agriculture, Nutrition, and Forestry",S
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,ssbk00,S,"Committee on Banking, Housing, and Urban Affairs",S
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,sseg00,S,Committee on Energy and Natural Resources,S
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,ssev00,S,Committee on Environment and Public Works,S
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,ssfi00,S,Committee on Finance,S
CREC-2015-10-08-pt1-PgS7266-6,CREC-2015-10-08,,ssfr00,S,Committee on Foreign Relations,S
