granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-10-19-pt1-PgS7290,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7289-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7289,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7289-6,CREC-2015-10-19,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-10-19-pt1-PgS7289-3,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7289-4,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7289-5,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Clarence Nelson,Mr. NELSON,Bill Nelson
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Clarence William Nelson,Mr. NELSON,Bill Nelson
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",,Mr. BROWN,Sherrod Brown
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,V000127,"Vitter, David",LA,R,"Vitter, David",,Mr. VITTER,David Vitter
CREC-2015-10-19-pt1-PgS7290-2,CREC-2015-10-19,,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",,Mr. GRASSLEY,Chuck Grassley
CREC-2015-10-19-pt1-PgS7301,CREC-2015-10-19,,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,"Leahy, Patrick J.",Patrick Leahy,Mr. LEAHY,Patrick J. Leahy
CREC-2015-10-19-pt1-PgS7302,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgS7303,CREC-2015-10-19,,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,"Brown, Sherrod",,Mr. BROWN,Sherrod Brown
CREC-2015-10-19-pt1-PgS7303-2,CREC-2015-10-19,,SPEAKING,S,114,K000383,"King, Angus S., Jr.",ME,I,"King, Angus S., Jr.",Angus King,Mr. KING,Angus S. King Jr.
CREC-2015-10-19-pt1-PgS7303-2,CREC-2015-10-19,,SPEAKING,S,114,K000383,"King, Angus S., Jr.",ME,I,"King, Angus S., Jr.",Angus S. King,Mr. KING,Angus S. King Jr.
CREC-2015-10-19-pt1-PgS7303-3,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7303-4,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7303-5,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7303-6,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7304,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7303-7,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7304-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7305,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7305-4,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7304-3,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7305-3,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7305-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7306,CREC-2015-10-19,,SPEAKING,S,114,V000127,"Vitter, David",LA,R,"Vitter, David",,Mr. VITTER,David Vitter
CREC-2015-10-19-pt1-PgS7305-5,CREC-2015-10-19,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-10-19-pt1-PgS7305-5,CREC-2015-10-19,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Orrin Grant Hatch,Mr. HATCH,Orrin G. Hatch
CREC-2015-10-19-pt1-PgS7306-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgS7306-4,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgS7306-3,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgS7307,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgS7306-5,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgS7306-6,CREC-2015-10-19,,SPEAKING,S,114,F000444,"Flake, Jeff",AZ,R,"Flake, Jeff",,Mr. FLAKE,Jeff Flake
CREC-2015-10-19-pt1-PgE1479-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1093,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1093-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1094,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1094-3,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1094-2,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1094-4,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1095,CREC-2015-10-19,,,,,,,,,,,,
CREC-2015-10-19-pt1-PgD1097,CREC-2015-10-19,,,,,,,,,,,,
