granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-10-23-pt1-PgH7141-4,CREC-2015-10-23,,,,,,,,,,,,,,
CREC-2015-10-23-pt1-PgH7141-6,CREC-2015-10-23,,2264,SPEAKING,H,114,K000386,"Katko, John",NY,R,,"Katko, John",Mr. KATKO,John Katko,
CREC-2015-10-23-pt1-PgH7141-5,CREC-2015-10-23,,,,,,,,,,,,,,
CREC-2015-10-23-pt1-PgH7141-2,CREC-2015-10-23,,,,,,,,,,,,,,
CREC-2015-10-23-pt1-PgH7141-3,CREC-2015-10-23,,2128,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2015-10-23-pt1-PgH7142,CREC-2015-10-23,,2128,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2015-10-23-pt1-PgH7141-7,CREC-2015-10-23,,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,8139,"Cicilline, David N.",Mr. CICILLINE,David N. Cicilline,Mr. David Cicilline
CREC-2015-10-23-pt1-PgH7141,CREC-2015-10-23,,,,,,,,,,,,,,
CREC-2015-10-23-pt1-PgH7142-2,CREC-2015-10-23,,1663,SPEAKING,H,114,I000057,"Israel, Steve",NY,D,8063,"Israel, Steve",Mr. ISRAEL,Steve Israel,
CREC-2015-10-23-pt1-PgH7142-5,CREC-2015-10-23,,2165,SPEAKING,H,114,W000816,"Williams, Roger",TX,R,,"Williams, Roger",Mr. WILLIAMS,Roger Williams,
CREC-2015-10-23-pt1-PgH7143-2,CREC-2015-10-23,,2170,SPEAKING,H,114,H001064,"Heck, Denny",WA,D,,"Heck, Denny",Mr. HECK of Washington,Denny Heck,
CREC-2015-10-23-pt1-PgH7142-4,CREC-2015-10-23,,2113,SPEAKING,H,114,P000608,"Peters, Scott H.",CA,D,,"Peters, Scott H.",Mr. PETERS,Scott H. Peters,Mr. Scott Peters
CREC-2015-10-23-pt1-PgH7142-3,CREC-2015-10-23,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Mr. Ralph Abraham
CREC-2015-10-23-pt1-PgH7142-6,CREC-2015-10-23,,1970,SPEAKING,H,114,C001080,"Chu, Judy",CA,D,7837,"Chu, Judy",Ms. JUDY CHU of California,Judy Chu,
CREC-2015-10-23-pt1-PgH7143,CREC-2015-10-23,,2224,SPEAKING,H,114,W000821,"Westerman, Bruce",AR,R,,"Westerman, Bruce",Mr. WESTERMAN,Bruce Westerman,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1778,SPEAKING,H,114,P000591,"Price, Tom",GA,R,7903,"Price, Tom",Mr. TOM PRICE of Georgia,Tom Price,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,7983,"Van Hollen, Chris",Mr. VAN HOLLEN,Chris Van Hollen,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2032,SPEAKING,H,114,H001053,"Hartzler, Vicky",MO,R,8012,"Hartzler, Vicky",Mrs. HARTZLER,Vicky Hartzler,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2230,SPEAKING,H,114,L000582,"Lieu, Ted",CA,D,,"Lieu, Ted",Mr. TED LIEU of California,Ted Lieu,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2248,SPEAKING,H,114,M001194,"Moolenaar, John R.",MI,R,,"Moolenaar, John R.",Mr. MOOLENAAR,John R. Moolenaar,Mr. John Moolenaar
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1811,SPEAKING,H,114,M001160,"Moore, Gwen",WI,D,8217,"Moore, Gwen",Ms. MOORE,Gwen Moore,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,8174,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2008,SPEAKING,H,114,W000810,"Woodall, Rob",GA,R,7904,"Woodall, Rob",Mr. WOODALL,Rob Woodall,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,7868,"DeLauro, Rosa L.",Ms. DeLAURO,Rosa L. DeLauro,Rosa Delauro
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2017,SPEAKING,H,114,R000592,"Rokita, Todd",IN,R,7943,"Rokita, Todd",Mr. ROKITA,Todd Rokita,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,8164,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,7997,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,8003,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,766,SPEAKING,H,114,M000404,"McDermott, Jim",WA,D,8211,"McDermott, Jim",Mr. McDERMOTT,Jim McDermott,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1848,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,7926,"Roskam, Peter J.",Mr. ROSKAM,Peter J. Roskam,Mr. Peter Roskam
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2038,SPEAKING,H,114,G000570,"Guinta, Frank C.",NH,R,8041,"Guinta, Frank C.",Mr. GUINTA,Frank C. Guinta,Mr. Frank Guinta
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1510,SPEAKING,H,114,P000096,"Pascrell, Bill, Jr.",NJ,D,8050,"Pascrell, Bill, Jr.",Mr. PASCRELL,"Bill Pascrell, Jr.",William Pascrell
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2131,SPEAKING,H,114,B001282,"Barr, Andy",KY,R,,"Barr, Andy",Mr. BARR,Andy Barr,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,8068,"Crowley, Joseph",Mr. CROWLEY,Joseph Crowley,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,8153,"Black, Diane",Mrs. BLACK,Diane Black,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1501,SPEAKING,H,114,L000551,"Lee, Barbara",CA,D,7814,"Lee, Barbara",Ms. LEE,Barbara Lee,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1892,SPEAKING,H,114,S001176,"Scalise, Steve",LA,R,7959,"Scalise, Steve",Mr. SCALISE,Steve Scalise,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,944,SPEAKING,H,114,R000053,"Rangel, Charles B.",NY,D,8076,"Rangel, Charles B.",Mr. RANGEL,Charles B. Rangel,Charles Rangel
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1787,SPEAKING,H,114,B001255,"Boustany, Charles W., Jr.",LA,R,7965,"Boustany, Charles W., Jr.",Mr. BOUSTANY,"Charles W. Boustany, Jr.",Mr. Charles Boustany Jr.
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1177,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,7991,"Upton, Fred",Mr. UPTON,Fred Upton,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,887,SPEAKING,H,114,P000034,"Pallone, Frank, Jr.",NJ,D,8048,"Pallone, Frank, Jr.",Mr. PALLONE,"Frank Pallone, Jr.",Frank Pallone
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1748,SPEAKING,H,114,B001243,"Blackburn, Marsha",TN,R,8154,"Blackburn, Marsha",Mrs. BLACKBURN,Marsha Blackburn,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1936,SPEAKING,H,114,L000567,"Lance, Leonard",NJ,R,8049,"Lance, Leonard",Mr. LANCE,Leonard Lance,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,344,SPEAKING,H,114,E000179,"Engel, Eliot L.",NY,D,8078,"Engel, Eliot L.",Mr. ENGEL,Eliot L. Engel,Eliot Engel
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1733,SPEAKING,H,114,K000363,"Kline, John",MN,R,8002,"Kline, John",Mr. KLINE,John Kline,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1037,SPEAKING,H,114,S000185,"Scott, Robert C. ""Bobby""",VA,D,8194,"Scott, Robert C. ""Bobby""",Mr. SCOTT of Virginia,"Robert C. ""Bobby"" Scott",Robert Scott
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2263,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,,"Stefanik, Elise M.",Ms. STEFANIK,Elise M. Stefanik,Ms. Elise Stefanik
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2092,SPEAKING,H,114,B001278,"Bonamici, Suzanne",OR,D,8367,"Bonamici, Suzanne",Ms. BONAMICI,Suzanne Bonamici,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1954,SPEAKING,H,114,R000582,"Roe, David P.",TN,R,8148,"Roe, David P.",Mr. ROE of Tennessee,David P. Roe,Mr. David Roe
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2196,SPEAKING,H,114,C001101,"Clark, Katherine M.",MA,D,,"Clark, Katherine M.",Ms. CLARK of Massachusetts,Katherine M. Clark,Ms. Katherine Clark
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,2239,SPEAKING,H,114,A000372,"Allen, Rick W.",GA,R,,"Allen, Rick W.",Mr. ALLEN,Rick W. Allen,Mr. Rick Allen
CREC-2015-10-23-pt1-PgH7143-3,CREC-2015-10-23,,1778,SPEAKING,H,114,P000591,"Price, Tom",GA,R,7903,"Price, Tom",Mr. PRICE of Georgia,Tom Price,
