granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__parsed,name__authority-lnf,name__authority-fnf,name__authority-other
CREC-2015-10-29-pt1-PgH7335,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH-FrontMatter-2,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,,SPEAKING,H,114,,,,,Mrs. McMORRIS RODGERS,,,
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,,SPEAKING,H,114,B000287,"Becerra, Xavier",CA,D,Mr. BECERRA,"Becerra, Xavier",Xavier Becerra,
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,,SPEAKING,H,114,P000197,"Pelosi, Nancy",CA,D,Ms. PELOSI,"Pelosi, Nancy",Nancy Pelosi,
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,Mr. RYAN of Wisconsin,"Ryan, Paul D.",Paul D. Ryan,Paul Ryan
CREC-2015-10-29-pt1-PgH7337,CREC-2015-10-29,,SPEAKING,H,114,C000714,"Conyers, John, Jr.",MI,D,Mr. CONYERS,"Conyers, John, Jr.","John Conyers, Jr.",John Conyers
CREC-2015-10-29-pt1-PgH7335-5,CREC-2015-10-29,,SPEAKING,H,114,T000462,"Tiberi, Patrick J.",OH,R,Mr. TIBERI,"Tiberi, Patrick J.",Patrick J. Tiberi,Patrick Tiberi
CREC-2015-10-29-pt1-PgH7335-2,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7336,CREC-2015-10-29,,SPEAKING,H,114,B000589,"Boehner, John A.",OH,R,Mr. BOEHNER,"Boehner, John A.",John A. Boehner,John Boehner
CREC-2015-10-29-pt1-PgH7335-4,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7335-3,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340,CREC-2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-10-29-pt1-PgH7340-2,CREC-2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-10-29-pt1-PgH7340-3,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-4,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-5,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-7,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-6,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7340-8,CREC-2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-10-29-pt1-PgH7345,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7341,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7345-2,CREC-2015-10-29,,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,Mr. McCARTHY,"McCarthy, Kevin",Kevin McCarthy,
CREC-2015-10-29-pt1-PgH7346,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7345-3,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7346-2,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-2,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-3,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-4,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-5,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-6,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-7,CREC-2015-10-29,,,,,,,,,,,,
CREC-2015-10-29-pt1-PgH7347-8,CREC-2015-10-29,,,,,,,,,,,,
