granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-12-09-pt1-PgH9083-2,CREC-2015-12-09,,,,,,,,,,,,,,
CREC-2015-12-09-pt1-PgH9083-4,CREC-2015-12-09,,,,,,,,,,,,,,
CREC-2015-12-09-pt1-PgH9083-3,CREC-2015-12-09,,,,,,,,,,,,,,
CREC-2015-12-09-pt1-PgH9083-5,CREC-2015-12-09,,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-12-09-pt1-PgH-FrontMatter-5,CREC-2015-12-09,,,,,,,,,,,,,,
CREC-2015-12-09-pt1-PgH9083-6,CREC-2015-12-09,,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-12-09-pt1-PgH9084-2,CREC-2015-12-09,,8153,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,"Black, Diane",Mrs. BLACK,Diane Black,
CREC-2015-12-09-pt1-PgH9084,CREC-2015-12-09,,8138,1953,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,"Pierluisi, Pedro R.",Mr. PIERLUISI,Pedro R. Pierluisi,Mr. Pedro Pierluisi
CREC-2015-12-09-pt1-PgH9084-3,CREC-2015-12-09,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2015-12-09-pt1-PgH9085-2,CREC-2015-12-09,,,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,"Gallego, Ruben",Mr. GALLEGO,Ruben Gallego,
CREC-2015-12-09-pt1-PgH9085,CREC-2015-12-09,,8090,1982,SPEAKING,H,114,R000585,"Reed, Tom",NY,R,"Reed, Tom",Mr. REED,Tom Reed,
CREC-2015-12-09-pt1-PgH9086,CREC-2015-12-09,,8723,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2015-12-09-pt1-PgH9086-2,CREC-2015-12-09,,8022,2035,SPEAKING,H,114,P000601,"Palazzo, Steven M.",MS,R,"Palazzo, Steven M.",Mr. PALAZZO,Steven M. Palazzo,Mr. Steven Palazzo
CREC-2015-12-09-pt1-PgH9087,CREC-2015-12-09,,8126,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,"Fitzpatrick, Michael G.",Mr. FITZPATRICK,Michael G. Fitzpatrick,Mr. Michael Fitzpatrick
CREC-2015-12-09-pt1-PgH9088-2,CREC-2015-12-09,,,,,,,,,,,,,,
CREC-2015-12-09-pt1-PgH9088,CREC-2015-12-09,,8033,1792,SPEAKING,H,114,M001156,"McHenry, Patrick T.",NC,R,"McHenry, Patrick T.",Mr. McHENRY,Patrick T. McHenry,Mr. Patrick Mchenry
CREC-2015-12-09-pt1-PgH9088-3,CREC-2015-12-09,,,,,,,,,,,,,,
