granuleId,packageId,authorityId,chamber,committeeName,type,committees
CREC-2015-12-14-pt1-PgS8623-2,CREC-2015-12-14,jspr00,J,Joint Committee on Printing,J,
CREC-2015-12-14-pt1-PgS8623,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-6,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-4,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-5,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-7,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-8,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8625,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8626,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8626-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8624-9,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8626-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8626-4,CREC-2015-12-14,slin00,S,Select Committee on Intelligence,L,
CREC-2015-12-14-pt1-PgS8629,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8629-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8629-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8629-6,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8629-5,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8629-4,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8630-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8630,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8631,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8631-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8631-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8632,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8632-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8633,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8633-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8633-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8633-4,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8633-5,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8634,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8634-2,CREC-2015-12-14,ssga00,S,Committee on Homeland Security and Governmental Affairs,S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,ssaf00,S,"Committee on Agriculture, Nutrition, and Forestry",S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,ssas00,S,Committee on Armed Services,S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,ssbk00,S,"Committee on Banking, Housing, and Urban Affairs",S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,sseg00,S,Committee on Energy and Natural Resources,S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,ssga00,S,Committee on Homeland Security and Governmental Affairs,S,
CREC-2015-12-14-pt1-PgS8634-3,CREC-2015-12-14,sscm00,S,"Committee on Commerce, Science, and Transportation",S,
CREC-2015-12-14-pt1-PgS8636,CREC-2015-12-14,sscm00,S,"Committee on Commerce, Science, and Transportation",S,
CREC-2015-12-14-pt1-PgS8636-2,CREC-2015-12-14,ssfi00,S,Committee on Finance,S,
CREC-2015-12-14-pt1-PgS8636-3,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8636-4,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8637,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8637-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8638,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8638-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8639,CREC-2015-12-14,sscm00,S,"Committee on Commerce, Science, and Transportation",S,
CREC-2015-12-14-pt1-PgS8640-2,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8640,CREC-2015-12-14,,,,,
CREC-2015-12-14-pt1-PgS8640-3,CREC-2015-12-14,ssas00,S,Committee on Armed Services,S,
CREC-2015-12-14-pt1-PgS8640-3,CREC-2015-12-14,ssfi00,S,Committee on Finance,S,
CREC-2015-12-14-pt1-PgS8640-4,CREC-2015-12-14,,,,,
