granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-01-07-pt1-PgH106-3,CREC-2016-01-07,7968,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,"McGovern, James P.",James Mcgovern,Mr. McGOVERN,James P. McGovern
CREC-2016-01-07-pt1-PgH105,CREC-2016-01-07,,,,,,,,,,,,,,
CREC-2016-01-07-pt1-PgH105-3,CREC-2016-01-07,,,,,,,,,,,,,,
CREC-2016-01-07-pt1-PgH105-2,CREC-2016-01-07,,,,,,,,,,,,,,
CREC-2016-01-07-pt1-PgH106-2,CREC-2016-01-07,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-01-07-pt1-PgH-FrontMatter-3,CREC-2016-01-07,,,,,,,,,,,,,,
CREC-2016-01-07-pt1-PgH106,CREC-2016-01-07,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-01-07-pt1-PgH105-4,CREC-2016-01-07,7790,1987,SPEAKING,H,114,B001274,"Brooks, Mo",AL,R,,"Brooks, Mo",,Mr. BROOKS of Alabama,Mo Brooks
CREC-2016-01-07-pt1-PgH108-2,CREC-2016-01-07,7852,1522,SPEAKING,H,114,S000030,"Sanchez, Loretta",CA,D,,"Sanchez, Loretta",,Ms. LORETTA SANCHEZ of California,Loretta Sanchez
CREC-2016-01-07-pt1-PgH107,CREC-2016-01-07,,2243,SPEAKING,H,114,B001295,"Bost, Mike",IL,R,,"Bost, Mike",,Mr. BOST,Mike Bost
CREC-2016-01-07-pt1-PgH110-2,CREC-2016-01-07,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,,"Curbelo, Carlos",,Mr. CURBELO of Florida,Carlos Curbelo
