granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf
CREC-2016-01-15-pt1-PgS77-4,CREC-2016-01-15,2098,SPEAKING,S,114,C001095,"Cotton, Tom",AR,R,,"Cotton, Tom",Mr. COTTON,Tom Cotton
CREC-2016-01-15-pt1-PgD39,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgS77-2,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgD39-2,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgS77-6,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgS77-5,CREC-2016-01-15,2098,SPEAKING,S,114,C001095,"Cotton, Tom",AR,R,,"Cotton, Tom",Mr. COTTON,Tom Cotton
CREC-2016-01-15-pt1-PgS77-3,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgS-FrontMatter,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgD39-6,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgD39-4,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgD39-5,CREC-2016-01-15,,,,,,,,,,,,
CREC-2016-01-15-pt1-PgD39-3,CREC-2016-01-15,,,,,,,,,,,,
