granuleId,packageId,collectionCode,collectionName,references,contents__number,contents__congress,contents__type
CREC-2016-01-15-pt1-PgS77-4,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
CREC-2016-01-15-pt1-PgS77-4,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
CREC-2016-01-15-pt1-PgD39,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
CREC-2016-01-15-pt1-PgS77-2,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgD39-2,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgS77-6,CREC-2016-01-15,BILLS,Congressional Bills,,22,114,SJRES
CREC-2016-01-15-pt1-PgS77-6,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
CREC-2016-01-15-pt1-PgS77-5,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgS77-3,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgS-FrontMatter,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgD39-6,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
CREC-2016-01-15-pt1-PgD39-4,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgD39-5,CREC-2016-01-15,,,,,,
CREC-2016-01-15-pt1-PgD39-3,CREC-2016-01-15,BILLS,Congressional Bills,,107,114,HCONRES
