granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf
CREC-2016-01-26-pt1-PgS167-2,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-3,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-6,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-7,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-4,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-5,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-8,CREC-2016-01-26,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski
CREC-2016-01-26-pt1-PgS-FrontMatter,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS167-9,CREC-2016-01-26,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski
CREC-2016-01-26-pt1-PgS167-10,CREC-2016-01-26,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski
CREC-2016-01-26-pt1-PgS212,CREC-2016-01-26,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski
CREC-2016-01-26-pt1-PgS169-2,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS169,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS168,CREC-2016-01-26,,SPEAKING,S,114,F000062,"Feinstein, Dianne",CA,D,"Feinstein, Dianne",Mrs. FEINSTEIN,Dianne Feinstein
CREC-2016-01-26-pt1-PgS169-4,CREC-2016-01-26,,SPEAKING,S,114,M001153,"Murkowski, Lisa",AK,R,"Murkowski, Lisa",Ms. MURKOWSKI,Lisa Murkowski
CREC-2016-01-26-pt1-PgS169-3,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgS213,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD62,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD62-3,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD62-4,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD62-2,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD62-5,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD63-2,CREC-2016-01-26,,,,,,,,,,,
CREC-2016-01-26-pt1-PgD63,CREC-2016-01-26,,,,,,,,,,,
