granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-02-12-pt1-PgH777-7,CREC-2016-02-12,2190,SPEAKING,H,114,K000385,"Kelly, Robin L.",IL,D,,,"Kelly, Robin L.",Ms. Robin Kelly,Ms. KELLY of Illinois,Robin L. Kelly
CREC-2016-02-12-pt1-PgH-FrontMatter-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777-2,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777-4,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777-5,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777-6,CREC-2016-02-12,1991,SPEAKING,H,114,W000809,"Womack, Steve",AR,R,,7795,"Womack, Steve",,Mr. WOMACK,Steve Womack
CREC-2016-02-12-pt1-PgH777-3,CREC-2016-02-12,,,,,,,,,,,,,,
CREC-2016-02-12-pt1-PgH777-8,CREC-2016-02-12,2294,SPEAKING,H,114,K000388,"Kelly, Trent",MS,R,,,"Kelly, Trent",,Mr. KELLY of Mississippi,Trent Kelly
CREC-2016-02-12-pt1-PgH778-2,CREC-2016-02-12,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,8123,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-02-12-pt1-PgH778-3,CREC-2016-02-12,2201,SPEAKING,H,114,A000370,"Adams, Alma S.",NC,D,,,"Adams, Alma S.",Ms. Alma Adams,Ms. ADAMS,Alma S. Adams
CREC-2016-02-12-pt1-PgH778,CREC-2016-02-12,1635,SPEAKING,H,114,S001150,"Schiff, Adam B.",CA,D,,7834,"Schiff, Adam B.",Adam Schiff,Mr. SCHIFF,Adam B. Schiff
CREC-2016-02-12-pt1-PgH779,CREC-2016-02-12,2145,SPEAKING,H,114,K000382,"Kuster, Ann M.",NH,D,,,"Kuster, Ann M.",Ms. Ann Kuster,Ms. KUSTER,Ann M. Kuster
CREC-2016-02-12-pt1-PgH778-4,CREC-2016-02-12,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,7890,"Ros-Lehtinen, Ileana",,Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen
