granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-02-22-pt1-PgS889-4,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS889-6,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS889-5,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS889-7,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS-FrontMatter,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS889-2,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS894,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS889-3,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS894-4,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS894-3,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS894-2,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS896,CREC-2016-02-22,,8316,457,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,Mr. Charles Grassley
CREC-2016-02-22-pt1-PgS894-5,CREC-2016-02-22,,8271,952,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-02-22-pt1-PgS896-2,CREC-2016-02-22,,8316,457,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,Mr. Charles Grassley
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8244,1383,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,"Leahy, Patrick J.",Mr. LEAHY,Patrick J. Leahy,Mr. Patrick Leahy
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,7972,735,SPEAKING,S,114,M000133,"Markey, Edward J.",MA,D,"Markey, Edward J.",Mr. MARKEY,Edward J. Markey,Mr. Edward Markey
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8332,2076,SPEAKING,S,114,B001277,"Blumenthal, Richard",CT,D,"Blumenthal, Richard",Mr. BLUMENTHAL,Richard Blumenthal,
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8256,1983,SPEAKING,S,114,M001183,"Manchin, Joe, III",WV,D,"Manchin, Joe, III",Mr. MANCHIN,Joe Manchin III,Mr. Joseph Manchin III
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8304,1695,SPEAKING,S,114,A000360,"Alexander, Lamar",TN,R,"Alexander, Lamar",Mr. ALEXANDER,Lamar Alexander,
CREC-2016-02-22-pt1-PgS899,CREC-2016-02-22,,8237,1409,SPEAKING,S,114,M001111,"Murray, Patty",WA,D,"Murray, Patty",Mrs. MURRAY,Patty Murray,
CREC-2016-02-22-pt1-PgS897,CREC-2016-02-22,,8316,457,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,Mr. Charles Grassley
CREC-2016-02-22-pt1-PgS907-2,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS907,CREC-2016-02-22,,8295,1692,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,"Cornyn, John",Mr. CORNYN,John Cornyn,
CREC-2016-02-22-pt1-PgS907,CREC-2016-02-22,,8326,326,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Mr. Richard Durbin
CREC-2016-02-22-pt1-PgS907,CREC-2016-02-22,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2016-02-22-pt1-PgS907,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS908,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS908-2,CREC-2016-02-22,,8252,1820,SPEAKING,S,114,M001170,"McCaskill, Claire",MO,D,"McCaskill, Claire",Mrs. McCASKILL,Claire McCaskill,
CREC-2016-02-22-pt1-PgS908-4,CREC-2016-02-22,,8316,457,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,Mr. Charles Grassley
CREC-2016-02-22-pt1-PgS908-3,CREC-2016-02-22,,8316,457,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,Mr. Charles Grassley
CREC-2016-02-22-pt1-PgS908-5,CREC-2016-02-22,,8304,1695,SPEAKING,S,114,A000360,"Alexander, Lamar",TN,R,"Alexander, Lamar",Mr. ALEXANDER,Lamar Alexander,
CREC-2016-02-22-pt1-PgS908-6,CREC-2016-02-22,,,2185,SPEAKING,S,114,K000383,"King, Angus S., Jr.",ME,I,"King, Angus S., Jr.",Mr. KING,Angus S. King Jr.,Mr. Angus King Jr.
CREC-2016-02-22-pt1-PgS910,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-2,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS909,CREC-2016-02-22,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2016-02-22-pt1-PgS909-2,CREC-2016-02-22,,8270,1010,SPEAKING,S,114,S000033,"Sanders, Bernard",VT,I,"Sanders, Bernard",Mr. SANDERS,Bernard Sanders,
CREC-2016-02-22-pt1-PgS910-3,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-4,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-5,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-6,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-7,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-8,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS910-9,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS912,CREC-2016-02-22,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2016-02-22-pt1-PgS912-2,CREC-2016-02-22,,8236,859,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2016-02-22-pt1-PgS913-2,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS913,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS913-3,CREC-2016-02-22,,8304,1695,SPEAKING,S,114,A000360,"Alexander, Lamar",TN,R,"Alexander, Lamar",Mr. ALEXANDER,Lamar Alexander,
CREC-2016-02-22-pt1-PgS914-2,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS914,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS914-3,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS914-4,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS914-5,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS915,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS915-3,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS915-2,CREC-2016-02-22,,8254,1395,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-02-22-pt1-PgS923,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgS915-4,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgE181-2,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD147,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD146,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD147-2,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD147-3,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD147-4,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD147-5,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD151,CREC-2016-02-22,,,,,,,,,,,,,,
CREC-2016-02-22-pt1-PgD148,CREC-2016-02-22,,,,,,,,,,,,,,
