granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-03-22-pt1-PgH1497-5,CREC-2016-03-22,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,,,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2016-03-22-pt1-PgH1497-3,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1498,CREC-2016-03-22,1843,SPEAKING,H,114,J000288,"Johnson, Henry C. ""Hank,"" Jr.",GA,D,,7901,"Johnson, Henry C. ""Hank,"" Jr.",Mr. JOHNSON of Georgia,"Henry C. ""Hank"" Johnson, Jr.","Mr. Henry C. ""Hank"" Johnson"
CREC-2016-03-22-pt1-PgH1497,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1498-2,CREC-2016-03-22,2264,SPEAKING,H,114,K000386,"Katko, John",NY,R,,,"Katko, John",Mr. KATKO,John Katko,
CREC-2016-03-22-pt1-PgH1497-4,CREC-2016-03-22,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,,7925,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2016-03-22-pt1-PgH-FrontMatter,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1497-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1499,CREC-2016-03-22,2143,SPEAKING,H,114,H001065,"Holding, George",NC,R,,,"Holding, George",Mr. HOLDING,George Holding,
CREC-2016-03-22-pt1-PgH1502,CREC-2016-03-22,2067,SPEAKING,H,114,F000460,"Farenthold, Blake",TX,R,,8183,"Farenthold, Blake",Mr. FARENTHOLD,Blake Farenthold,
CREC-2016-03-22-pt1-PgH1500,CREC-2016-03-22,2035,SPEAKING,H,114,P000601,"Palazzo, Steven M.",MS,R,,8022,"Palazzo, Steven M.",Mr. PALAZZO,Steven M. Palazzo,Mr. Steven Palazzo
CREC-2016-03-22-pt1-PgH1499-2,CREC-2016-03-22,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-03-22-pt1-PgH1501,CREC-2016-03-22,1774,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,,7825,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2016-03-22-pt1-PgH1505,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1501-2,CREC-2016-03-22,1995,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,,7824,"Denham, Jeff",Mr. DENHAM,Jeff Denham,
CREC-2016-03-22-pt1-PgH1502-2,CREC-2016-03-22,2168,SPEAKING,H,114,S001192,"Stewart, Chris",UT,R,,,"Stewart, Chris",Mr. STEWART,Chris Stewart,
CREC-2016-03-22-pt1-PgH1505-3,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1505-4,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1505-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1506,CREC-2016-03-22,2226,SPEAKING,H,114,G000574,"Gallego, Ruben",AZ,D,,,"Gallego, Ruben",Mr. GALLEGO,Ruben Gallego,
CREC-2016-03-22-pt1-PgH1505-5,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1506-2,CREC-2016-03-22,,,,,,,,,,,,,,
CREC-2016-03-22-pt1-PgH1506-3,CREC-2016-03-22,1560,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,,8214,"Ryan, Paul D.",Mr. RYAN of Wisconsin,Paul D. Ryan,Paul Ryan
