granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-04-07-pt1-PgS1775-5,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1775-8,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS-FrontMatter,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1775-7,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS1775-6,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1775-3,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1775-4,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1775-2,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1776-3,CREC-2016-04-07,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-04-07-pt1-PgS1776,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS1776-2,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1776-4,CREC-2016-04-07,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-04-07-pt1-PgS1777,CREC-2016-04-07,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-04-07-pt1-PgS1794,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS1778,CREC-2016-04-07,,,,,,,,,,,,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence Nelson
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,N000032,"Nelson, Bill",FL,D,"Nelson, Bill",Mr. NELSON,Bill Nelson,Clarence William Nelson
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,H001046,"Heinrich, Martin",NM,D,"Heinrich, Martin",Mr. HEINRICH,Martin Heinrich,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,C001070,"Casey, Robert P., Jr.",PA,D,"Casey, Robert P., Jr.",Mr. CASEY,Robert P. Casey Jr.,Bob Casey
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,T000461,"Toomey, Patrick",PA,R,"Toomey, Patrick",Mr. TOOMEY,Patrick J. Toomey,Patrick Toomey
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,F000463,"Fischer, Deb",NE,R,"Fischer, Deb",Mrs. FISCHER,Deb Fischer,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,K000367,"Klobuchar, Amy",MN,D,"Klobuchar, Amy",Ms. KLOBUCHAR,Amy Klobuchar,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,C001095,"Cotton, Tom",AR,R,"Cotton, Tom",Mr. COTTON,Tom Cotton,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,M001176,"Merkley, Jeff",OR,D,"Merkley, Jeff",Mr. MERKLEY,Jeff Merkley,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,C000127,"Cantwell, Maria",WA,D,"Cantwell, Maria",Ms. CANTWELL,Maria Cantwell,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,S000148,"Schumer, Charles E.",NY,D,"Schumer, Charles E.",Mr. SCHUMER,Charles E. Schumer,Charles Schumer
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,P000449,"Portman, Rob",OH,R,"Portman, Rob",Mr. PORTMAN,Rob Portman,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,S000770,"Stabenow, Debbie",MI,D,"Stabenow, Debbie",Ms. STABENOW,Debbie Stabenow,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,C001075,"Cassidy, Bill",LA,R,"Cassidy, Bill",Mr. CASSIDY,Bill Cassidy,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,"Leahy, Patrick J.",Mr. LEAHY,Patrick J. Leahy,Patrick Leahy
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS1802,CREC-2016-04-07,,SPEAKING,S,114,T000250,"Thune, John",SD,R,"Thune, John",Mr. THUNE,John Thune,
CREC-2016-04-07-pt1-PgS1795,CREC-2016-04-07,,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-04-07-pt1-PgS1802-2,CREC-2016-04-07,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Mr. HATCH,Orrin G. Hatch,Orrin Hatch
CREC-2016-04-07-pt1-PgS1802-2,CREC-2016-04-07,,SPEAKING,S,114,H000338,"Hatch, Orrin G.",UT,R,"Hatch, Orrin G.",Mr. HATCH,Orrin G. Hatch,Orrin Grant Hatch
