granuleId,packageId,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2016-04-07-pt1-PgS1775-5,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-8,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS-FrontMatter,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-7,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-6,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-4,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1775-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1776-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1776,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1776-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1776-4,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1777,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1794,CREC-2016-04-07,,BILLS,Congressional Bills,192,114,S
CREC-2016-04-07-pt1-PgS1794,CREC-2016-04-07,,BILLS,Congressional Bills,192,114,S
CREC-2016-04-07-pt1-PgS1778,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,911,114,S
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,2361,114,S
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,2760,114,S
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,2843,114,HR
CREC-2016-04-07-pt1-PgS1778-2,CREC-2016-04-07,,BILLS,Congressional Bills,4698,114,HR
CREC-2016-04-07-pt1-PgS1802,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1795,CREC-2016-04-07,,BILLS,Congressional Bills,392,114,SRES
CREC-2016-04-07-pt1-PgS1795,CREC-2016-04-07,,BILLS,Congressional Bills,392,114,SRES
CREC-2016-04-07-pt1-PgS1802-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1802-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1795-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1803,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1803-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1804,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1804-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1804-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1804-4,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1805,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1805-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1805-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1805-4,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1808,CREC-2016-04-07,,BILLS,Congressional Bills,4,114,S
CREC-2016-04-07-pt1-PgS1808,CREC-2016-04-07,,BILLS,Congressional Bills,4,114,S
CREC-2016-04-07-pt1-PgS1808,CREC-2016-04-07,,BILLS,Congressional Bills,7,114,S
CREC-2016-04-07-pt1-PgS1809,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1809-3,CREC-2016-04-07,,BILLS,Congressional Bills,416,114,SRES
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2758,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2759,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2760,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2761,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2762,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2763,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2764,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2765,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2766,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2767,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2768,114,S
CREC-2016-04-07-pt1-PgS1809-2,CREC-2016-04-07,,BILLS,Congressional Bills,2769,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,27,114,SJRES
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,27,114,SJRES
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,185,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,349,114,SRES
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,386,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,391,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,689,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,849,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,857,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,860,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,901,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1205,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1333,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1562,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1567,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1775,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1883,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,1895,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2067,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2125,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2173,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2236,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2289,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2441,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2467,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2494,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2536,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2540,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2649,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2650,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2694,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2725,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2730,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2736,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2746,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2752,114,S
CREC-2016-04-07-pt1-PgS1809-4,CREC-2016-04-07,,BILLS,Congressional Bills,2755,114,S
CREC-2016-04-07-pt1-PgS1811,CREC-2016-04-07,,BILLS,Congressional Bills,2760,114,S
CREC-2016-04-07-pt1-PgS1811,CREC-2016-04-07,,BILLS,Congressional Bills,2763,114,S
CREC-2016-04-07-pt1-PgS1811-2,CREC-2016-04-07,,BILLS,Congressional Bills,2760,114,S
CREC-2016-04-07-pt1-PgS1813,CREC-2016-04-07,,BILLS,Congressional Bills,416,114,SRES
CREC-2016-04-07-pt1-PgS1813,CREC-2016-04-07,,BILLS,Congressional Bills,416,114,SRES
CREC-2016-04-07-pt1-PgS1812,CREC-2016-04-07,,BILLS,Congressional Bills,2763,114,S
CREC-2016-04-07-pt1-PgS1814,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1814,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1815-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1816,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1815,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1815,CREC-2016-04-07,,BILLS,Congressional Bills,636,114,HR
CREC-2016-04-07-pt1-PgS1816-2,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1816-3,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1816-4,CREC-2016-04-07,,,,,,
CREC-2016-04-07-pt1-PgS1816-5,CREC-2016-04-07,,,,,,
