granuleId,packageId,authorityId,chamber,committeeName,type,committees
CREC-2016-04-25-pt1-PgH1927-6,CREC-2016-04-25,hspw00,H,Committee on Transportation and Infrastructure,S,
CREC-2016-04-25-pt1-PgH1927-6,CREC-2016-04-25,hsap00,H,Committee on Appropriations,S,
CREC-2016-04-25-pt1-PgH1927-5,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1927-4,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1927-3,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1927,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1943,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH-FrontMatter,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1927-2,CREC-2016-04-25,,,,,
CREC-2016-04-25-pt1-PgH1944,CREC-2016-04-25,hsii00,H,Committee on Natural Resources,S,
CREC-2016-04-25-pt1-PgH1944,CREC-2016-04-25,hspw00,H,Committee on Transportation and Infrastructure,S,
CREC-2016-04-25-pt1-PgH1944,CREC-2016-04-25,hswm00,H,Committee on Ways and Means,S,
CREC-2016-04-25-pt1-PgH1944,CREC-2016-04-25,hsgo00,H,Committee on Oversight and Government Reform,S,
CREC-2016-04-25-pt1-PgH1944,CREC-2016-04-25,hsru00,H,Committee on Rules,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hsap00,H,Committee on Appropriations,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hsbu00,H,Committee on the Budget,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hswm00,H,Committee on Ways and Means,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hsif00,H,Committee on Energy and Commerce,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hsju00,H,Committee on the Judiciary,S,
CREC-2016-04-25-pt1-PgH1944-2,CREC-2016-04-25,hsvr00,H,Committee on Veterans' Affairs,S,
CREC-2016-04-25-pt1-PgH1944-3,CREC-2016-04-25,hsju00,H,Committee on the Judiciary,S,
CREC-2016-04-25-pt1-PgH1943-2,CREC-2016-04-25,hsas00,H,Committee on Armed Services,S,
CREC-2016-04-25-pt1-PgH1943-2,CREC-2016-04-25,hsba00,H,Committee on Financial Services,S,
CREC-2016-04-25-pt1-PgH1943-2,CREC-2016-04-25,hsif00,H,Committee on Energy and Commerce,S,
