granuleId,packageId,collectionCode,collectionName,references,contents__number,contents__congress,contents__type
CREC-2016-05-03-pt1-PgH2153-6,CREC-2016-05-03,BILLS,Congressional Bills,,706,114,HRES
CREC-2016-05-03-pt1-PgH2153-6,CREC-2016-05-03,BILLS,Congressional Bills,,706,114,HRES
CREC-2016-05-03-pt1-PgH-FrontMatter,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2153-4,CREC-2016-05-03,BILLS,Congressional Bills,,706,114,HRES
CREC-2016-05-03-pt1-PgH2153-4,CREC-2016-05-03,BILLS,Congressional Bills,,706,114,HRES
CREC-2016-05-03-pt1-PgH2153-2,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2153-7,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2153,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2153-3,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2153-5,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2154,CREC-2016-05-03,BILLS,Congressional Bills,,4231,114,HR
CREC-2016-05-03-pt1-PgH2154,CREC-2016-05-03,BILLS,Congressional Bills,,4641,114,HR
CREC-2016-05-03-pt1-PgH2154,CREC-2016-05-03,BILLS,Congressional Bills,,4957,114,HR
CREC-2016-05-03-pt1-PgH2155-2,CREC-2016-05-03,,,,,,
CREC-2016-05-03-pt1-PgH2154-2,CREC-2016-05-03,BILLS,Congressional Bills,,718,114,HRES
CREC-2016-05-03-pt1-PgH2154-2,CREC-2016-05-03,BILLS,Congressional Bills,,5164,114,HR
CREC-2016-05-03-pt1-PgH2154-2,CREC-2016-05-03,BILLS,Congressional Bills,,5165,114,HR
CREC-2016-05-03-pt1-PgH2154-2,CREC-2016-05-03,BILLS,Congressional Bills,,5166,114,HR
CREC-2016-05-03-pt1-PgH2155-4,CREC-2016-05-03,BILLS,Congressional Bills,,5165,114,HR
CREC-2016-05-03-pt1-PgH2155-5,CREC-2016-05-03,BILLS,Congressional Bills,,5166,114,HR
CREC-2016-05-03-pt1-PgH2155,CREC-2016-05-03,BILLS,Congressional Bills,,228,114,HRES
CREC-2016-05-03-pt1-PgH2155,CREC-2016-05-03,BILLS,Congressional Bills,,4345,114,HR
CREC-2016-05-03-pt1-PgH2155-3,CREC-2016-05-03,BILLS,Congressional Bills,,5164,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,89,114,HCONRES
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,224,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,539,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,563,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,605,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,655,114,HRES
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,693,114,HRES
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,700,114,HRES
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,712,114,HRES
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,721,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,729,114,HR
CREC-2016-05-03-pt1-PgH2155-6,CREC-2016-05-03,BILLS,Congressional Bills,,1123,114,HR
