granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-05-25-pt1-PgH3101,CREC-2016-05-25,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2016-05-25-pt1-PgH3099-2,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH-FrontMatter-2,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3099-4,CREC-2016-05-25,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,,"Gutierrez, Luis V.",Mr. GUTIERREZ,Luis V. Gutierrez,Luis Gutierrez
CREC-2016-05-25-pt1-PgH3099,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3100,CREC-2016-05-25,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-05-25-pt1-PgH3099-3,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3100-2,CREC-2016-05-25,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-05-25-pt1-PgH3101-2,CREC-2016-05-25,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,,"Schakowsky, Janice D.",Ms. SCHAKOWSKY,Janice D. Schakowsky,Janice Schakowsky
CREC-2016-05-25-pt1-PgH3103-2,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3103-4,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3102,CREC-2016-05-25,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-05-25-pt1-PgH3103,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3102-2,CREC-2016-05-25,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Evan Jenkins
CREC-2016-05-25-pt1-PgH3103-5,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3103-3,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3103-6,CREC-2016-05-25,SPEAKING,H,114,A000371,"Aguilar, Pete",CA,D,,"Aguilar, Pete",Mr. AGUILAR,Pete Aguilar,
CREC-2016-05-25-pt1-PgH3103-7,CREC-2016-05-25,,,,,,,,,,,,
CREC-2016-05-25-pt1-PgH3103-8,CREC-2016-05-25,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,,"Stefanik, Elise M.",Ms. STEFANIK,Elise M. Stefanik,Elise Stefanik
CREC-2016-05-25-pt1-PgH3103-9,CREC-2016-05-25,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-05-25-pt1-PgH3104,CREC-2016-05-25,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Daniel Kildee
