granuleId,packageId,committees,authorityId,chamber,committeeName,type
CREC-2016-06-06-pt1-PgS3391-7,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-6,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-4,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-5,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS-FrontMatter-3,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-8,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3391-3,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3392,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3392-3,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3392-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3392-4,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3397,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3394,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3393,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3397-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3408,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3408-3,CREC-2016-06-06,,ssfr00,S,Committee on Foreign Relations,S
CREC-2016-06-06-pt1-PgS3408-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3409-3,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3409,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3409-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3410,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3410-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3410-3,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3411,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3410-4,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3411-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3411-4,CREC-2016-06-06,,slin00,S,Select Committee on Intelligence,L
CREC-2016-06-06-pt1-PgS3411-4,CREC-2016-06-06,,sseg00,S,Committee on Energy and Natural Resources,S
CREC-2016-06-06-pt1-PgS3411-4,CREC-2016-06-06,,ssas00,S,Committee on Armed Services,S
CREC-2016-06-06-pt1-PgS3411-4,CREC-2016-06-06,,ssva00,S,Committee on Veterans' Affairs,S
CREC-2016-06-06-pt1-PgS3411-4,CREC-2016-06-06,,sssb00,S,Committee on Small Business and Entrepreneurship,S
CREC-2016-06-06-pt1-PgS3411-3,CREC-2016-06-06,,slin00,S,Select Committee on Intelligence,L
CREC-2016-06-06-pt1-PgS3411-5,CREC-2016-06-06,,ssfr00,S,Committee on Foreign Relations,S
CREC-2016-06-06-pt1-PgS3411-5,CREC-2016-06-06,,ssju00,S,Committee on the Judiciary,S
CREC-2016-06-06-pt1-PgS3411-6,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3414,CREC-2016-06-06,,ssfr00,S,Committee on Foreign Relations,S
CREC-2016-06-06-pt1-PgS3415,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3414-2,CREC-2016-06-06,,ssju00,S,Committee on the Judiciary,S
CREC-2016-06-06-pt1-PgS3415-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3416-2,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3417,CREC-2016-06-06,,,,,
CREC-2016-06-06-pt1-PgS3417-2,CREC-2016-06-06,,ssas00,S,Committee on Armed Services,S
CREC-2016-06-06-pt1-PgS3417-2,CREC-2016-06-06,,sshr00,S,"Committee on Health, Education, Labor, and Pensions",S
CREC-2016-06-06-pt1-PgS3417-2,CREC-2016-06-06,,hsed00,H,Committee on Education and the Workforce,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,ssas00,S,Committee on Armed Services,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,sshr00,S,"Committee on Health, Education, Labor, and Pensions",S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsed00,H,Committee on Education and the Workforce,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsas00,H,Committee on Armed Services,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,ssap00,S,Committee on Appropriations,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsap00,H,Committee on Appropriations,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,ssva00,S,Committee on Veterans' Affairs,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,ssfr00,S,Committee on Foreign Relations,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,ssga00,S,Committee on Homeland Security and Governmental Affairs,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsgo00,H,Committee on Oversight and Government Reform,S
CREC-2016-06-06-pt1-PgS3416,CREC-2016-06-06,,hsba00,H,Committee on Financial Services,S
