granuleId,packageId,collectionCode,collectionName,references,contents__number,contents__congress,contents__type
CREC-2016-06-23-pt1-PgH4174-2,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4174-2,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4174-2,CREC-2016-06-23,BILLS,Congressional Bills,,2577,114,HR
CREC-2016-06-23-pt1-PgH4173-5,CREC-2016-06-23,BILLS,Congressional Bills,,139,114,HCONRES
CREC-2016-06-23-pt1-PgH4173-5,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4173-5,CREC-2016-06-23,BILLS,Congressional Bills,,2577,114,HR
CREC-2016-06-23-pt1-PgH4174,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4174,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4173-4,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH-FrontMatter-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4173-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4173,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4173-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4175-3,CREC-2016-06-23,BILLS,Congressional Bills,,3209,114,HR
CREC-2016-06-23-pt1-PgH4175-4,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4175-4,CREC-2016-06-23,BILLS,Congressional Bills,,797,114,HRES
CREC-2016-06-23-pt1-PgH4175-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4175-5,CREC-2016-06-23,BILLS,Congressional Bills,,5572,114,HR
CREC-2016-06-23-pt1-PgH4175-5,CREC-2016-06-23,BILLS,Congressional Bills,,5573,114,HR
CREC-2016-06-23-pt1-PgH4175,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4175-6,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgH4175-8,CREC-2016-06-23,BILLS,Congressional Bills,,5573,114,HR
CREC-2016-06-23-pt1-PgH4175-7,CREC-2016-06-23,BILLS,Congressional Bills,,5572,114,HR
CREC-2016-06-23-pt1-PgH4175-9,CREC-2016-06-23,BILLS,Congressional Bills,,4237,114,HR
CREC-2016-06-23-pt1-PgH4175-9,CREC-2016-06-23,BILLS,Congressional Bills,,4966,114,HR
CREC-2016-06-23-pt1-PgS4517,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS-FrontMatter-10,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4517-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4517-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4517-4,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4517-5,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518-3,CREC-2016-06-23,BILLS,Congressional Bills,,5447,114,HR
CREC-2016-06-23-pt1-PgS4518-3,CREC-2016-06-23,BILLS,Congressional Bills,,5447,114,HR
CREC-2016-06-23-pt1-PgS4518-3,CREC-2016-06-23,BILLS,Congressional Bills,,5456,114,HR
CREC-2016-06-23-pt1-PgS4518-6,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518-5,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518-4,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4518-7,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4521,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4521-2,CREC-2016-06-23,BILLS,Congressional Bills,,6,114,S
CREC-2016-06-23-pt1-PgS4521-2,CREC-2016-06-23,BILLS,Congressional Bills,,2578,114,HR
CREC-2016-06-23-pt1-PgS4530,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4530-2,CREC-2016-06-23,BILLS,Congressional Bills,,2578,114,HR
CREC-2016-06-23-pt1-PgS4535,CREC-2016-06-23,BILLS,Congressional Bills,,2577,114,HR
CREC-2016-06-23-pt1-PgS4535,CREC-2016-06-23,BILLS,Congressional Bills,,2577,114,HR
CREC-2016-06-23-pt1-PgS4536,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4536-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4537,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4536-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4537-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4538,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4539,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4539-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4543,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4546,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4545,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4541,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4546-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4546-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4546-4,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4547-3,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4547-4,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4547,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4547-2,CREC-2016-06-23,,,,,,
CREC-2016-06-23-pt1-PgS4548-2,CREC-2016-06-23,,,,,,
