granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-06-29-pt1-PgS4683-7,CREC-2016-06-29,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-06-29-pt1-PgS4683-4,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4683-5,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4683-6,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4683-2,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4683-8,CREC-2016-06-29,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-06-29-pt1-PgS-FrontMatter-3,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4683-3,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4684-2,CREC-2016-06-29,,,,,,,,,,,,
CREC-2016-06-29-pt1-PgS4684,CREC-2016-06-29,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-06-29-pt1-PgS4684-4,CREC-2016-06-29,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-06-29-pt1-PgS4684-3,CREC-2016-06-29,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-06-29-pt1-PgS4690,CREC-2016-06-29,SPEAKING,S,114,B001261,"Barrasso, John",WY,R,,"Barrasso, John",Mr. BARRASSO,John Barrasso,
CREC-2016-06-29-pt1-PgS4685,CREC-2016-06-29,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-06-29-pt1-PgS4685-2,CREC-2016-06-29,,,,,,,,,,,,
