granuleId,packageId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,2153,SPEAKING,H,114,B001281,"Beatty, Joyce",OH,D,,,"Beatty, Joyce",Mrs. BEATTY,Joyce Beatty,
CREC-2016-07-15-pt1-PgE1139-4,CREC-2016-07-15,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-15-pt1-PgE1139-2,CREC-2016-07-15,1741,SPEAKING,H,114,T000463,"Turner, Michael R.",OH,R,8093,,"Turner, Michael R.",Mr. TURNER,Michael R. Turner,Mr. Michael Turner
CREC-2016-07-15-pt1-PgS5197-3,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgS-FrontMatter-5,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgS5197-4,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgS5197-2,CREC-2016-07-15,,,,,,,,,,,,,,
CREC-2016-07-15-pt1-PgE1139-5,CREC-2016-07-15,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,8068,,"Crowley, Joseph",Mr. CROWLEY,Joseph Crowley,
CREC-2016-07-15-pt1-PgE1140,CREC-2016-07-15,1913,SPEAKING,H,114,H001047,"Himes, James A.",CT,D,7869,,"Himes, James A.",Mr. HIMES,James A. Himes,Mr. James Himes
CREC-2016-07-15-pt1-PgE1140-2,CREC-2016-07-15,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Mr. Ryan Costello
CREC-2016-07-15-pt1-PgE1140-4,CREC-2016-07-15,2089,SPEAKING,H,114,H001063,"Hahn, Janice",CA,D,8360,,"Hahn, Janice",Ms. HAHN,Janice Hahn,
