granuleId,packageId,collectionCode,collectionName,references,contents__number,contents__congress,contents__type
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,BILLS,Congressional Bills,,1076,114,HR
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,BILLS,Congressional Bills,,1217,114,HR
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,BILLS,Congressional Bills,,3051,114,HR
CREC-2016-07-15-pt1-PgE1139-3,CREC-2016-07-15,BILLS,Congressional Bills,,4603,114,HR
CREC-2016-07-15-pt1-PgE1139-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1139-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgS5197-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgS-FrontMatter-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgS5197-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgS5197-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1139-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1140,CREC-2016-07-15,BILLS,Congressional Bills,,5538,114,HR
CREC-2016-07-15-pt1-PgE1140-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1140-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1141,CREC-2016-07-15,BILLS,Congressional Bills,,1537,114,HR
CREC-2016-07-15-pt1-PgE1140-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1141-2,CREC-2016-07-15,BILLS,Congressional Bills,,5538,114,HR
CREC-2016-07-15-pt1-PgE1141-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1141-4,CREC-2016-07-15,BILLS,Congressional Bills,,304,114,S
CREC-2016-07-15-pt1-PgE1141-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1142,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1142-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1142-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1143-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1143-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1142-4,CREC-2016-07-15,BILLS,Congressional Bills,,5783,114,HR
CREC-2016-07-15-pt1-PgE1143,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1143-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1143-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1144-2,CREC-2016-07-15,BILLS,Congressional Bills,,818,114,HRES
CREC-2016-07-15-pt1-PgE1144,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1145-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1144-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1144-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1145,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1145-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1145-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1146-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1146,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1146-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1147,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1147-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1146-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1147-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1147-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1147-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1148,CREC-2016-07-15,BILLS,Congressional Bills,,4992,114,HR
CREC-2016-07-15-pt1-PgE1148,CREC-2016-07-15,BILLS,Congressional Bills,,4992,114,HR
CREC-2016-07-15-pt1-PgE1148,CREC-2016-07-15,BILLS,Congressional Bills,,5119,114,HR
CREC-2016-07-15-pt1-PgE1148,CREC-2016-07-15,BILLS,Congressional Bills,,5631,114,HR
CREC-2016-07-15-pt1-PgE1148-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1148-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1149,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1149-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1149-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgE1149-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829-2,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829-3,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829-4,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829-5,CREC-2016-07-15,,,,,,
CREC-2016-07-15-pt1-PgD829-6,CREC-2016-07-15,,,,,,
