granuleId,packageId,congress,title,parsed_text,text_readability,text_bs4,__source_file,parsed_text_len,text_readability_len,text_bs4_len,search_text,search_text_len
CREC-2016-09-02-pt1-PgS5225-4,CREC-2016-09-02,114,APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE The PRESIDING OFFICER. The clerk will please read a communication to the Senate from the President pro tempore (Mr. Hatch). The senior assistant legislative clerk read the following letter: U.S. Senate, President pro tempore, Washington, DC, September 2, 2016. To the Senate: Under the provisions of rule I, paragraph 3, of the Standing Rules of the Senate, I hereby appoint the Honorable Deb Fischer, a Senator from the State of Nebraska, to perform the duties of the Chair. Orrin G. Hatch, President pro tempore. Mrs. FISCHER thereupon assumed the Chair as Acting President pro tempore. ____________________","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE The PRESIDING OFFICER. The clerk will please read a communication to the Senate from the President pro tempore (Mr. Hatch). The senior assistant legislative clerk read the following letter: U.S. Senate, President pro tempore, Washington, DC, September 2, 2016. To the Senate: Under the provisions of rule I, paragraph 3, of the Standing Rules of the Senate, I hereby appoint the Honorable Deb Fischer, a Senator from the State of Nebraska, to perform the duties of the Chair. Orrin G. Hatch, President pro tempore. Mrs. FISCHER thereupon assumed the Chair as Acting President pro tempore. ____________________","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE The PRESIDING OFFICER. The clerk will please read a communication to the Senate from the President pro tempore (Mr. Hatch). The senior assistant legislative clerk read the following letter: U.S. Senate, President pro tempore, Washington, DC, September 2, 2016. To the Senate: Under the provisions of rule I, paragraph 3, of the Standing Rules of the Senate, I hereby appoint the Honorable Deb Fischer, a Senator from the State of Nebraska, to perform the duties of the Chair. Orrin G. Hatch, President pro tempore. Mrs. FISCHER thereupon assumed the Chair as Acting President pro tempore. ____________________",package_114_285.csv,843,843,914,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [senate] [page s5225] from the congressional record online through the government publishing office [ www.gpo.gov ] appointment of acting president pro tempore the presiding officer. the clerk will please read a communication to the senate from the president pro tempore (mr. hatch). the senior assistant legislative clerk read the following letter: u.s. senate, president pro tempore, washington, dc, september 2, 2016. to the senate: under the provisions of rule i, paragraph 3, of the standing rules of the senate, i hereby appoint the honorable deb fischer, a senator from the state of nebraska, to perform the duties of the chair. orrin g. hatch, president pro tempore. mrs. fischer thereupon assumed the chair as acting president pro tempore. ____________________",843
CREC-2016-09-02-pt1-PgS5225-5,CREC-2016-09-02,114,"ADJOURNMENT UNTIL TUESDAY, SEPTEMBER 6, 2016, AT 3 P.M.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT UNTIL TUESDAY, SEPTEMBER 6, 2016, AT 3 P.M. The ACTING PRESIDENT pro tempore. Under the previous order, the Senate stands adjourned until 3 p.m. on Tuesday, September 6, 2016. Thereupon, the Senate, at 10 and 37 seconds a.m., adjourned until Tuesday, September 6, 2016, at 3 p.m.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT UNTIL TUESDAY, SEPTEMBER 6, 2016, AT 3 P.M. The ACTING PRESIDENT pro tempore. Under the previous order, the Senate stands adjourned until 3 p.m. on Tuesday, September 6, 2016. Thereupon, the Senate, at 10 and 37 seconds a.m., adjourned until Tuesday, September 6, 2016, at 3 p.m.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ADJOURNMENT UNTIL TUESDAY, SEPTEMBER 6, 2016, AT 3 P.M. The ACTING PRESIDENT pro tempore. Under the previous order, the Senate stands adjourned until 3 p.m. on Tuesday, September 6, 2016. Thereupon, the Senate, at 10 and 37 seconds a.m., adjourned until Tuesday, September 6, 2016, at 3 p.m.",package_114_285.csv,481,481,552,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [senate] [page s5225] from the congressional record online through the government publishing office [ www.gpo.gov ] adjournment until tuesday, september 6, 2016, at 3 p.m. the acting president pro tempore. under the previous order, the senate stands adjourned until 3 p.m. on tuesday, september 6, 2016. thereupon, the senate, at 10 and 37 seconds a.m., adjourned until tuesday, september 6, 2016, at 3 p.m.",481
CREC-2016-09-02-pt1-PgD867-2,CREC-2016-09-02,114,Daily Digest/Senate Committee Meetings,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No committee meetings were held.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No committee meetings were held.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No committee meetings were held.",package_114_285.csv,246,246,317,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [daily digest] [page d867] from the congressional record online through the government publishing office [ www.gpo.gov ] committee meetings no committee meetings were held.",246
CREC-2016-09-02-pt1-PgS-FrontMatter,CREC-2016-09-02,114,House of Representatives,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] H O U S E O F R E P R E S E N T A T I V E S Vol. 162 WASHINGTON, FRIDAY, SEPTEMBER 2, 2016 No. 132","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] H O U S E O F R E P R E S E N T A T I V E S Vol. 162 WASHINGTON, FRIDAY, SEPTEMBER 2, 2016 No. 132","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] H O U S E O F R E P R E S E N T A T I V E S Vol. 162 WASHINGTON, FRIDAY, SEPTEMBER 2, 2016 No. 132",package_114_285.csv,288,288,359,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [senate] [page s5225] from the congressional record online through the government publishing office [ www.gpo.gov ] h o u s e o f r e p r e s e n t a t i v e s vol. 162 washington, friday, september 2, 2016 no. 132",288
CREC-2016-09-02-pt1-PgS5225-2,CREC-2016-09-02,114,House of Representatives,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives The House was not in session today. Its next meeting will be held on Tuesday, September 6, 2016, at 2 p.m. _________________________________","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives The House was not in session today. Its next meeting will be held on Tuesday, September 6, 2016, at 2 p.m. _________________________________","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives The House was not in session today. Its next meeting will be held on Tuesday, September 6, 2016, at 2 p.m. _________________________________",package_114_285.csv,355,355,426,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [senate] [page s5225] from the congressional record online through the government publishing office [ www.gpo.gov ] house of representatives the house was not in session today. its next meeting will be held on tuesday, september 6, 2016, at 2 p.m. _________________________________",355
CREC-2016-09-02-pt1-PgS5225-3,CREC-2016-09-02,114,Senate,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Senate Friday, September 2, 2016 The Senate met at 10 and 05 seconds a.m., and was called to order by the Honorable Deb Fischer, a Senator from the State of Nebraska. ____________________","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Senate Friday, September 2, 2016 The Senate met at 10 and 05 seconds a.m., and was called to order by the Honorable Deb Fischer, a Senator from the State of Nebraska. ____________________","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Senate] [Page S5225] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Senate Friday, September 2, 2016 The Senate met at 10 and 05 seconds a.m., and was called to order by the Honorable Deb Fischer, a Senator from the State of Nebraska. ____________________",package_114_285.csv,377,377,448,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [senate] [page s5225] from the congressional record online through the government publishing office [ www.gpo.gov ] senate friday, september 2, 2016 the senate met at 10 and 05 seconds a.m., and was called to order by the honorable deb fischer, a senator from the state of nebraska. ____________________",377
CREC-2016-09-02-pt1-PgD867-3,CREC-2016-09-02,114,Daily Digest/House of Representatives,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives Chamber Action The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives Chamber Action The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] House of Representatives Chamber Action The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.",package_114_285.csv,389,389,460,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [daily digest] [page d867] from the congressional record online through the government publishing office [ www.gpo.gov ] house of representatives chamber action the house was not in session today. the house is scheduled to meet at 2 p.m. on tuesday, september 6, 2016, pursuant to the provisions of s. con. res. 50.",389
CREC-2016-09-02-pt1-PgD867,CREC-2016-09-02,114,Daily Digest/Senate,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Friday, September 2, 2016 [[Page D867]] Daily Digest Senate Chamber Action The Senate met at 10:00:05 a.m., in pro forma session, and adjourned at 10:00:37 a.m., until 3 p.m., on Tuesday, September 6, 2016.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Friday, September 2, 2016 [[Page D867]] Daily Digest Senate Chamber Action The Senate met at 10:00:05 a.m., in pro forma session, and adjourned at 10:00:37 a.m., until 3 p.m., on Tuesday, September 6, 2016.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Friday, September 2, 2016 [[Page D867]] Daily Digest Senate Chamber Action The Senate met at 10:00:05 a.m., in pro forma session, and adjourned at 10:00:37 a.m., until 3 p.m., on Tuesday, September 6, 2016.",package_114_285.csv,401,401,472,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [daily digest] [page d867] from the congressional record online through the government publishing office [ www.gpo.gov ] friday, september 2, 2016 [[page d867]] daily digest senate chamber action the senate met at 10:00:05 a.m., in pro forma session, and adjourned at 10:00:37 a.m., until 3 p.m., on tuesday, september 6, 2016.",401
CREC-2016-09-02-pt1-PgD867-4,CREC-2016-09-02,114,Daily Digest/House Committee Meetings,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No hearings were held. Joint Meetings No joint committee meetings were held.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No hearings were held. Joint Meetings No joint committee meetings were held.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Page D867] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] Committee Meetings No hearings were held. Joint Meetings No joint committee meetings were held.",package_114_285.csv,290,290,361,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [daily digest] [page d867] from the congressional record online through the government publishing office [ www.gpo.gov ] committee meetings no hearings were held. joint meetings no joint committee meetings were held.",290
CREC-2016-09-02-pt1-PgD867-6,CREC-2016-09-02,114,Daily Digest/Next Meeting of the SENATE + Next Meeting of the HOUSE OF REPRESENTATIVES + Other End Matter,"[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Pages D867-D868] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] CONGRESSIONAL RECORD (USPS 087-390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. Public access to the Congressional Record is available online through the U.S. Government Publishing Office, at www.fdsys.gov , free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Publishing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov . To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512 091800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record. POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Publishing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received. [[Page D868]] _______________________________________________________________________ Next Meeting of the SENATE 3 p.m., Tuesday, September 6 Senate Chamber Program for Tuesday: Senate will resume consideration of the conference report to accompany H.R. 2577, Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2017. At 5:30 p.m., Senate will vote on the motion to invoke cloture on the conference report to accompany H.R. 2577. If cloture is not invoked on the conference report to accompany H.R. 2577, Senate will vote on the motion to invoke cloture on the motion to proceed to consideration of H.R. 5293, Department of Defense Appropriations Act, 2017. Next Meeting of the HOUSE OF REPRESENTATIVES 2 p.m., Tuesday, September 6 House Chamber Program for Tuesday: The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.","[Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Pages D867-D868] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] CONGRESSIONAL RECORD (USPS 087-390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. Public access to the Congressional Record is available online through the U.S. Government Publishing Office, at www.fdsys.gov , free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Publishing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov . To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512 091800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record. POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Publishing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received. [[Page D868]] _______________________________________________________________________ Next Meeting of the SENATE 3 p.m., Tuesday, September 6 Senate Chamber Program for Tuesday: Senate will resume consideration of the conference report to accompany H.R. 2577, Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2017. At 5:30 p.m., Senate will vote on the motion to invoke cloture on the conference report to accompany H.R. 2577. If cloture is not invoked on the conference report to accompany H.R. 2577, Senate will vote on the motion to invoke cloture on the motion to proceed to consideration of H.R. 5293, Department of Defense Appropriations Act, 2017. Next Meeting of the HOUSE OF REPRESENTATIVES 2 p.m., Tuesday, September 6 House Chamber Program for Tuesday: The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.","Congressional Record, Volume 162 Issue 132 (Friday, September 2, 2016) [Congressional Record Volume 162, Number 132 (Friday, September 2, 2016)] [Daily Digest] [Pages D867-D868] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] CONGRESSIONAL RECORD (USPS 087-390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. Public access to the Congressional Record is available online through the U.S. Government Publishing Office, at www.fdsys.gov , free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Publishing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov . To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512 091800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record. POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Publishing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received. [[Page D868]] _______________________________________________________________________ Next Meeting of the SENATE 3 p.m., Tuesday, September 6 Senate Chamber Program for Tuesday: Senate will resume consideration of the conference report to accompany H.R. 2577, Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2017. At 5:30 p.m., Senate will vote on the motion to invoke cloture on the conference report to accompany H.R. 2577. If cloture is not invoked on the conference report to accompany H.R. 2577, Senate will vote on the motion to invoke cloture on the motion to proceed to consideration of H.R. 5293, Department of Defense Appropriations Act, 2017. Next Meeting of the HOUSE OF REPRESENTATIVES 2 p.m., Tuesday, September 6 House Chamber Program for Tuesday: The House is scheduled to meet at 2 p.m. on Tuesday, September 6, 2016, pursuant to the provisions of S. Con. Res. 50.",package_114_285.csv,3021,3021,3092,"[congressional record volume 162, number 132 (friday, september 2, 2016)] [daily digest] [pages d867-d868] from the congressional record online through the government publishing office [ www.gpo.gov ] congressional record (usps 087-390). the periodicals postage is paid at washington, d.c. the public proceedings of each house of congress, as reported by the official reporters thereof, are printed pursuant to directions of the joint committee on printing as authorized by appropriate provisions of title 44, united states code, and published for each day that one or both houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. public access to the congressional record is available online through the u.s. government publishing office, at www.fdsys.gov , free of charge to the user. the information is updated online each day the congressional record is published. for more information, contact the gpo customer contact center, u.s. government publishing office. phone 202-512-1800, or 866-512-1800 (toll-free). e-mail, contactcenter@gpo.gov . to place an order for any of these products, visit the u.s. government online bookstore at: bookstore.gpo.gov. mail orders to: superintendent of documents, p.o. box 979050, st. louis, mo 63197-9000, or phone orders to 866-512 091800 (toll-free), 202-512-1800 (d.c. area), or fax to 202-512-2104. remit check or money order, made payable to the superintendent of documents, or use visa, mastercard, discover, american express, or gpo deposit account. following each session of congress, the daily congressional record is revised, printed, permanently bound and sold by the superintendent of documents in individual parts or by sets. with the exception of copyrighted articles, there are no restrictions on the republication of material from the congressional record. postmaster: send address changes to the superintendent of documents, congressional record, u.s. government publishing office, washington, d.c. 20402, along with the entire mailing label from the last issue received. [[page d868]] _______________________________________________________________________ next meeting of the senate 3 p.m., tuesday, september 6 senate chamber program for tuesday: senate will resume consideration of the conference report to accompany h.r. 2577, military construction, veterans affairs, and related agencies appropriations act, 2017. at 5:30 p.m., senate will vote on the motion to invoke cloture on the conference report to accompany h.r. 2577. if cloture is not invoked on the conference report to accompany h.r. 2577, senate will vote on the motion to invoke cloture on the motion to proceed to consideration of h.r. 5293, department of defense appropriations act, 2017. next meeting of the house of representatives 2 p.m., tuesday, september 6 house chamber program for tuesday: the house is scheduled to meet at 2 p.m. on tuesday, september 6, 2016, pursuant to the provisions of s. con. res. 50.",3021
