granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-11-30-pt1-PgH6368-2,CREC-2016-11-30,7790,1987,SPEAKING,H,114,B001274,"Brooks, Mo",AL,R,,"Brooks, Mo",Mr. BROOKS of Alabama,Mo Brooks,
CREC-2016-11-30-pt1-PgH6367-3,CREC-2016-11-30,,,,,,,,,,,,,,
CREC-2016-11-30-pt1-PgH6367-2,CREC-2016-11-30,,,,,,,,,,,,,,
CREC-2016-11-30-pt1-PgH6367,CREC-2016-11-30,,,,,,,,,,,,,,
CREC-2016-11-30-pt1-PgH6367-4,CREC-2016-11-30,7925,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2016-11-30-pt1-PgH6369,CREC-2016-11-30,8211,766,SPEAKING,H,114,M000404,"McDermott, Jim",WA,D,,"McDermott, Jim",Mr. McDERMOTT,Jim McDermott,
CREC-2016-11-30-pt1-PgH6367-5,CREC-2016-11-30,7890,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-11-30-pt1-PgH6368,CREC-2016-11-30,8117,279,SPEAKING,H,114,D000191,"DeFazio, Peter A.",OR,D,,"DeFazio, Peter A.",Mr. DeFAZIO,Peter A. DeFazio,Peter Defazio
CREC-2016-11-30-pt1-PgH6371,CREC-2016-11-30,,2253,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-11-30-pt1-PgH6372,CREC-2016-11-30,,2137,SPEAKING,H,114,W000812,"Wagner, Ann",MO,R,,"Wagner, Ann",Mrs. WAGNER,Ann Wagner,
CREC-2016-11-30-pt1-PgH6370,CREC-2016-11-30,,2278,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Mr. Evan Jenkins
